"DATE","EMPLOY10M1","EMPLOY10M2","EMPLOY10M3","EMPLOY10M4","EMPLOY10M5","EMPLOY10M6","EMPLOY10M7","EMPLOY10M8","EMPLOY10M9","EMPLOY10M10","EMPLOY10M11","EMPLOY10M12","EMPLOY11M1","EMPLOY11M2","EMPLOY11M3","EMPLOY11M4","EMPLOY11M5","EMPLOY11M6","EMPLOY11M7","EMPLOY11M8","EMPLOY11M9","EMPLOY11M10","EMPLOY11M11","EMPLOY11M12","EMPLOY12M1","EMPLOY12M2","EMPLOY12M3","EMPLOY12M4","EMPLOY12M5","EMPLOY12M6","EMPLOY12M7","EMPLOY12M8","EMPLOY12M9","EMPLOY12M10","EMPLOY12M11","EMPLOY12M12","EMPLOY13M1","EMPLOY13M2","EMPLOY13M3","EMPLOY13M4","EMPLOY13M5","EMPLOY13M6","EMPLOY13M7","EMPLOY13M8","EMPLOY13M9","EMPLOY13M10","EMPLOY13M11","EMPLOY13M12","EMPLOY14M1","EMPLOY14M2","EMPLOY14M3","EMPLOY14M4","EMPLOY14M5","EMPLOY14M6","EMPLOY14M7","EMPLOY14M8","EMPLOY14M9","EMPLOY14M10","EMPLOY14M11","EMPLOY14M12","EMPLOY15M1","EMPLOY15M2","EMPLOY15M3","EMPLOY15M4","EMPLOY15M5","EMPLOY15M6","EMPLOY15M7","EMPLOY15M8","EMPLOY15M9","EMPLOY15M10","EMPLOY15M11"
"1960:02","54513.0","54513.0","54513.0","54513.0","54513.0","54513.0","54513.0","54513.0","54513.0","54513.0","54513.0","54513.0","54513.0","54513.0","54513.0","54513.0","54513.0","54513.0","54513.0","54513.0","54513.0","54513.0","54513.0","54513.0","54513.0","54513.0","54513.0","54513.0","54513.0","54513.0","54513.0","54513.0","54513.0","54513.0","54513.0","54513.0","54513.0","54513.0","54513.0","54513.0","54513.0","54513.0","54513.0","54513.0","54513.0","54513.0","54513.0","54513.0","54513.0","54513.0","54513.0","54513.0","54513.0","54513.0","54513.0","54513.0","54513.0","54513.0","54513.0","54513.0","54513.0","54513.0","54513.0","54513.0","54513.0","54513.0","54513.0","54513.0","54513.0","54513.0","54513.0"
"1960:03","54458.0","54458.0","54458.0","54458.0","54458.0","54458.0","54458.0","54458.0","54458.0","54458.0","54458.0","54458.0","54458.0","54458.0","54458.0","54458.0","54458.0","54458.0","54458.0","54458.0","54458.0","54458.0","54458.0","54458.0","54458.0","54458.0","54458.0","54458.0","54458.0","54458.0","54458.0","54458.0","54458.0","54458.0","54458.0","54458.0","54458.0","54458.0","54458.0","54458.0","54458.0","54458.0","54458.0","54458.0","54458.0","54458.0","54458.0","54458.0","54458.0","54458.0","54458.0","54458.0","54458.0","54458.0","54458.0","54458.0","54458.0","54458.0","54458.0","54458.0","54458.0","54458.0","54458.0","54458.0","54458.0","54458.0","54458.0","54458.0","54458.0","54458.0","54458.0"
"1960:04","54812.0","54812.0","54812.0","54812.0","54812.0","54812.0","54812.0","54812.0","54812.0","54812.0","54812.0","54812.0","54812.0","54812.0","54812.0","54812.0","54812.0","54812.0","54812.0","54812.0","54812.0","54812.0","54812.0","54812.0","54812.0","54812.0","54812.0","54812.0","54812.0","54812.0","54812.0","54812.0","54812.0","54812.0","54812.0","54812.0","54812.0","54812.0","54812.0","54812.0","54812.0","54812.0","54812.0","54812.0","54812.0","54812.0","54812.0","54812.0","54812.0","54812.0","54812.0","54812.0","54812.0","54812.0","54812.0","54812.0","54812.0","54812.0","54812.0","54812.0","54812.0","54812.0","54812.0","54812.0","54812.0","54812.0","54812.0","54812.0","54812.0","54812.0","54812.0"
"1960:05","54472.0","54472.0","54472.0","54472.0","54472.0","54472.0","54472.0","54472.0","54472.0","54472.0","54472.0","54472.0","54472.0","54472.0","54472.0","54472.0","54472.0","54472.0","54472.0","54472.0","54472.0","54472.0","54472.0","54472.0","54472.0","54472.0","54472.0","54472.0","54472.0","54472.0","54472.0","54472.0","54472.0","54472.0","54472.0","54472.0","54472.0","54472.0","54472.0","54472.0","54472.0","54472.0","54472.0","54472.0","54472.0","54472.0","54472.0","54472.0","54472.0","54473.0","54473.0","54473.0","54473.0","54473.0","54473.0","54473.0","54473.0","54473.0","54473.0","54473.0","54473.0","54473.0","54473.0","54473.0","54473.0","54473.0","54473.0","54473.0","54473.0","54473.0","54473.0"
"1960:06","54347.0","54347.0","54347.0","54347.0","54347.0","54347.0","54347.0","54347.0","54347.0","54347.0","54347.0","54347.0","54347.0","54347.0","54347.0","54347.0","54347.0","54347.0","54347.0","54347.0","54347.0","54347.0","54347.0","54347.0","54347.0","54347.0","54347.0","54347.0","54347.0","54347.0","54347.0","54347.0","54347.0","54347.0","54347.0","54347.0","54347.0","54347.0","54347.0","54347.0","54347.0","54347.0","54347.0","54347.0","54347.0","54347.0","54347.0","54347.0","54347.0","54347.0","54347.0","54347.0","54347.0","54347.0","54347.0","54347.0","54347.0","54347.0","54347.0","54347.0","54347.0","54347.0","54347.0","54347.0","54347.0","54347.0","54347.0","54347.0","54347.0","54347.0","54347.0"
"1960:07","54303.0","54303.0","54303.0","54303.0","54303.0","54303.0","54303.0","54303.0","54303.0","54303.0","54303.0","54303.0","54303.0","54303.0","54303.0","54303.0","54303.0","54303.0","54303.0","54303.0","54303.0","54303.0","54303.0","54303.0","54303.0","54303.0","54303.0","54303.0","54303.0","54303.0","54303.0","54303.0","54303.0","54303.0","54303.0","54303.0","54303.0","54303.0","54303.0","54303.0","54303.0","54303.0","54303.0","54303.0","54303.0","54303.0","54303.0","54303.0","54303.0","54304.0","54304.0","54304.0","54304.0","54304.0","54304.0","54304.0","54304.0","54304.0","54304.0","54304.0","54304.0","54304.0","54304.0","54304.0","54304.0","54304.0","54304.0","54304.0","54304.0","54304.0","54304.0"
"1960:08","54272.0","54272.0","54272.0","54272.0","54272.0","54272.0","54272.0","54272.0","54272.0","54272.0","54272.0","54272.0","54272.0","54272.0","54272.0","54272.0","54272.0","54272.0","54272.0","54272.0","54272.0","54272.0","54272.0","54272.0","54272.0","54272.0","54272.0","54272.0","54272.0","54272.0","54272.0","54272.0","54272.0","54272.0","54272.0","54272.0","54272.0","54272.0","54272.0","54272.0","54272.0","54272.0","54272.0","54272.0","54272.0","54272.0","54272.0","54272.0","54272.0","54271.0","54271.0","54271.0","54271.0","54271.0","54271.0","54271.0","54271.0","54271.0","54271.0","54271.0","54271.0","54271.0","54271.0","54271.0","54271.0","54271.0","54271.0","54271.0","54271.0","54271.0","54271.0"
"1960:09","54228.0","54228.0","54228.0","54228.0","54228.0","54228.0","54228.0","54228.0","54228.0","54228.0","54228.0","54228.0","54228.0","54228.0","54228.0","54228.0","54228.0","54228.0","54228.0","54228.0","54228.0","54228.0","54228.0","54228.0","54228.0","54228.0","54228.0","54228.0","54228.0","54228.0","54228.0","54228.0","54228.0","54228.0","54228.0","54228.0","54228.0","54228.0","54228.0","54228.0","54228.0","54228.0","54228.0","54228.0","54228.0","54228.0","54228.0","54228.0","54228.0","54228.0","54228.0","54228.0","54228.0","54228.0","54228.0","54228.0","54228.0","54228.0","54228.0","54228.0","54228.0","54228.0","54228.0","54228.0","54228.0","54228.0","54228.0","54228.0","54228.0","54228.0","54228.0"
"1960:10","54144.0","54144.0","54144.0","54144.0","54144.0","54144.0","54144.0","54144.0","54144.0","54144.0","54144.0","54144.0","54144.0","54144.0","54144.0","54144.0","54144.0","54144.0","54144.0","54144.0","54144.0","54144.0","54144.0","54144.0","54144.0","54144.0","54144.0","54144.0","54144.0","54144.0","54144.0","54144.0","54144.0","54144.0","54144.0","54144.0","54144.0","54144.0","54144.0","54144.0","54144.0","54144.0","54144.0","54144.0","54144.0","54144.0","54144.0","54144.0","54144.0","54144.0","54144.0","54144.0","54144.0","54144.0","54144.0","54144.0","54144.0","54144.0","54144.0","54144.0","54144.0","54144.0","54144.0","54144.0","54144.0","54144.0","54144.0","54144.0","54144.0","54144.0","54144.0"
"1960:11","53962.0","53962.0","53962.0","53962.0","53962.0","53962.0","53962.0","53962.0","53962.0","53962.0","53962.0","53962.0","53962.0","53962.0","53962.0","53962.0","53962.0","53962.0","53962.0","53962.0","53962.0","53962.0","53962.0","53962.0","53962.0","53962.0","53962.0","53962.0","53962.0","53962.0","53962.0","53962.0","53962.0","53962.0","53962.0","53962.0","53962.0","53962.0","53962.0","53962.0","53962.0","53962.0","53962.0","53962.0","53962.0","53962.0","53962.0","53962.0","53962.0","53962.0","53962.0","53962.0","53962.0","53962.0","53962.0","53962.0","53962.0","53962.0","53962.0","53962.0","53962.0","53962.0","53962.0","53962.0","53962.0","53962.0","53962.0","53962.0","53962.0","53962.0","53962.0"
"1960:12","53743.0","53743.0","53743.0","53743.0","53743.0","53743.0","53743.0","53743.0","53743.0","53743.0","53743.0","53743.0","53743.0","53743.0","53743.0","53743.0","53743.0","53743.0","53743.0","53743.0","53743.0","53743.0","53743.0","53743.0","53743.0","53743.0","53743.0","53743.0","53743.0","53743.0","53743.0","53743.0","53743.0","53743.0","53743.0","53743.0","53743.0","53743.0","53743.0","53743.0","53743.0","53743.0","53743.0","53743.0","53743.0","53743.0","53743.0","53743.0","53743.0","53744.0","53744.0","53744.0","53744.0","53744.0","53744.0","53744.0","53744.0","53744.0","53744.0","53744.0","53744.0","53744.0","53744.0","53744.0","53744.0","53744.0","53744.0","53744.0","53744.0","53744.0","53744.0"
"1961:01","53683.0","53683.0","53683.0","53683.0","53683.0","53683.0","53683.0","53683.0","53683.0","53683.0","53683.0","53683.0","53683.0","53683.0","53683.0","53683.0","53683.0","53683.0","53683.0","53683.0","53683.0","53683.0","53683.0","53683.0","53683.0","53683.0","53683.0","53683.0","53683.0","53683.0","53683.0","53683.0","53683.0","53683.0","53683.0","53683.0","53683.0","53683.0","53683.0","53683.0","53683.0","53683.0","53683.0","53683.0","53683.0","53683.0","53683.0","53683.0","53683.0","53683.0","53683.0","53683.0","53683.0","53683.0","53683.0","53683.0","53683.0","53683.0","53683.0","53683.0","53683.0","53683.0","53683.0","53683.0","53683.0","53683.0","53683.0","53683.0","53683.0","53683.0","53683.0"
"1961:02","53556.0","53556.0","53556.0","53556.0","53556.0","53556.0","53556.0","53556.0","53556.0","53556.0","53556.0","53556.0","53556.0","53556.0","53556.0","53556.0","53556.0","53556.0","53556.0","53556.0","53556.0","53556.0","53556.0","53556.0","53556.0","53556.0","53556.0","53556.0","53556.0","53556.0","53556.0","53556.0","53556.0","53556.0","53556.0","53556.0","53556.0","53556.0","53556.0","53556.0","53556.0","53556.0","53556.0","53556.0","53556.0","53556.0","53556.0","53556.0","53556.0","53556.0","53556.0","53556.0","53556.0","53556.0","53556.0","53556.0","53556.0","53556.0","53556.0","53556.0","53556.0","53556.0","53556.0","53556.0","53556.0","53556.0","53556.0","53556.0","53556.0","53556.0","53556.0"
"1961:03","53662.0","53662.0","53662.0","53662.0","53662.0","53662.0","53662.0","53662.0","53662.0","53662.0","53662.0","53662.0","53662.0","53662.0","53662.0","53662.0","53662.0","53662.0","53662.0","53662.0","53662.0","53662.0","53662.0","53662.0","53662.0","53662.0","53662.0","53662.0","53662.0","53662.0","53662.0","53662.0","53662.0","53662.0","53662.0","53662.0","53662.0","53662.0","53662.0","53662.0","53662.0","53662.0","53662.0","53662.0","53662.0","53662.0","53662.0","53662.0","53662.0","53662.0","53662.0","53662.0","53662.0","53662.0","53662.0","53662.0","53662.0","53662.0","53662.0","53662.0","53662.0","53662.0","53662.0","53662.0","53662.0","53662.0","53662.0","53662.0","53662.0","53662.0","53662.0"
"1961:04","53626.0","53626.0","53626.0","53626.0","53626.0","53626.0","53626.0","53626.0","53626.0","53626.0","53626.0","53626.0","53626.0","53626.0","53626.0","53626.0","53626.0","53626.0","53626.0","53626.0","53626.0","53626.0","53626.0","53626.0","53626.0","53626.0","53626.0","53626.0","53626.0","53626.0","53626.0","53626.0","53626.0","53626.0","53626.0","53626.0","53626.0","53626.0","53626.0","53626.0","53626.0","53626.0","53626.0","53626.0","53626.0","53626.0","53626.0","53626.0","53626.0","53626.0","53626.0","53626.0","53626.0","53626.0","53626.0","53626.0","53626.0","53626.0","53626.0","53626.0","53626.0","53626.0","53626.0","53626.0","53626.0","53626.0","53626.0","53626.0","53626.0","53626.0","53626.0"
"1961:05","53783.0","53783.0","53783.0","53783.0","53783.0","53783.0","53783.0","53783.0","53783.0","53783.0","53783.0","53783.0","53783.0","53783.0","53783.0","53783.0","53783.0","53783.0","53783.0","53783.0","53783.0","53783.0","53783.0","53783.0","53783.0","53783.0","53783.0","53783.0","53783.0","53783.0","53783.0","53783.0","53783.0","53783.0","53783.0","53783.0","53783.0","53783.0","53783.0","53783.0","53783.0","53783.0","53783.0","53783.0","53783.0","53783.0","53783.0","53783.0","53783.0","53785.0","53785.0","53785.0","53785.0","53785.0","53785.0","53785.0","53785.0","53785.0","53785.0","53785.0","53785.0","53785.0","53785.0","53785.0","53785.0","53785.0","53785.0","53785.0","53785.0","53785.0","53785.0"
"1961:06","53977.0","53977.0","53977.0","53977.0","53977.0","53977.0","53977.0","53977.0","53977.0","53977.0","53977.0","53977.0","53977.0","53977.0","53977.0","53977.0","53977.0","53977.0","53977.0","53977.0","53977.0","53977.0","53977.0","53977.0","53977.0","53977.0","53977.0","53977.0","53977.0","53977.0","53977.0","53977.0","53977.0","53977.0","53977.0","53977.0","53977.0","53977.0","53977.0","53977.0","53977.0","53977.0","53977.0","53977.0","53977.0","53977.0","53977.0","53977.0","53977.0","53977.0","53977.0","53977.0","53977.0","53977.0","53977.0","53977.0","53977.0","53977.0","53977.0","53977.0","53977.0","53977.0","53977.0","53977.0","53977.0","53977.0","53977.0","53977.0","53977.0","53977.0","53977.0"
"1961:07","54124.0","54124.0","54124.0","54124.0","54124.0","54124.0","54124.0","54124.0","54124.0","54124.0","54124.0","54124.0","54124.0","54124.0","54124.0","54124.0","54124.0","54124.0","54124.0","54124.0","54124.0","54124.0","54124.0","54124.0","54124.0","54124.0","54124.0","54124.0","54124.0","54124.0","54124.0","54124.0","54124.0","54124.0","54124.0","54124.0","54124.0","54124.0","54124.0","54124.0","54124.0","54124.0","54124.0","54124.0","54124.0","54124.0","54124.0","54124.0","54124.0","54123.0","54123.0","54123.0","54123.0","54123.0","54123.0","54123.0","54123.0","54123.0","54123.0","54123.0","54123.0","54123.0","54123.0","54123.0","54123.0","54123.0","54123.0","54123.0","54123.0","54123.0","54123.0"
"1961:08","54299.0","54299.0","54299.0","54299.0","54299.0","54299.0","54299.0","54299.0","54299.0","54299.0","54299.0","54299.0","54299.0","54299.0","54299.0","54299.0","54299.0","54299.0","54299.0","54299.0","54299.0","54299.0","54299.0","54299.0","54299.0","54299.0","54299.0","54299.0","54299.0","54299.0","54299.0","54299.0","54299.0","54299.0","54299.0","54299.0","54299.0","54299.0","54299.0","54299.0","54299.0","54299.0","54299.0","54299.0","54299.0","54299.0","54299.0","54299.0","54299.0","54298.0","54298.0","54298.0","54298.0","54298.0","54298.0","54298.0","54298.0","54298.0","54298.0","54298.0","54298.0","54298.0","54298.0","54298.0","54298.0","54298.0","54298.0","54298.0","54298.0","54298.0","54298.0"
"1961:09","54387.0","54387.0","54387.0","54387.0","54387.0","54387.0","54387.0","54387.0","54387.0","54387.0","54387.0","54387.0","54387.0","54387.0","54387.0","54387.0","54387.0","54387.0","54387.0","54387.0","54387.0","54387.0","54387.0","54387.0","54387.0","54387.0","54387.0","54387.0","54387.0","54387.0","54387.0","54387.0","54387.0","54387.0","54387.0","54387.0","54387.0","54387.0","54387.0","54387.0","54387.0","54387.0","54387.0","54387.0","54387.0","54387.0","54387.0","54387.0","54387.0","54388.0","54388.0","54388.0","54388.0","54388.0","54388.0","54388.0","54388.0","54388.0","54388.0","54388.0","54388.0","54388.0","54388.0","54388.0","54388.0","54388.0","54388.0","54388.0","54388.0","54388.0","54388.0"
"1961:10","54521.0","54521.0","54521.0","54521.0","54521.0","54521.0","54521.0","54521.0","54521.0","54521.0","54521.0","54521.0","54521.0","54521.0","54521.0","54521.0","54521.0","54521.0","54521.0","54521.0","54521.0","54521.0","54521.0","54521.0","54521.0","54521.0","54521.0","54521.0","54521.0","54521.0","54521.0","54521.0","54521.0","54521.0","54521.0","54521.0","54521.0","54521.0","54521.0","54521.0","54521.0","54521.0","54521.0","54521.0","54521.0","54521.0","54521.0","54521.0","54521.0","54522.0","54522.0","54522.0","54522.0","54522.0","54522.0","54522.0","54522.0","54522.0","54522.0","54522.0","54522.0","54522.0","54522.0","54522.0","54522.0","54522.0","54522.0","54522.0","54522.0","54522.0","54522.0"
"1961:11","54743.0","54743.0","54743.0","54743.0","54743.0","54743.0","54743.0","54743.0","54743.0","54743.0","54743.0","54743.0","54743.0","54743.0","54743.0","54743.0","54743.0","54743.0","54743.0","54743.0","54743.0","54743.0","54743.0","54743.0","54743.0","54743.0","54743.0","54743.0","54743.0","54743.0","54743.0","54743.0","54743.0","54743.0","54743.0","54743.0","54743.0","54743.0","54743.0","54743.0","54743.0","54743.0","54743.0","54743.0","54743.0","54743.0","54743.0","54743.0","54743.0","54743.0","54743.0","54743.0","54743.0","54743.0","54743.0","54743.0","54743.0","54743.0","54743.0","54743.0","54743.0","54743.0","54743.0","54743.0","54743.0","54743.0","54743.0","54743.0","54743.0","54743.0","54743.0"
"1961:12","54871.0","54871.0","54871.0","54871.0","54871.0","54871.0","54871.0","54871.0","54871.0","54871.0","54871.0","54871.0","54871.0","54871.0","54871.0","54871.0","54871.0","54871.0","54871.0","54871.0","54871.0","54871.0","54871.0","54871.0","54871.0","54871.0","54871.0","54871.0","54871.0","54871.0","54871.0","54871.0","54871.0","54871.0","54871.0","54871.0","54871.0","54871.0","54871.0","54871.0","54871.0","54871.0","54871.0","54871.0","54871.0","54871.0","54871.0","54871.0","54871.0","54871.0","54871.0","54871.0","54871.0","54871.0","54871.0","54871.0","54871.0","54871.0","54871.0","54871.0","54871.0","54871.0","54871.0","54871.0","54871.0","54871.0","54871.0","54871.0","54871.0","54871.0","54871.0"
"1962:01","54891.0","54891.0","54891.0","54891.0","54891.0","54891.0","54891.0","54891.0","54891.0","54891.0","54891.0","54891.0","54891.0","54891.0","54891.0","54891.0","54891.0","54891.0","54891.0","54891.0","54891.0","54891.0","54891.0","54891.0","54891.0","54891.0","54891.0","54891.0","54891.0","54891.0","54891.0","54891.0","54891.0","54891.0","54891.0","54891.0","54891.0","54891.0","54891.0","54891.0","54891.0","54891.0","54891.0","54891.0","54891.0","54891.0","54891.0","54891.0","54891.0","54891.0","54891.0","54891.0","54891.0","54891.0","54891.0","54891.0","54891.0","54891.0","54891.0","54891.0","54891.0","54891.0","54891.0","54891.0","54891.0","54891.0","54891.0","54891.0","54891.0","54891.0","54891.0"
