"DATE","RCOND10M1","RCOND10M2","RCOND10M3","RCOND10M4","RCOND10M5","RCOND10M6","RCOND10M7","RCOND10M8","RCOND10M9","RCOND10M10","RCOND10M11","RCOND10M12","RCOND11M1","RCOND11M2","RCOND11M3","RCOND11M4","RCOND11M5","RCOND11M6","RCOND11M7","RCOND11M8","RCOND11M9","RCOND11M10","RCOND11M11","RCOND11M12","RCOND12M1","RCOND12M2","RCOND12M3","RCOND12M4","RCOND12M5","RCOND12M6","RCOND12M7","RCOND12M8","RCOND12M9","RCOND12M10","RCOND12M11","RCOND12M12","RCOND13M1","RCOND13M2","RCOND13M3","RCOND13M4","RCOND13M5","RCOND13M6","RCOND13M7","RCOND13M8","RCOND13M9","RCOND13M10","RCOND13M11","RCOND13M12","RCOND14M1","RCOND14M2","RCOND14M3","RCOND14M4","RCOND14M5","RCOND14M6","RCOND14M7","RCOND14M8","RCOND14M9","RCOND14M10","RCOND14M11","RCOND14M12","RCOND15M1","RCOND15M2","RCOND15M3","RCOND15M4","RCOND15M5","RCOND15M6","RCOND15M7","RCOND15M8","RCOND15M9","RCOND15M10","RCOND15M11"
"1964:Q4","115.9","115.9","115.9","115.9","115.9","115.9","115.9","115.9","115.9","115.9","115.9","115.9","115.9","115.9","115.9","115.9","115.9","115.9","115.9","115.8","115.8","115.8","115.8","115.8","115.8","115.8","115.8","115.8","115.8","115.8","115.8","115.8","115.8","115.8","115.8","115.8","115.8","115.8","115.8","115.8","115.8","115.8","115.8","107.7","107.7","107.7","107.7","107.7","107.7","107.7","107.7","107.7","107.7","107.7","107.7","107.7","107.7","107.7","107.7","107.7","107.7","107.7","107.7","107.7","107.7","107.7","107.7","107.7","107.7","107.7","107.7"
"1965:Q1","126.7","126.7","126.7","126.7","126.7","126.7","126.7","126.7","126.7","126.7","126.7","126.7","126.7","126.7","126.7","126.7","126.7","126.7","126.7","126.5","126.5","126.5","126.5","126.5","126.5","126.5","126.5","126.5","126.5","126.5","126.5","126.5","126.5","126.5","126.5","126.5","126.5","126.5","126.5","126.5","126.5","126.5","126.5","117.8","117.8","117.8","117.8","117.8","117.8","117.8","117.8","117.8","117.8","117.8","117.8","117.8","117.8","117.8","117.8","117.8","117.8","117.8","117.8","117.8","117.8","117.8","117.8","117.8","117.8","117.8","117.8"
"1965:Q2","126.9","126.9","126.9","126.9","126.9","126.9","126.9","126.9","126.9","126.9","126.9","126.9","126.9","126.9","126.9","126.9","126.9","126.9","126.9","126.7","126.7","126.7","126.7","126.7","126.7","126.7","126.7","126.7","126.7","126.7","126.7","126.7","126.7","126.7","126.7","126.7","126.7","126.7","126.7","126.7","126.7","126.7","126.7","117.9","117.9","117.9","117.9","117.9","117.9","117.9","117.9","117.9","117.9","117.9","117.9","117.9","117.9","117.9","117.9","117.9","117.9","117.9","117.9","117.9","117.9","117.9","117.9","117.9","117.9","117.9","117.9"
"1965:Q3","131.2","131.2","131.2","131.2","131.2","131.2","131.2","131.2","131.2","131.2","131.2","131.2","131.2","131.2","131.2","131.2","131.2","131.2","131.2","131.1","131.1","131.1","131.1","131.1","131.1","131.1","131.1","131.1","131.1","131.1","131.1","131.1","131.1","131.1","131.1","131.1","131.1","131.1","131.1","131.1","131.1","131.1","131.1","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0"
"1965:Q4","136.8","136.8","136.8","136.8","136.8","136.8","136.8","136.8","136.8","136.8","136.8","136.8","136.8","136.8","136.8","136.8","136.8","136.8","136.8","136.6","136.6","136.6","136.6","136.6","136.6","136.6","136.6","136.6","136.6","136.6","136.6","136.6","136.6","136.6","136.6","136.6","136.6","136.6","136.6","136.6","136.6","136.6","136.6","127.1","127.1","127.1","127.1","127.1","127.1","127.1","127.1","127.1","127.1","127.1","127.1","127.1","127.1","127.1","127.1","127.1","127.1","127.1","127.1","127.1","127.1","127.1","127.1","127.1","127.1","127.1","127.1"
"1966:Q1","143.3","143.3","143.3","143.3","143.3","143.3","143.3","143.3","143.3","143.3","143.3","143.3","143.3","143.3","143.3","143.3","143.3","143.3","143.3","143.1","143.1","143.1","143.1","143.1","143.1","143.1","143.1","143.1","143.1","143.1","143.1","143.1","143.1","143.1","143.1","143.1","143.1","143.1","143.1","143.1","143.1","143.1","143.1","133.2","133.2","133.2","133.2","133.2","133.2","133.2","133.2","133.2","133.2","133.2","133.2","133.2","133.2","133.2","133.2","133.2","133.2","133.2","133.2","133.2","133.2","133.2","133.2","133.2","133.2","133.2","133.2"
"1966:Q2","137.5","137.5","137.5","137.5","137.5","137.5","137.5","137.5","137.5","137.5","137.5","137.5","137.5","137.5","137.5","137.5","137.5","137.5","137.5","137.4","137.4","137.4","137.4","137.4","137.4","137.4","137.4","137.4","137.4","137.4","137.4","137.4","137.4","137.4","137.4","137.4","137.4","137.4","137.4","137.4","137.4","137.4","137.4","127.9","127.9","127.9","127.9","127.9","127.9","127.9","127.9","127.9","127.9","127.9","127.9","127.9","127.9","127.9","127.9","127.9","127.9","127.9","127.9","127.9","127.9","127.9","127.9","127.9","127.9","127.9","127.9"
"1966:Q3","142.0","142.0","142.0","142.0","142.0","142.0","142.0","142.0","142.0","142.0","142.0","142.0","142.0","142.0","142.0","142.0","142.0","142.0","142.0","141.9","141.9","141.9","141.9","141.9","141.9","141.9","141.9","141.9","141.9","141.9","141.9","141.9","141.9","141.9","141.9","141.9","141.9","141.9","141.9","141.9","141.9","141.9","141.9","132.0","132.0","132.0","132.0","132.0","132.0","132.0","132.0","132.0","132.0","132.0","132.0","132.0","132.0","132.0","132.0","132.0","132.0","132.0","132.0","132.0","132.0","132.0","132.0","132.0","132.0","132.0","132.0"
"1966:Q4","142.0","142.0","142.0","142.0","142.0","142.0","142.0","142.0","142.0","142.0","142.0","142.0","142.0","142.0","142.0","142.0","142.0","142.0","142.0","141.8","141.8","141.8","141.8","141.8","141.8","141.8","141.8","141.8","141.8","141.8","141.8","141.8","141.8","141.8","141.8","141.8","141.8","141.8","141.8","141.8","141.8","141.8","141.8","132.0","132.0","132.0","132.0","132.0","132.0","132.0","132.0","132.0","132.0","132.0","132.0","132.0","132.0","132.0","132.0","132.0","132.0","132.0","132.0","132.0","132.0","132.0","132.0","132.0","132.0","132.0","132.0"
"1967:Q1","139.3","139.3","139.3","139.3","139.3","139.3","139.3","139.3","139.3","139.3","139.3","139.3","139.3","139.3","139.3","139.3","139.3","139.3","139.3","139.1","139.1","139.1","139.1","139.1","139.1","139.1","139.1","139.1","139.1","139.1","139.1","139.1","139.1","139.1","139.1","139.1","139.1","139.1","139.1","139.1","139.1","139.1","139.1","129.5","129.5","129.5","129.5","129.5","129.5","129.5","129.5","129.5","129.5","129.5","129.5","129.5","129.5","129.5","129.5","129.5","129.5","129.5","129.5","129.5","129.5","129.5","129.5","129.5","129.5","129.5","129.5"
"1967:Q2","145.3","145.3","145.3","145.3","145.3","145.3","145.3","145.3","145.3","145.3","145.3","145.3","145.3","145.3","145.3","145.3","145.3","145.3","145.3","145.1","145.1","145.1","145.1","145.1","145.1","145.1","145.1","145.1","145.1","145.1","145.1","145.1","145.1","145.1","145.1","145.1","145.1","145.1","145.1","145.1","145.1","145.1","145.1","135.1","135.1","135.1","135.1","135.1","135.1","135.1","135.1","135.1","135.1","135.1","135.1","135.1","135.1","135.1","135.1","135.1","135.1","135.1","135.1","135.1","135.1","135.1","135.1","135.1","135.1","135.1","135.1"
