"DATE","RCOND10M1","RCOND10M2","RCOND10M3","RCOND10M4","RCOND10M5","RCOND10M6","RCOND10M7","RCOND10M8","RCOND10M9","RCOND10M10","RCOND10M11","RCOND10M12","RCOND11M1","RCOND11M2","RCOND11M3","RCOND11M4","RCOND11M5","RCOND11M6","RCOND11M7","RCOND11M8","RCOND11M9","RCOND11M10","RCOND11M11","RCOND11M12","RCOND12M1","RCOND12M2","RCOND12M3","RCOND12M4","RCOND12M5","RCOND12M6","RCOND12M7","RCOND12M8","RCOND12M9","RCOND12M10","RCOND12M11","RCOND12M12","RCOND13M1","RCOND13M2","RCOND13M3","RCOND13M4","RCOND13M5","RCOND13M6","RCOND13M7","RCOND13M8","RCOND13M9","RCOND13M10","RCOND13M11","RCOND13M12","RCOND14M1","RCOND14M2","RCOND14M3","RCOND14M4","RCOND14M5","RCOND14M6","RCOND14M7","RCOND14M8","RCOND14M9","RCOND14M10","RCOND14M11","RCOND14M12","RCOND15M1","RCOND15M2","RCOND15M3","RCOND15M4","RCOND15M5","RCOND15M6","RCOND15M7","RCOND15M8","RCOND15M9","RCOND15M10","RCOND15M11"
"1970:Q4","153.4","153.4","153.4","153.4","153.4","153.4","153.4","153.4","153.4","153.4","153.4","153.4","153.4","153.4","153.4","153.4","153.4","153.4","153.4","153.2","153.2","153.2","153.2","153.2","153.2","153.2","153.2","153.2","153.2","153.2","153.2","153.2","153.2","153.2","153.2","153.2","153.2","153.2","153.2","153.2","153.2","153.2","153.2","142.6","142.6","142.6","142.6","142.6","142.6","142.6","142.6","142.6","142.6","142.6","142.6","142.6","142.6","142.6","142.6","142.6","142.6","142.6","142.6","142.6","142.6","142.6","142.6","142.6","142.6","142.6","142.6"
"1971:Q1","169.8","169.8","169.8","169.8","169.8","169.8","169.8","169.8","169.8","169.8","169.8","169.8","169.8","169.8","169.8","169.8","169.8","169.8","169.8","169.6","169.6","169.6","169.6","169.6","169.6","169.6","169.6","169.6","169.6","169.6","169.6","169.6","169.6","169.6","169.6","169.6","169.6","169.6","169.6","169.6","169.6","169.6","169.6","157.9","157.9","157.9","157.9","157.9","157.9","157.9","157.9","157.9","157.9","157.9","157.9","157.9","157.9","157.9","157.9","157.9","157.9","157.9","157.9","157.9","157.9","157.9","157.9","157.9","157.9","157.9","157.9"
"1971:Q2","173.7","173.7","173.7","173.7","173.7","173.7","173.7","173.7","173.7","173.7","173.7","173.7","173.7","173.7","173.7","173.7","173.7","173.7","173.7","173.5","173.5","173.5","173.5","173.5","173.5","173.5","173.5","173.5","173.5","173.5","173.5","173.5","173.5","173.5","173.5","173.5","173.5","173.5","173.5","173.5","173.5","173.5","173.5","161.5","161.5","161.5","161.5","161.5","161.5","161.5","161.5","161.5","161.5","161.5","161.5","161.5","161.5","161.5","161.5","161.5","161.5","161.5","161.5","161.5","161.5","161.5","161.5","161.5","161.5","161.5","161.5"
"1971:Q3","178.3","178.3","178.3","178.3","178.3","178.3","178.3","178.3","178.3","178.3","178.3","178.3","178.3","178.3","178.3","178.3","178.3","178.3","178.3","178.1","178.1","178.1","178.1","178.1","178.1","178.1","178.1","178.1","178.1","178.1","178.1","178.1","178.1","178.1","178.1","178.1","178.1","178.1","178.1","178.1","178.1","178.1","178.1","165.8","165.8","165.8","165.8","165.8","165.8","165.8","165.8","165.8","165.8","165.8","165.8","165.8","165.8","165.8","165.8","165.8","165.8","165.8","165.8","165.8","165.8","165.8","165.8","165.8","165.8","165.8","165.8"
"1971:Q4","185.9","185.9","185.9","185.9","185.9","185.9","185.9","185.9","185.9","185.9","185.9","185.9","185.9","185.9","185.9","185.9","185.9","185.9","185.9","185.7","185.7","185.7","185.7","185.7","185.7","185.7","185.7","185.7","185.7","185.7","185.7","185.7","185.7","185.7","185.7","185.7","185.7","185.7","185.7","185.7","185.7","185.7","185.7","172.8","172.8","172.8","172.8","172.8","172.8","172.8","172.8","172.8","172.8","172.8","172.8","172.8","172.8","172.8","172.8","172.8","172.8","172.8","172.8","172.8","172.8","172.8","172.8","172.8","172.8","172.8","172.8"
"1972:Q1","190.2","190.2","190.2","190.2","190.2","190.2","190.2","190.2","190.2","190.2","190.2","190.2","190.2","190.2","190.2","190.2","190.2","190.2","190.2","190.0","190.0","190.0","190.0","190.0","190.0","190.0","190.0","190.0","190.0","190.0","190.0","190.0","190.0","190.0","190.0","190.0","190.0","190.0","190.0","190.0","190.0","190.0","190.0","176.8","176.8","176.8","176.8","176.8","176.8","176.8","176.8","176.8","176.8","176.8","176.8","176.8","176.8","176.8","176.8","176.8","176.8","176.8","176.8","176.8","176.8","176.8","176.8","176.8","176.8","176.8","176.8"
"1972:Q2","195.0","195.0","195.0","195.0","195.0","195.0","195.0","195.0","195.0","195.0","195.0","195.0","195.0","195.0","195.0","195.0","195.0","195.0","195.0","194.7","194.7","194.7","194.7","194.7","194.7","194.7","194.7","194.7","194.7","194.7","194.7","194.7","194.7","194.7","194.7","194.7","194.7","194.7","194.7","194.7","194.7","194.7","194.7","181.2","181.2","181.2","181.2","181.2","181.2","181.2","181.2","181.2","181.2","181.2","181.2","181.2","181.2","181.2","181.2","181.2","181.2","181.2","181.2","181.2","181.2","181.2","181.2","181.2","181.2","181.2","181.2"
"1972:Q3","200.0","200.0","200.0","200.0","200.0","200.0","200.0","200.0","200.0","200.0","200.0","200.0","200.0","200.0","200.0","200.0","200.0","200.0","200.0","199.8","199.8","199.8","199.8","199.8","199.8","199.8","199.8","199.8","199.8","199.8","199.8","199.8","199.8","199.8","199.8","199.8","199.8","199.8","199.8","199.8","199.8","199.8","199.8","185.9","185.9","185.9","185.9","185.9","185.9","185.9","185.9","185.9","185.9","185.9","185.9","185.9","185.9","185.9","185.9","185.9","185.9","185.9","185.9","185.9","185.9","185.9","185.9","185.9","185.9","185.9","185.9"
"1972:Q4","210.5","210.5","210.5","210.5","210.5","210.5","210.5","210.5","210.5","210.5","210.5","210.5","210.5","210.5","210.5","210.5","210.5","210.5","210.5","210.3","210.3","210.3","210.3","210.3","210.3","210.3","210.3","210.3","210.3","210.3","210.3","210.3","210.3","210.3","210.3","210.3","210.3","210.3","210.3","210.3","210.3","210.3","210.3","195.8","195.8","195.8","195.8","195.8","195.8","195.8","195.8","195.8","195.8","195.8","195.8","195.8","195.8","195.8","195.8","195.8","195.8","195.8","195.8","195.8","195.8","195.8","195.8","195.8","195.8","195.8","195.8"
"1973:Q1","223.9","223.9","223.9","223.9","223.9","223.9","223.9","223.9","223.9","223.9","223.9","223.9","223.9","223.9","223.9","223.9","223.9","223.9","223.9","223.7","223.7","223.7","223.7","223.7","223.7","223.7","223.7","223.7","223.7","223.7","223.7","223.7","223.7","223.7","223.7","223.7","223.7","223.7","223.7","223.7","223.7","223.7","223.7","208.2","208.2","208.2","208.2","208.2","208.2","208.2","208.2","208.2","208.2","208.2","208.2","208.2","208.2","208.2","208.2","208.2","208.2","208.2","208.2","208.2","208.2","208.2","208.2","208.2","208.2","208.2","208.2"
"1973:Q2","221.3","221.3","221.3","221.3","221.3","221.3","221.3","221.3","221.3","221.3","221.3","221.3","221.3","221.3","221.3","221.3","221.3","221.3","221.3","221.1","221.1","221.1","221.1","221.1","221.1","221.1","221.1","221.1","221.1","221.1","221.1","221.1","221.1","221.1","221.1","221.1","221.1","221.1","221.1","221.1","221.1","221.1","221.1","205.8","205.8","205.8","205.8","205.8","205.8","205.8","205.8","205.8","205.8","205.8","205.8","205.8","205.8","205.8","205.8","205.8","205.8","205.8","205.8","205.8","205.8","205.8","205.8","205.8","205.8","205.8","205.8"
"1973:Q3","219.4","219.4","219.4","219.4","219.4","219.4","219.4","219.4","219.4","219.4","219.4","219.4","219.4","219.4","219.4","219.4","219.4","219.4","219.4","219.1","219.1","219.1","219.1","219.1","219.1","219.1","219.1","219.1","219.1","219.1","219.1","219.1","219.1","219.1","219.1","219.1","219.1","219.1","219.1","219.1","219.1","219.1","219.1","203.9","203.9","203.9","203.9","203.9","203.9","203.9","203.9","203.9","203.9","203.9","203.9","203.9","203.9","203.9","203.9","203.9","203.9","203.9","203.9","203.9","203.9","203.9","203.9","203.9","203.9","203.9","203.9"
"1973:Q4","214.4","214.4","214.4","214.4","214.4","214.4","214.4","214.4","214.4","214.4","214.4","214.4","214.4","214.4","214.4","214.4","214.4","214.4","214.4","214.0","214.0","214.0","214.0","214.0","214.0","214.0","214.0","214.0","214.0","214.0","214.0","214.0","214.0","214.0","214.0","214.0","214.0","214.0","214.0","214.0","214.0","214.0","214.0","199.2","199.2","199.2","199.2","199.2","199.2","199.2","199.2","199.2","199.2","199.2","199.2","199.2","199.2","199.2","199.2","199.2","199.2","199.2","199.2","199.2","199.2","199.2","199.2","199.2","199.2","199.2","199.2"
"1974:Q1","209.4","209.4","209.4","209.4","209.4","209.4","209.4","209.4","209.4","209.4","209.4","209.4","209.4","209.4","209.4","209.4","209.4","209.4","209.4","209.0","209.0","209.0","209.0","209.0","209.0","209.0","209.0","209.0","209.0","209.0","209.0","209.0","209.0","209.0","209.0","209.0","209.0","209.0","209.0","209.0","209.0","209.0","209.0","194.5","194.5","194.5","194.5","194.5","194.5","194.5","194.5","194.5","194.5","194.5","194.5","194.5","194.5","194.5","194.5","194.5","194.5","194.5","194.5","194.5","194.5","194.5","194.5","194.5","194.5","194.5","194.5"
"1974:Q2","210.6","210.6","210.6","210.6","210.6","210.6","210.6","210.6","210.6","210.6","210.6","210.6","210.6","210.6","210.6","210.6","210.6","210.6","210.6","210.1","210.1","210.1","210.1","210.1","210.1","210.1","210.1","210.1","210.1","210.1","210.1","210.1","210.1","210.1","210.1","210.1","210.1","210.1","210.1","210.1","210.1","210.1","210.1","195.5","195.5","195.5","195.5","195.5","195.5","195.5","195.5","195.5","195.5","195.5","195.5","195.5","195.5","195.5","195.5","195.5","195.5","195.5","195.5","195.5","195.5","195.5","195.5","195.5","195.5","195.5","195.5"
"1974:Q3","211.8","211.8","211.8","211.8","211.8","211.8","211.8","211.8","211.8","211.8","211.8","211.8","211.8","211.8","211.8","211.8","211.8","211.8","211.8","211.3","211.3","211.3","211.3","211.3","211.3","211.3","211.3","211.3","211.3","211.3","211.3","211.3","211.3","211.3","211.3","211.3","211.3","211.3","211.3","211.3","211.3","211.3","211.3","196.7","196.7","196.7","196.7","196.7","196.7","196.7","196.7","196.7","196.7","196.7","196.7","196.7","196.7","196.7","196.7","196.7","196.7","196.7","196.7","196.7","196.7","196.7","196.7","196.7","196.7","196.7","196.7"
"1974:Q4","191.6","191.6","191.6","191.6","191.6","191.6","191.6","191.6","191.6","191.6","191.6","191.6","191.6","191.6","191.6","191.6","191.6","191.6","191.6","191.2","191.2","191.2","191.2","191.2","191.2","191.2","191.2","191.2","191.2","191.2","191.2","191.2","191.2","191.2","191.2","191.2","191.2","191.2","191.2","191.2","191.2","191.2","191.2","178.0","178.0","178.0","178.0","178.0","178.0","178.0","178.0","178.0","178.0","178.0","178.0","178.0","178.0","178.0","178.0","178.0","178.0","178.0","178.0","178.0","178.0","178.0","178.0","178.0","178.0","178.0","178.0"
"1975:Q1","195.5","195.5","195.5","195.5","195.5","195.5","195.5","195.5","195.5","195.5","195.5","195.5","195.5","195.5","195.5","195.5","195.5","195.5","195.5","195.3","195.3","195.3","195.3","195.3","195.3","195.3","195.3","195.3","195.3","195.3","195.3","195.3","195.3","195.3","195.3","195.3","195.3","195.3","195.3","195.3","195.3","195.3","195.3","181.8","181.8","181.8","181.8","181.8","181.8","181.8","181.8","181.8","181.8","181.8","181.8","181.8","181.8","181.8","181.8","181.8","181.8","181.8","181.8","181.8","181.8","181.8","181.8","181.8","181.8","181.8","181.8"
"1975:Q2","199.2","199.2","199.2","199.2","199.2","199.2","199.2","199.2","199.2","199.2","199.2","199.2","199.2","199.2","199.2","199.2","199.2","199.2","199.2","199.1","199.1","199.1","199.1","199.1","199.1","199.1","199.1","199.1","199.1","199.1","199.1","199.1","199.1","199.1","199.1","199.1","199.1","199.1","199.1","199.1","199.1","199.1","199.1","185.3","185.3","185.3","185.3","185.3","185.3","185.3","185.3","185.3","185.3","185.3","185.3","185.3","185.3","185.3","185.3","185.3","185.3","185.3","185.3","185.3","185.3","185.3","185.3","185.3","185.3","185.3","185.3"
"1975:Q3","211.6","211.6","211.6","211.6","211.6","211.6","211.6","211.6","211.6","211.6","211.6","211.6","211.6","211.6","211.6","211.6","211.6","211.6","211.6","211.5","211.5","211.5","211.5","211.5","211.5","211.5","211.5","211.5","211.5","211.5","211.5","211.5","211.5","211.5","211.5","211.5","211.5","211.5","211.5","211.5","211.5","211.5","211.5","196.9","196.9","196.9","196.9","196.9","196.9","196.9","196.9","196.9","196.9","196.9","196.9","196.9","196.9","196.9","196.9","196.9","196.9","196.9","196.9","196.9","196.9","196.9","196.9","196.9","196.9","196.9","196.9"
"1975:Q4","217.7","217.7","217.7","217.7","217.7","217.7","217.7","217.7","217.7","217.7","217.7","217.7","217.7","217.7","217.7","217.7","217.7","217.7","217.7","217.7","217.7","217.7","217.7","217.7","217.7","217.7","217.7","217.7","217.7","217.7","217.7","217.7","217.7","217.7","217.7","217.7","217.7","217.7","217.7","217.7","217.7","217.7","217.7","202.6","202.6","202.6","202.6","202.6","202.6","202.6","202.6","202.6","202.6","202.6","202.6","202.6","202.6","202.6","202.6","202.6","202.6","202.6","202.6","202.6","202.6","202.6","202.6","202.6","202.6","202.6","202.6"
"1976:Q1","228.7","228.7","228.7","228.7","228.7","228.7","228.7","228.7","228.7","228.7","228.7","228.7","228.7","228.7","228.7","228.7","228.7","228.7","228.7","228.6","228.6","228.6","228.6","228.6","228.6","228.6","228.6","228.6","228.6","228.6","228.6","228.6","228.6","228.6","228.6","228.6","228.6","228.6","228.6","228.6","228.6","228.6","228.6","212.7","212.7","212.7","212.7","212.7","212.7","212.7","212.7","212.7","212.7","212.7","212.7","212.7","212.7","212.7","212.7","212.7","212.7","212.7","212.7","212.7","212.7","212.7","212.7","212.7","212.7","212.7","212.7"
"1976:Q2","229.8","229.8","229.8","229.8","229.8","229.8","229.8","229.8","229.8","229.8","229.8","229.8","229.8","229.8","229.8","229.8","229.8","229.8","229.8","229.6","229.6","229.6","229.6","229.6","229.6","229.6","229.6","229.6","229.6","229.6","229.6","229.6","229.6","229.6","229.6","229.6","229.6","229.6","229.6","229.6","229.6","229.6","229.6","213.7","213.7","213.7","213.7","213.7","213.7","213.7","213.7","213.7","213.7","213.7","213.7","213.7","213.7","213.7","213.7","213.7","213.7","213.7","213.7","213.7","213.7","213.7","213.7","213.7","213.7","213.7","213.7"
"1976:Q3","232.5","232.5","232.5","232.5","232.5","232.5","232.5","232.5","232.5","232.5","232.5","232.5","232.5","232.5","232.5","232.5","232.5","232.5","232.5","232.2","232.2","232.2","232.2","232.2","232.2","232.2","232.2","232.2","232.2","232.2","232.2","232.2","232.2","232.2","232.2","232.2","232.2","232.2","232.2","232.2","232.2","232.2","232.2","216.1","216.1","216.1","216.1","216.1","216.1","216.1","216.1","216.1","216.1","216.1","216.1","216.1","216.1","216.1","216.1","216.1","216.1","216.1","216.1","216.1","216.1","216.1","216.1","216.1","216.1","216.1","216.1"
"1976:Q4","236.1","236.1","236.1","236.1","236.1","236.1","236.1","236.1","236.1","236.1","236.1","236.1","236.1","236.1","236.1","236.1","236.1","236.1","236.1","235.9","235.9","235.9","235.9","235.9","235.9","235.9","235.9","235.9","235.9","235.9","235.9","235.9","235.9","235.9","235.9","235.9","235.9","235.9","235.9","235.9","235.9","235.9","235.9","219.5","219.5","219.5","219.5","219.5","219.5","219.5","219.5","219.5","219.5","219.5","219.5","219.5","219.5","219.5","219.5","219.5","219.5","219.5","219.5","219.5","219.5","219.5","219.5","219.5","219.5","219.5","219.5"
"1977:Q1","245.0","245.0","245.0","245.0","245.0","245.0","245.0","245.0","245.0","245.0","245.0","245.0","245.0","245.0","245.0","245.0","245.0","245.0","245.0","244.5","244.5","244.5","244.5","244.5","244.5","244.5","244.5","244.5","244.5","244.5","244.5","244.5","244.5","244.5","244.5","244.5","244.5","244.5","244.5","244.5","244.5","244.5","244.5","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6"
"1977:Q2","250.8","250.8","250.8","250.8","250.8","250.8","250.8","250.8","250.8","250.8","250.8","250.8","250.8","250.8","250.8","250.8","250.8","250.8","250.8","250.3","250.3","250.3","250.3","250.3","250.3","250.3","250.3","250.3","250.3","250.3","250.3","250.3","250.3","250.3","250.3","250.3","250.3","250.3","250.3","250.3","250.3","250.3","250.3","232.9","232.9","232.9","232.9","232.9","232.9","232.9","232.9","232.9","232.9","232.9","232.9","232.9","232.9","232.9","232.9","232.9","232.9","232.9","232.9","232.9","232.9","232.9","232.9","232.9","232.9","232.9","232.9"
"1977:Q3","254.5","254.5","254.5","254.5","254.5","254.5","254.5","254.5","254.5","254.5","254.5","254.5","254.5","254.5","254.5","254.5","254.5","254.5","254.5","254.0","254.0","254.0","254.0","254.0","254.0","254.0","254.0","254.0","254.0","254.0","254.0","254.0","254.0","254.0","254.0","254.0","254.0","254.0","254.0","254.0","254.0","254.0","254.0","236.4","236.4","236.4","236.4","236.4","236.4","236.4","236.4","236.4","236.4","236.4","236.4","236.4","236.4","236.4","236.4","236.4","236.4","236.4","236.4","236.4","236.4","236.4","236.4","236.4","236.4","236.4","236.4"
"1977:Q4","259.8","259.8","259.8","259.8","259.8","259.8","259.8","259.8","259.8","259.8","259.8","259.8","259.8","259.8","259.8","259.8","259.8","259.8","259.8","259.3","259.3","259.3","259.3","259.3","259.3","259.3","259.3","259.3","259.3","259.3","259.3","259.3","259.3","259.3","259.3","259.3","259.3","259.3","259.3","259.3","259.3","259.3","259.3","241.3","241.3","241.3","241.3","241.3","241.3","241.3","241.3","241.3","241.3","241.3","241.3","241.3","241.3","241.3","241.3","241.3","241.3","241.3","241.3","241.3","241.3","241.3","241.3","241.3","241.3","241.3","241.3"
"1978:Q1","252.9","252.9","252.9","252.9","252.9","252.9","252.9","252.9","252.9","252.9","252.9","252.9","252.9","252.9","252.9","252.9","252.9","252.9","252.9","252.4","252.4","252.4","252.4","252.4","252.4","252.4","252.4","252.4","252.4","252.4","252.4","252.4","252.4","252.4","252.4","252.4","252.4","252.4","252.4","252.4","252.4","252.4","252.4","234.9","234.9","234.9","234.9","234.9","234.9","234.9","234.9","234.9","234.9","234.9","234.9","234.9","234.9","234.9","234.9","234.9","234.9","234.9","234.9","234.9","234.9","234.9","234.9","234.9","234.9","234.9","234.9"
"1978:Q2","271.7","271.7","271.7","271.7","271.7","271.7","271.7","271.7","271.7","271.7","271.7","271.7","271.7","271.7","271.7","271.7","271.7","271.7","271.7","271.2","271.2","271.2","271.2","271.2","271.2","271.2","271.2","271.2","271.2","271.2","271.2","271.2","271.2","271.2","271.2","271.2","271.2","271.2","271.2","271.2","271.2","271.2","271.2","252.4","252.4","252.4","252.4","252.4","252.4","252.4","252.4","252.4","252.4","252.4","252.4","252.4","252.4","252.4","252.4","252.4","252.4","252.4","252.4","252.4","252.4","252.4","252.4","252.4","252.4","252.4","252.4"
"1978:Q3","268.1","268.1","268.1","268.1","268.1","268.1","268.1","268.1","268.1","268.1","268.1","268.1","268.1","268.1","268.1","268.1","268.1","268.1","268.1","267.6","267.6","267.6","267.6","267.6","267.6","267.6","267.6","267.6","267.6","267.6","267.6","267.6","267.6","267.6","267.6","267.6","267.6","267.6","267.6","267.6","267.6","267.6","267.6","249.0","249.0","249.0","249.0","249.0","249.0","249.0","249.0","249.0","249.0","249.0","249.0","249.0","249.0","249.0","249.0","249.0","249.0","249.0","249.0","249.0","249.0","249.0","249.0","249.0","249.0","249.0","249.0"
"1978:Q4","270.2","270.2","270.2","270.2","270.2","270.2","270.2","270.2","270.2","270.2","270.2","270.2","270.2","270.2","270.2","270.2","270.2","270.2","270.2","269.7","269.7","269.7","269.7","269.7","269.7","269.7","269.7","269.7","269.7","269.7","269.7","269.7","269.7","269.7","269.7","269.7","269.7","269.7","269.7","269.7","269.7","269.7","269.7","251.0","251.0","251.0","251.0","251.0","251.0","251.0","251.0","251.0","251.0","251.0","251.0","251.0","251.0","251.0","251.0","251.0","251.0","251.0","251.0","251.0","251.0","251.0","251.0","251.0","251.0","251.0","251.0"
"1979:Q1","267.1","267.1","267.1","267.1","267.1","267.1","267.1","267.1","267.1","267.1","267.1","267.1","267.1","267.1","267.1","267.1","267.1","267.1","267.1","266.5","266.5","266.5","266.5","266.5","266.5","266.5","266.5","266.5","266.5","266.5","266.5","266.5","266.5","266.5","266.5","266.5","266.5","266.5","266.5","266.5","266.5","266.5","266.5","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0"
"1979:Q2","261.1","261.1","261.1","261.1","261.1","261.1","261.1","261.1","261.1","261.1","261.1","261.1","261.1","261.1","261.1","261.1","261.1","261.1","261.1","260.5","260.5","260.5","260.5","260.5","260.5","260.5","260.5","260.5","260.5","260.5","260.5","260.5","260.5","260.5","260.5","260.5","260.5","260.5","260.5","260.5","260.5","260.5","260.5","242.4","242.4","242.4","242.4","242.4","242.4","242.4","242.4","242.4","242.4","242.4","242.4","242.4","242.4","242.4","242.4","242.4","242.4","242.4","242.4","242.4","242.4","242.4","242.4","242.4","242.4","242.4","242.4"
"1979:Q3","268.4","268.4","268.4","268.4","268.4","268.4","268.4","268.4","268.4","268.4","268.4","268.4","268.4","268.4","268.4","268.4","268.4","268.4","268.4","267.7","267.7","267.7","267.7","267.7","267.7","267.7","267.7","267.7","267.7","267.7","267.7","267.7","267.7","267.7","267.7","267.7","267.7","267.7","267.7","267.7","267.7","267.7","267.7","249.2","249.2","249.2","249.2","249.2","249.2","249.2","249.2","249.2","249.2","249.2","249.2","249.2","249.2","249.2","249.2","249.2","249.2","249.2","249.2","249.2","249.2","249.2","249.2","249.2","249.2","249.2","249.2"
"1979:Q4","261.5","261.5","261.5","261.5","261.5","261.5","261.5","261.5","261.5","261.5","261.5","261.5","261.5","261.5","261.5","261.5","261.5","261.5","261.5","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.8","242.8","242.8","242.8","242.8","242.8","242.8","242.8","242.8","242.8","242.8","242.8","242.8","242.8","242.8","242.8","242.8","242.8","242.8","242.8","242.8","242.8","242.8","242.8","242.8","242.8","242.8","242.8","242.8"
"1980:Q1","257.4","257.4","257.4","257.4","257.4","257.4","257.4","257.4","257.4","257.4","257.4","257.4","257.4","257.4","257.4","257.4","257.4","257.4","257.4","256.7","256.7","256.7","256.7","256.7","256.7","256.7","256.7","256.7","256.7","256.7","256.7","256.7","256.7","256.7","256.7","256.7","256.7","256.7","256.7","256.7","256.7","256.7","256.7","239.0","239.0","239.0","239.0","239.0","239.0","239.0","239.0","239.0","239.0","239.0","239.0","239.0","239.0","239.0","239.0","239.0","239.0","239.0","239.0","239.0","239.0","239.0","239.0","239.0","239.0","239.0","239.0"
"1980:Q2","229.6","229.6","229.6","229.6","229.6","229.6","229.6","229.6","229.6","229.6","229.6","229.6","229.6","229.6","229.6","229.6","229.6","229.6","229.6","229.1","229.1","229.1","229.1","229.1","229.1","229.1","229.1","229.1","229.1","229.1","229.1","229.1","229.1","229.1","229.1","229.1","229.1","229.1","229.1","229.1","229.1","229.1","229.1","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2"
"1980:Q3","239.8","239.8","239.8","239.8","239.8","239.8","239.8","239.8","239.8","239.8","239.8","239.8","239.8","239.8","239.8","239.8","239.8","239.8","239.8","239.2","239.2","239.2","239.2","239.2","239.2","239.2","239.2","239.2","239.2","239.2","239.2","239.2","239.2","239.2","239.2","239.2","239.2","239.2","239.2","239.2","239.2","239.2","239.2","222.6","222.6","222.6","222.6","222.6","222.6","222.6","222.6","222.6","222.6","222.6","222.6","222.6","222.6","222.6","222.6","222.6","222.6","222.6","222.6","222.6","222.6","222.6","222.6","222.6","222.6","222.6","222.6"
"1980:Q4","247.2","247.2","247.2","247.2","247.2","247.2","247.2","247.2","247.2","247.2","247.2","247.2","247.2","247.2","247.2","247.2","247.2","247.2","247.2","246.5","246.5","246.5","246.5","246.5","246.5","246.5","246.5","246.5","246.5","246.5","246.5","246.5","246.5","246.5","246.5","246.5","246.5","246.5","246.5","246.5","246.5","246.5","246.5","229.4","229.4","229.4","229.4","229.4","229.4","229.4","229.4","229.4","229.4","229.4","229.4","229.4","229.4","229.4","229.4","229.4","229.4","229.4","229.4","229.4","229.4","229.4","229.4","229.4","229.4","229.4","229.4"
"1981:Q1","254.2","254.2","254.2","254.2","254.2","254.2","254.2","254.2","254.2","254.2","254.2","254.2","254.2","254.2","254.2","254.2","254.2","254.2","254.2","253.5","253.5","253.5","253.5","253.5","253.5","253.5","253.5","253.5","253.5","253.5","253.5","253.5","253.5","253.5","253.5","253.5","253.5","253.5","253.5","253.5","253.5","253.5","253.5","235.9","235.9","235.9","235.9","235.9","235.9","235.9","235.9","235.9","235.9","235.9","235.9","235.9","235.9","235.9","235.9","235.9","235.9","235.9","235.9","235.9","235.9","235.9","235.9","235.9","235.9","235.9","235.9"
"1981:Q2","244.3","244.3","244.3","244.3","244.3","244.3","244.3","244.3","244.3","244.3","244.3","244.3","244.3","244.3","244.3","244.3","244.3","244.3","244.3","243.6","243.6","243.6","243.6","243.6","243.6","243.6","243.6","243.6","243.6","243.6","243.6","243.6","243.6","243.6","243.6","243.6","243.6","243.6","243.6","243.6","243.6","243.6","243.6","226.8","226.8","226.8","226.8","226.8","226.8","226.8","226.8","226.8","226.8","226.8","226.8","226.8","226.8","226.8","226.8","226.8","226.8","226.8","226.8","226.8","226.8","226.8","226.8","226.8","226.8","226.8","226.8"
"1981:Q3","251.7","251.7","251.7","251.7","251.7","251.7","251.7","251.7","251.7","251.7","251.7","251.7","251.7","251.7","251.7","251.7","251.7","251.7","251.7","251.0","251.0","251.0","251.0","251.0","251.0","251.0","251.0","251.0","251.0","251.0","251.0","251.0","251.0","251.0","251.0","251.0","251.0","251.0","251.0","251.0","251.0","251.0","251.0","233.7","233.7","233.7","233.7","233.7","233.7","233.7","233.7","233.7","233.7","233.7","233.7","233.7","233.7","233.7","233.7","233.7","233.7","233.7","233.7","233.7","233.7","233.7","233.7","233.7","233.7","233.7","233.7"
"1981:Q4","233.6","233.6","233.6","233.6","233.6","233.6","233.6","233.6","233.6","233.6","233.6","233.6","233.6","233.6","233.6","233.6","233.6","233.6","233.6","233.0","233.0","233.0","233.0","233.0","233.0","233.0","233.0","233.0","233.0","233.0","233.0","233.0","233.0","233.0","233.0","233.0","233.0","233.0","233.0","233.0","233.0","233.0","233.0","216.9","216.9","216.9","216.9","216.9","216.9","216.9","216.9","216.9","216.9","216.9","216.9","216.9","216.9","216.9","216.9","216.9","216.9","216.9","216.9","216.9","216.9","216.9","216.9","216.9","216.9","216.9","216.9"
