"DATE","RINVRESID10M1","RINVRESID10M2","RINVRESID10M3","RINVRESID10M4","RINVRESID10M5","RINVRESID10M6","RINVRESID10M7","RINVRESID10M8","RINVRESID10M9","RINVRESID10M10","RINVRESID10M11","RINVRESID10M12","RINVRESID11M1","RINVRESID11M2","RINVRESID11M3","RINVRESID11M4","RINVRESID11M5","RINVRESID11M6","RINVRESID11M7","RINVRESID11M8","RINVRESID11M9","RINVRESID11M10","RINVRESID11M11","RINVRESID11M12","RINVRESID12M1","RINVRESID12M2","RINVRESID12M3","RINVRESID12M4","RINVRESID12M5","RINVRESID12M6","RINVRESID12M7","RINVRESID12M8","RINVRESID12M9","RINVRESID12M10","RINVRESID12M11","RINVRESID12M12","RINVRESID13M1","RINVRESID13M2","RINVRESID13M3","RINVRESID13M4","RINVRESID13M5","RINVRESID13M6","RINVRESID13M7","RINVRESID13M8","RINVRESID13M9","RINVRESID13M10","RINVRESID13M11","RINVRESID13M12","RINVRESID14M1","RINVRESID14M2","RINVRESID14M3","RINVRESID14M4","RINVRESID14M5","RINVRESID14M6","RINVRESID14M7","RINVRESID14M8","RINVRESID14M9","RINVRESID14M10","RINVRESID14M11","RINVRESID14M12","RINVRESID15M1","RINVRESID15M2","RINVRESID15M3","RINVRESID15M4","RINVRESID15M5","RINVRESID15M6","RINVRESID15M7","RINVRESID15M8","RINVRESID15M9","RINVRESID15M10","RINVRESID15M11"
"1949:Q3","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.0","137.0","137.0","137.0","137.0","137.0","137.0","137.0","137.0","137.0","137.0","137.0","137.0","137.0","137.0","137.0","137.0","137.0","137.0","137.0","137.0","137.0","137.0","137.0","142.3","142.3","142.3","142.3","142.3","142.3","142.3","142.3","142.3","142.3","142.3","142.3","142.3","142.3","142.3","142.3","142.3","142.3","142.3","142.3","142.3","142.3","142.3","142.3","142.3","142.3","142.3","142.3"
"1949:Q4","153.8","153.8","153.8","153.8","153.8","153.8","153.8","153.8","153.8","153.8","153.8","153.8","153.8","153.8","153.8","153.8","153.8","153.8","153.8","153.8","153.8","153.8","153.8","153.8","153.8","153.8","153.8","153.8","153.8","153.8","153.8","153.8","153.8","153.8","153.8","153.8","153.8","153.8","153.8","153.8","153.8","153.8","153.8","159.7","159.7","159.7","159.7","159.7","159.7","159.7","159.7","159.7","159.7","159.7","159.7","159.7","159.7","159.7","159.7","159.7","159.7","159.7","159.7","159.7","159.7","159.7","159.7","159.7","159.7","159.7","159.7"
"1950:Q1","171.1","171.1","171.1","171.1","171.1","171.1","171.1","171.1","171.1","171.1","171.1","171.1","171.1","171.1","171.1","171.1","171.1","171.1","171.1","171.2","171.2","171.2","171.2","171.2","171.2","171.2","171.2","171.2","171.2","171.2","171.2","171.2","171.2","171.2","171.2","171.2","171.2","171.2","171.2","171.2","171.2","171.2","171.2","177.5","177.5","177.5","177.5","177.5","177.5","177.5","177.5","177.5","177.5","177.5","177.5","177.5","177.5","177.5","177.5","177.5","177.5","177.5","177.5","177.5","177.5","177.5","177.5","177.5","177.5","177.5","177.5"
"1950:Q2","187.5","187.5","187.5","187.5","187.5","187.5","187.5","187.5","187.5","187.5","187.5","187.5","187.5","187.5","187.5","187.5","187.5","187.5","187.5","187.8","187.8","187.8","187.8","187.8","187.8","187.8","187.8","187.8","187.8","187.8","187.8","187.8","187.8","187.8","187.8","187.8","187.8","187.8","187.8","187.8","187.8","187.8","187.8","194.5","194.5","194.5","194.5","194.5","194.5","194.5","194.5","194.5","194.5","194.5","194.5","194.5","194.5","194.5","194.5","194.5","194.5","194.5","194.5","194.5","194.5","194.5","194.5","194.5","194.5","194.5","194.5"
"1950:Q3","197.9","197.9","197.9","197.9","197.9","197.9","197.9","197.9","197.9","197.9","197.9","197.9","197.9","197.9","197.9","197.9","197.9","197.9","197.9","198.1","198.1","198.1","198.1","198.1","198.1","198.1","198.1","198.1","198.1","198.1","198.1","198.1","198.1","198.1","198.1","198.1","198.1","198.1","198.1","198.1","198.1","198.1","198.1","205.2","205.2","205.2","205.2","205.2","205.2","205.2","205.2","205.2","205.2","205.2","205.2","205.2","205.2","205.2","205.2","205.2","205.2","205.2","205.2","205.2","205.2","205.2","205.2","205.2","205.2","205.2","205.2"
"1950:Q4","188.6","188.6","188.6","188.6","188.6","188.6","188.6","188.6","188.6","188.6","188.6","188.6","188.6","188.6","188.6","188.6","188.6","188.6","188.6","188.8","188.8","188.8","188.8","188.8","188.8","188.8","188.8","188.8","188.8","188.8","188.8","188.8","188.8","188.8","188.8","188.8","188.8","188.8","188.8","188.8","188.8","188.8","188.8","195.6","195.6","195.6","195.6","195.6","195.6","195.6","195.6","195.6","195.6","195.6","195.6","195.6","195.6","195.6","195.6","195.6","195.6","195.6","195.6","195.6","195.6","195.6","195.6","195.6","195.6","195.6","195.6"
"1951:Q1","178.8","178.8","178.8","178.8","178.8","178.8","178.8","178.8","178.8","178.8","178.8","178.8","178.8","178.8","178.8","178.8","178.8","178.8","178.8","178.8","178.8","178.8","178.8","178.8","178.8","178.8","178.8","178.8","178.8","178.8","178.8","178.8","178.8","178.8","178.8","178.8","178.8","178.8","178.8","178.8","178.8","178.8","178.8","185.5","185.5","185.5","185.5","185.5","185.5","185.5","185.5","185.5","185.5","185.5","185.5","185.5","185.5","185.5","185.5","185.5","185.5","185.5","185.5","185.5","185.5","185.5","185.5","185.5","185.5","185.5","185.5"
"1951:Q2","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.7","154.7","154.7","154.7","154.7","154.7","154.7","154.7","154.7","154.7","154.7","154.7","154.7","154.7","154.7","154.7","154.7","154.7","154.7","154.7","154.7","154.7","154.7","154.7","160.7","160.7","160.7","160.7","160.7","160.7","160.7","160.7","160.7","160.7","160.7","160.7","160.7","160.7","160.7","160.7","160.7","160.7","160.7","160.7","160.7","160.7","160.7","160.7","160.7","160.7","160.7","160.7"
"1951:Q3","145.0","145.0","145.0","145.0","145.0","145.0","145.0","145.0","145.0","145.0","145.0","145.0","145.0","145.0","145.0","145.0","145.0","145.0","145.0","144.8","144.8","144.8","144.8","144.8","144.8","144.8","144.8","144.8","144.8","144.8","144.8","144.8","144.8","144.8","144.8","144.8","144.8","144.8","144.8","144.8","144.8","144.8","144.8","150.6","150.6","150.6","150.6","150.6","150.6","150.6","150.6","150.6","150.6","150.6","150.6","150.6","150.6","150.6","150.6","150.6","150.6","150.6","150.6","150.6","150.6","150.6","150.6","150.6","150.6","150.6","150.6"
"1951:Q4","146.3","146.3","146.3","146.3","146.3","146.3","146.3","146.3","146.3","146.3","146.3","146.3","146.3","146.3","146.3","146.3","146.3","146.3","146.3","146.2","146.2","146.2","146.2","146.2","146.2","146.2","146.2","146.2","146.2","146.2","146.2","146.2","146.2","146.2","146.2","146.2","146.2","146.2","146.2","146.2","146.2","146.2","146.2","152.0","152.0","152.0","152.0","152.0","152.0","152.0","152.0","152.0","152.0","152.0","152.0","152.0","152.0","152.0","152.0","152.0","152.0","152.0","152.0","152.0","152.0","152.0","152.0","152.0","152.0","152.0","152.0"
