"DATE","RINVRESID10M1","RINVRESID10M2","RINVRESID10M3","RINVRESID10M4","RINVRESID10M5","RINVRESID10M6","RINVRESID10M7","RINVRESID10M8","RINVRESID10M9","RINVRESID10M10","RINVRESID10M11","RINVRESID10M12","RINVRESID11M1","RINVRESID11M2","RINVRESID11M3","RINVRESID11M4","RINVRESID11M5","RINVRESID11M6","RINVRESID11M7","RINVRESID11M8","RINVRESID11M9","RINVRESID11M10","RINVRESID11M11","RINVRESID11M12","RINVRESID12M1","RINVRESID12M2","RINVRESID12M3","RINVRESID12M4","RINVRESID12M5","RINVRESID12M6","RINVRESID12M7","RINVRESID12M8","RINVRESID12M9","RINVRESID12M10","RINVRESID12M11","RINVRESID12M12","RINVRESID13M1","RINVRESID13M2","RINVRESID13M3","RINVRESID13M4","RINVRESID13M5","RINVRESID13M6","RINVRESID13M7","RINVRESID13M8","RINVRESID13M9","RINVRESID13M10","RINVRESID13M11","RINVRESID13M12","RINVRESID14M1","RINVRESID14M2","RINVRESID14M3","RINVRESID14M4","RINVRESID14M5","RINVRESID14M6","RINVRESID14M7","RINVRESID14M8","RINVRESID14M9","RINVRESID14M10","RINVRESID14M11","RINVRESID14M12","RINVRESID15M1","RINVRESID15M2","RINVRESID15M3","RINVRESID15M4","RINVRESID15M5","RINVRESID15M6","RINVRESID15M7","RINVRESID15M8","RINVRESID15M9","RINVRESID15M10","RINVRESID15M11"
"1954:Q3","176.7","176.7","176.7","176.7","176.7","176.7","176.7","176.7","176.7","176.7","176.7","176.7","176.7","176.7","176.7","176.7","176.7","176.7","176.7","176.8","176.8","176.8","176.8","176.8","176.8","176.8","176.8","176.8","176.8","176.8","176.8","176.8","176.8","176.8","176.8","176.8","176.8","176.8","176.8","176.8","176.8","176.8","176.8","184.4","184.4","184.4","184.4","184.4","184.4","184.4","184.4","184.4","184.4","184.4","184.4","184.4","184.4","184.4","184.4","184.4","184.4","184.4","184.4","184.4","184.4","184.4","184.4","184.4","184.4","184.4","184.4"
"1954:Q4","187.8","187.8","187.8","187.8","187.8","187.8","187.8","187.8","187.8","187.8","187.8","187.8","187.8","187.8","187.8","187.8","187.8","187.8","187.8","187.9","187.9","187.9","187.9","187.9","187.9","187.9","187.9","187.9","187.9","187.9","187.9","187.9","187.9","187.9","187.9","187.9","187.9","187.9","187.9","187.9","187.9","187.9","187.9","195.9","195.9","195.9","195.9","195.9","195.9","195.9","195.9","195.9","195.9","195.9","195.9","195.9","195.9","195.9","195.9","195.9","195.9","195.9","195.9","195.9","195.9","195.9","195.9","195.9","195.9","195.9","195.9"
"1955:Q1","201.8","201.8","201.8","201.8","201.8","201.8","201.8","201.8","201.8","201.8","201.8","201.8","201.8","201.8","201.8","201.8","201.8","201.8","201.8","201.8","201.8","201.8","201.8","201.8","201.8","201.8","201.8","201.8","201.8","201.8","201.8","201.8","201.8","201.8","201.8","201.8","201.8","201.8","201.8","201.8","201.8","201.8","201.8","210.4","210.4","210.4","210.4","210.4","210.4","210.4","210.4","210.4","210.4","210.4","210.4","210.4","210.4","210.4","210.4","210.4","210.4","210.4","210.4","210.4","210.4","210.4","210.4","210.4","210.4","210.4","210.4"
"1955:Q2","204.8","204.8","204.8","204.8","204.8","204.8","204.8","204.8","204.8","204.8","204.8","204.8","204.8","204.8","204.8","204.8","204.8","204.8","204.8","204.8","204.8","204.8","204.8","204.8","204.8","204.8","204.8","204.8","204.8","204.8","204.8","204.8","204.8","204.8","204.8","204.8","204.8","204.8","204.8","204.8","204.8","204.8","204.8","213.4","213.4","213.4","213.4","213.4","213.4","213.4","213.4","213.4","213.4","213.4","213.4","213.4","213.4","213.4","213.4","213.4","213.4","213.4","213.4","213.4","213.4","213.4","213.4","213.4","213.4","213.4","213.4"
"1955:Q3","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","208.8","208.8","208.8","208.8","208.8","208.8","208.8","208.8","208.8","208.8","208.8","208.8","208.8","208.8","208.8","208.8","208.8","208.8","208.8","208.8","208.8","208.8","208.8","208.8","208.8","208.8","208.8","208.8"
"1955:Q4","192.0","192.0","192.0","192.0","192.0","192.0","192.0","192.0","192.0","192.0","192.0","192.0","192.0","192.0","192.0","192.0","192.0","192.0","192.0","192.0","192.0","192.0","192.0","192.0","192.0","192.0","192.0","192.0","192.0","192.0","192.0","192.0","192.0","192.0","192.0","192.0","192.0","192.0","192.0","192.0","192.0","192.0","192.0","200.1","200.1","200.1","200.1","200.1","200.1","200.1","200.1","200.1","200.1","200.1","200.1","200.1","200.1","200.1","200.1","200.1","200.1","200.1","200.1","200.1","200.1","200.1","200.1","200.1","200.1","200.1","200.1"
"1956:Q1","186.9","186.9","186.9","186.9","186.9","186.9","186.9","186.9","186.9","186.9","186.9","186.9","186.9","186.9","186.9","186.9","186.9","186.9","186.9","186.9","186.9","186.9","186.9","186.9","186.9","186.9","186.9","186.9","186.9","186.9","186.9","186.9","186.9","186.9","186.9","186.9","186.9","186.9","186.9","186.9","186.9","186.9","186.9","195.0","195.0","195.0","195.0","195.0","195.0","195.0","195.0","195.0","195.0","195.0","195.0","195.0","195.0","195.0","195.0","195.0","195.0","195.0","195.0","195.0","195.0","195.0","195.0","195.0","195.0","195.0","195.0"
"1956:Q2","185.8","185.8","185.8","185.8","185.8","185.8","185.8","185.8","185.8","185.8","185.8","185.8","185.8","185.8","185.8","185.8","185.8","185.8","185.8","185.8","185.8","185.8","185.8","185.8","185.8","185.8","185.8","185.8","185.8","185.8","185.8","185.8","185.8","185.8","185.8","185.8","185.8","185.8","185.8","185.8","185.8","185.8","185.8","193.9","193.9","193.9","193.9","193.9","193.9","193.9","193.9","193.9","193.9","193.9","193.9","193.9","193.9","193.9","193.9","193.9","193.9","193.9","193.9","193.9","193.9","193.9","193.9","193.9","193.9","193.9","193.9"
"1956:Q3","182.1","182.1","182.1","182.1","182.1","182.1","182.1","182.1","182.1","182.1","182.1","182.1","182.1","182.1","182.1","182.1","182.1","182.1","182.1","182.1","182.1","182.1","182.1","182.1","182.1","182.1","182.1","182.1","182.1","182.1","182.1","182.1","182.1","182.1","182.1","182.1","182.1","182.1","182.1","182.1","182.1","182.1","182.1","190.3","190.3","190.3","190.3","190.3","190.3","190.3","190.3","190.3","190.3","190.3","190.3","190.3","190.3","190.3","190.3","190.3","190.3","190.3","190.3","190.3","190.3","190.3","190.3","190.3","190.3","190.3","190.3"
"1956:Q4","179.3","179.3","179.3","179.3","179.3","179.3","179.3","179.3","179.3","179.3","179.3","179.3","179.3","179.3","179.3","179.3","179.3","179.3","179.3","179.3","179.3","179.3","179.3","179.3","179.3","179.3","179.3","179.3","179.3","179.3","179.3","179.3","179.3","179.3","179.3","179.3","179.3","179.3","179.3","179.3","179.3","179.3","179.3","187.4","187.4","187.4","187.4","187.4","187.4","187.4","187.4","187.4","187.4","187.4","187.4","187.4","187.4","187.4","187.4","187.4","187.4","187.4","187.4","187.4","187.4","187.4","187.4","187.4","187.4","187.4","187.4"
"1957:Q1","176.7","176.7","176.7","176.7","176.7","176.7","176.7","176.7","176.7","176.7","176.7","176.7","176.7","176.7","176.7","176.7","176.7","176.7","176.7","176.7","176.7","176.7","176.7","176.7","176.7","176.7","176.7","176.7","176.7","176.7","176.7","176.7","176.7","176.7","176.7","176.7","176.7","176.7","176.7","176.7","176.7","176.7","176.7","184.9","184.9","184.9","184.9","184.9","184.9","184.9","184.9","184.9","184.9","184.9","184.9","184.9","184.9","184.9","184.9","184.9","184.9","184.9","184.9","184.9","184.9","184.9","184.9","184.9","184.9","184.9","184.9"
"1957:Q2","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","180.5","180.5","180.5","180.5","180.5","180.5","180.5","180.5","180.5","180.5","180.5","180.5","180.5","180.5","180.5","180.5","180.5","180.5","180.5","180.5","180.5","180.5","180.5","180.5","180.5","180.5","180.5","180.5"
"1957:Q3","170.1","170.1","170.1","170.1","170.1","170.1","170.1","170.1","170.1","170.1","170.1","170.1","170.1","170.1","170.1","170.1","170.1","170.1","170.1","170.1","170.1","170.1","170.1","170.1","170.1","170.1","170.1","170.1","170.1","170.1","170.1","170.1","170.1","170.1","170.1","170.1","170.1","170.1","170.1","170.1","170.1","170.1","170.1","178.1","178.1","178.1","178.1","178.1","178.1","178.1","178.1","178.1","178.1","178.1","178.1","178.1","178.1","178.1","178.1","178.1","178.1","178.1","178.1","178.1","178.1","178.1","178.1","178.1","178.1","178.1","178.1"
"1957:Q4","169.9","169.9","169.9","169.9","169.9","169.9","169.9","169.9","169.9","169.9","169.9","169.9","169.9","169.9","169.9","169.9","169.9","169.9","169.9","169.9","169.9","169.9","169.9","169.9","169.9","169.9","169.9","169.9","169.9","169.9","169.9","169.9","169.9","169.9","169.9","169.9","169.9","169.9","169.9","169.9","169.9","169.9","169.9","177.9","177.9","177.9","177.9","177.9","177.9","177.9","177.9","177.9","177.9","177.9","177.9","177.9","177.9","177.9","177.9","177.9","177.9","177.9","177.9","177.9","177.9","177.9","177.9","177.9","177.9","177.9","177.9"
"1958:Q1","163.1","163.1","163.1","163.1","163.1","163.1","163.1","163.1","163.1","163.1","163.1","163.1","163.1","163.1","163.1","163.1","163.1","163.1","163.1","163.1","163.1","163.1","163.1","163.1","163.1","163.1","163.1","163.1","163.1","163.1","163.1","163.1","163.1","163.1","163.1","163.1","163.1","163.1","163.1","163.1","163.1","163.1","163.1","170.9","170.9","170.9","170.9","170.9","170.9","170.9","170.9","170.9","170.9","170.9","170.9","170.9","170.9","170.9","170.9","170.9","170.9","170.9","170.9","170.9","170.9","170.9","170.9","170.9","170.9","170.9","170.9"
"1958:Q2","163.6","163.6","163.6","163.6","163.6","163.6","163.6","163.6","163.6","163.6","163.6","163.6","163.6","163.6","163.6","163.6","163.6","163.6","163.6","163.6","163.6","163.6","163.6","163.6","163.6","163.6","163.6","163.6","163.6","163.6","163.6","163.6","163.6","163.6","163.6","163.6","163.6","163.6","163.6","163.6","163.6","163.6","163.6","171.5","171.5","171.5","171.5","171.5","171.5","171.5","171.5","171.5","171.5","171.5","171.5","171.5","171.5","171.5","171.5","171.5","171.5","171.5","171.5","171.5","171.5","171.5","171.5","171.5","171.5","171.5","171.5"
"1958:Q3","175.5","175.5","175.5","175.5","175.5","175.5","175.5","175.5","175.5","175.5","175.5","175.5","175.5","175.5","175.5","175.5","175.5","175.5","175.5","175.5","175.5","175.5","175.5","175.5","175.5","175.5","175.5","175.5","175.5","175.5","175.5","175.5","175.5","175.5","175.5","175.5","175.5","175.5","175.5","175.5","175.5","175.5","175.5","183.9","183.9","183.9","183.9","183.9","183.9","183.9","183.9","183.9","183.9","183.9","183.9","183.9","183.9","183.9","183.9","183.9","183.9","183.9","183.9","183.9","183.9","183.9","183.9","183.9","183.9","183.9","183.9"
"1958:Q4","194.2","194.2","194.2","194.2","194.2","194.2","194.2","194.2","194.2","194.2","194.2","194.2","194.2","194.2","194.2","194.2","194.2","194.2","194.2","194.2","194.2","194.2","194.2","194.2","194.2","194.2","194.2","194.2","194.2","194.2","194.2","194.2","194.2","194.2","194.2","194.2","194.2","194.2","194.2","194.2","194.2","194.2","194.2","203.0","203.0","203.0","203.0","203.0","203.0","203.0","203.0","203.0","203.0","203.0","203.0","203.0","203.0","203.0","203.0","203.0","203.0","203.0","203.0","203.0","203.0","203.0","203.0","203.0","203.0","203.0","203.0"
"1959:Q1","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","225.9","225.9","225.9","225.9","225.9","225.9","225.9","225.9","225.9","225.9","225.9","225.9","225.9","225.9","225.9","225.9","225.9","225.9","225.9","225.9","225.9","225.9","225.9","225.9","225.9","225.9","225.9","225.9"
"1959:Q2","223.9","223.9","223.9","223.9","223.9","223.9","223.9","223.9","223.9","223.9","223.9","223.9","223.9","223.9","223.9","223.9","223.9","223.9","223.9","224.0","224.0","224.0","224.0","224.0","224.0","224.0","224.0","224.0","224.0","224.0","224.0","224.0","224.0","224.0","224.0","224.0","224.0","224.0","224.0","224.0","224.0","224.0","224.0","233.8","233.8","233.8","233.8","233.8","233.8","233.8","233.8","233.8","233.8","233.8","233.8","233.8","233.8","233.8","233.8","233.8","233.8","233.8","233.8","233.8","233.8","233.8","233.8","233.8","233.8","233.8","233.8"
"1959:Q3","219.7","219.7","219.7","219.7","219.7","219.7","219.7","219.7","219.7","219.7","219.7","219.7","219.7","219.7","219.7","219.7","219.7","219.7","219.7","219.7","219.7","219.7","219.7","219.7","219.7","219.7","219.7","219.7","219.7","219.7","219.7","219.7","219.7","219.7","219.7","219.7","219.7","219.7","219.7","219.7","219.7","219.7","219.7","229.4","229.4","229.4","229.4","229.4","229.4","229.4","229.4","229.4","229.4","229.4","229.4","229.4","229.4","229.4","229.4","229.4","229.4","229.4","229.4","229.4","229.4","229.4","229.4","229.4","229.4","229.4","229.4"
"1959:Q4","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","222.9","222.9","222.9","222.9","222.9","222.9","222.9","222.9","222.9","222.9","222.9","222.9","222.9","222.9","222.9","222.9","222.9","222.9","222.9","222.9","222.9","222.9","222.9","222.9","222.9","222.9","222.9","222.9"
"1960:Q1","219.4","219.4","219.4","219.4","219.4","219.4","219.4","219.4","219.4","219.4","219.4","219.4","219.4","219.4","219.4","219.4","219.4","219.4","219.4","219.4","219.4","219.4","219.4","219.4","219.4","219.4","219.4","219.4","219.4","219.4","219.4","219.4","219.4","219.4","219.4","219.4","219.4","219.4","219.4","219.4","219.4","219.4","219.4","229.8","229.8","229.8","229.8","229.8","229.8","229.8","229.8","229.8","229.8","229.8","229.8","229.8","229.8","229.8","229.8","229.8","229.8","229.8","229.8","229.8","229.8","229.8","229.8","229.8","229.8","229.8","229.8"
"1960:Q2","201.4","201.4","201.4","201.4","201.4","201.4","201.4","201.4","201.4","201.4","201.4","201.4","201.4","201.4","201.4","201.4","201.4","201.4","201.4","201.4","201.4","201.4","201.4","201.4","201.4","201.4","201.4","201.4","201.4","201.4","201.4","201.4","201.4","201.4","201.4","201.4","201.4","201.4","201.4","201.4","201.4","201.4","201.4","211.0","211.0","211.0","211.0","211.0","211.0","211.0","211.0","211.0","211.0","211.0","211.0","211.0","211.0","211.0","211.0","211.0","211.0","211.0","211.0","211.0","211.0","211.0","211.0","211.0","211.0","211.0","211.0"
"1960:Q3","195.3","195.3","195.3","195.3","195.3","195.3","195.3","195.3","195.3","195.3","195.3","195.3","195.3","195.3","195.3","195.3","195.3","195.3","195.3","195.3","195.3","195.3","195.3","195.3","195.3","195.3","195.3","195.3","195.3","195.3","195.3","195.3","195.3","195.3","195.3","195.3","195.3","195.3","195.3","195.3","195.3","195.3","195.3","204.7","204.7","204.7","204.7","204.7","204.7","204.7","204.7","204.7","204.7","204.7","204.7","204.7","204.7","204.7","204.7","204.7","204.7","204.7","204.7","204.7","204.7","204.7","204.7","204.7","204.7","204.7","204.7"
"1960:Q4","195.0","195.0","195.0","195.0","195.0","195.0","195.0","195.0","195.0","195.0","195.0","195.0","195.0","195.0","195.0","195.0","195.0","195.0","195.0","195.0","195.0","195.0","195.0","195.0","195.0","195.0","195.0","195.0","195.0","195.0","195.0","195.0","195.0","195.0","195.0","195.0","195.0","195.0","195.0","195.0","195.0","195.0","195.0","204.5","204.5","204.5","204.5","204.5","204.5","204.5","204.5","204.5","204.5","204.5","204.5","204.5","204.5","204.5","204.5","204.5","204.5","204.5","204.5","204.5","204.5","204.5","204.5","204.5","204.5","204.5","204.5"
"1961:Q1","195.8","195.8","195.8","195.8","195.8","195.8","195.8","195.8","195.8","195.8","195.8","195.8","195.8","195.8","195.8","195.8","195.8","195.8","195.8","195.8","195.8","195.8","195.8","195.8","195.8","195.8","195.8","195.8","195.8","195.8","195.8","195.8","195.8","195.8","195.8","195.8","195.8","195.8","195.8","195.8","195.8","195.8","195.8","205.3","205.3","205.3","205.3","205.3","205.3","205.3","205.3","205.3","205.3","205.3","205.3","205.3","205.3","205.3","205.3","205.3","205.3","205.3","205.3","205.3","205.3","205.3","205.3","205.3","205.3","205.3","205.3"
"1961:Q2","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","206.1","206.1","206.1","206.1","206.1","206.1","206.1","206.1","206.1","206.1","206.1","206.1","206.1","206.1","206.1","206.1","206.1","206.1","206.1","206.1","206.1","206.1","206.1","206.1","206.1","206.1","206.1","206.1"
"1961:Q3","207.1","207.1","207.1","207.1","207.1","207.1","207.1","207.1","207.1","207.1","207.1","207.1","207.1","207.1","207.1","207.1","207.1","207.1","207.1","207.1","207.1","207.1","207.1","207.1","207.1","207.1","207.1","207.1","207.1","207.1","207.1","207.1","207.1","207.1","207.1","207.1","207.1","207.1","207.1","207.1","207.1","207.1","207.1","217.3","217.3","217.3","217.3","217.3","217.3","217.3","217.3","217.3","217.3","217.3","217.3","217.3","217.3","217.3","217.3","217.3","217.3","217.3","217.3","217.3","217.3","217.3","217.3","217.3","217.3","217.3","217.3"
"1961:Q4","214.0","214.0","214.0","214.0","214.0","214.0","214.0","214.0","214.0","214.0","214.0","214.0","214.0","214.0","214.0","214.0","214.0","214.0","214.0","214.0","214.0","214.0","214.0","214.0","214.0","214.0","214.0","214.0","214.0","214.0","214.0","214.0","214.0","214.0","214.0","214.0","214.0","214.0","214.0","214.0","214.0","214.0","214.0","224.7","224.7","224.7","224.7","224.7","224.7","224.7","224.7","224.7","224.7","224.7","224.7","224.7","224.7","224.7","224.7","224.7","224.7","224.7","224.7","224.7","224.7","224.7","224.7","224.7","224.7","224.7","224.7"
"1962:Q1","217.9","217.9","217.9","217.9","217.9","217.9","217.9","217.9","217.9","217.9","217.9","217.9","217.9","217.9","217.9","217.9","217.9","217.9","217.9","217.9","217.9","217.9","217.9","217.9","217.9","217.9","217.9","217.9","217.9","217.9","217.9","217.9","217.9","217.9","217.9","217.9","217.9","217.9","217.9","217.9","217.9","217.9","217.9","228.7","228.7","228.7","228.7","228.7","228.7","228.7","228.7","228.7","228.7","228.7","228.7","228.7","228.7","228.7","228.7","228.7","228.7","228.7","228.7","228.7","228.7","228.7","228.7","228.7","228.7","228.7","228.7"
"1962:Q2","224.7","224.7","224.7","224.7","224.7","224.7","224.7","224.7","224.7","224.7","224.7","224.7","224.7","224.7","224.7","224.7","224.7","224.7","224.7","224.7","224.7","224.7","224.7","224.7","224.7","224.7","224.7","224.7","224.7","224.7","224.7","224.7","224.7","224.7","224.7","224.7","224.7","224.7","224.7","224.7","224.7","224.7","224.7","235.7","235.7","235.7","235.7","235.7","235.7","235.7","235.7","235.7","235.7","235.7","235.7","235.7","235.7","235.7","235.7","235.7","235.7","235.7","235.7","235.7","235.7","235.7","235.7","235.7","235.7","235.7","235.7"
"1962:Q3","224.5","224.5","224.5","224.5","224.5","224.5","224.5","224.5","224.5","224.5","224.5","224.5","224.5","224.5","224.5","224.5","224.5","224.5","224.5","224.5","224.5","224.5","224.5","224.5","224.5","224.5","224.5","224.5","224.5","224.5","224.5","224.5","224.5","224.5","224.5","224.5","224.5","224.5","224.5","224.5","224.5","224.5","224.5","235.6","235.6","235.6","235.6","235.6","235.6","235.6","235.6","235.6","235.6","235.6","235.6","235.6","235.6","235.6","235.6","235.6","235.6","235.6","235.6","235.6","235.6","235.6","235.6","235.6","235.6","235.6","235.6"
"1962:Q4","224.2","224.2","224.2","224.2","224.2","224.2","224.2","224.2","224.2","224.2","224.2","224.2","224.2","224.2","224.2","224.2","224.2","224.2","224.2","224.2","224.2","224.2","224.2","224.2","224.2","224.2","224.2","224.2","224.2","224.2","224.2","224.2","224.2","224.2","224.2","224.2","224.2","224.2","224.2","224.2","224.2","224.2","224.2","235.2","235.2","235.2","235.2","235.2","235.2","235.2","235.2","235.2","235.2","235.2","235.2","235.2","235.2","235.2","235.2","235.2","235.2","235.2","235.2","235.2","235.2","235.2","235.2","235.2","235.2","235.2","235.2"
"1963:Q1","232.3","232.3","232.3","232.3","232.3","232.3","232.3","232.3","232.3","232.3","232.3","232.3","232.3","232.3","232.3","232.3","232.3","232.3","232.3","232.3","232.3","232.3","232.3","232.3","232.3","232.3","232.3","232.3","232.3","232.3","232.3","232.3","232.3","232.3","232.3","232.3","232.3","232.3","232.3","232.3","232.3","232.3","232.3","243.5","243.5","243.5","243.5","243.5","243.5","243.5","243.5","243.5","243.5","243.5","243.5","243.5","243.5","243.5","243.5","243.5","243.5","243.5","243.5","243.5","243.5","243.5","243.5","243.5","243.5","243.5","243.5"
"1963:Q2","249.1","249.1","249.1","249.1","249.1","249.1","249.1","249.1","249.1","249.1","249.1","249.1","249.1","249.1","249.1","249.1","249.1","249.1","249.1","249.0","249.0","249.0","249.0","249.0","249.0","249.0","249.0","249.0","249.0","249.0","249.0","249.0","249.0","249.0","249.0","249.0","249.0","249.0","249.0","249.0","249.0","249.0","249.0","260.9","260.9","260.9","260.9","260.9","260.9","260.9","260.9","260.9","260.9","260.9","260.9","260.9","260.9","260.9","260.9","260.9","260.9","260.9","260.9","260.9","260.9","260.9","260.9","260.9","260.9","260.9","260.9"
"1963:Q3","253.7","253.7","253.7","253.7","253.7","253.7","253.7","253.7","253.7","253.7","253.7","253.7","253.7","253.7","253.7","253.7","253.7","253.7","253.7","253.7","253.7","253.7","253.7","253.7","253.7","253.7","253.7","253.7","253.7","253.7","253.7","253.7","253.7","253.7","253.7","253.7","253.7","253.7","253.7","253.7","253.7","253.7","253.7","265.9","265.9","265.9","265.9","265.9","265.9","265.9","265.9","265.9","265.9","265.9","265.9","265.9","265.9","265.9","265.9","265.9","265.9","265.9","265.9","265.9","265.9","265.9","265.9","265.9","265.9","265.9","265.9"
"1963:Q4","261.5","261.5","261.5","261.5","261.5","261.5","261.5","261.5","261.5","261.5","261.5","261.5","261.5","261.5","261.5","261.5","261.5","261.5","261.5","261.4","261.4","261.4","261.4","261.4","261.4","261.4","261.4","261.4","261.4","261.4","261.4","261.4","261.4","261.4","261.4","261.4","261.4","261.4","261.4","261.4","261.4","261.4","261.4","274.3","274.3","274.3","274.3","274.3","274.3","274.3","274.3","274.3","274.3","274.3","274.3","274.3","274.3","274.3","274.3","274.3","274.3","274.3","274.3","274.3","274.3","274.3","274.3","274.3","274.3","274.3","274.3"
"1964:Q1","277.5","277.5","277.5","277.5","277.5","277.5","277.5","277.5","277.5","277.5","277.5","277.5","277.5","277.5","277.5","277.5","277.5","277.5","277.5","277.4","277.4","277.4","277.4","277.4","277.4","277.4","277.4","277.4","277.4","277.4","277.4","277.4","277.4","277.4","277.4","277.4","277.4","277.4","277.4","277.4","277.4","277.4","277.4","291.1","291.1","291.1","291.1","291.1","291.1","291.1","291.1","291.1","291.1","291.1","291.1","291.1","291.1","291.1","291.1","291.1","291.1","291.1","291.1","291.1","291.1","291.1","291.1","291.1","291.1","291.1","291.1"
"1964:Q2","263.6","263.6","263.6","263.6","263.6","263.6","263.6","263.6","263.6","263.6","263.6","263.6","263.6","263.6","263.6","263.6","263.6","263.6","263.6","263.4","263.4","263.4","263.4","263.4","263.4","263.4","263.4","263.4","263.4","263.4","263.4","263.4","263.4","263.4","263.4","263.4","263.4","263.4","263.4","263.4","263.4","263.4","263.4","276.6","276.6","276.6","276.6","276.6","276.6","276.6","276.6","276.6","276.6","276.6","276.6","276.6","276.6","276.6","276.6","276.6","276.6","276.6","276.6","276.6","276.6","276.6","276.6","276.6","276.6","276.6","276.6"
"1964:Q3","259.2","259.2","259.2","259.2","259.2","259.2","259.2","259.2","259.2","259.2","259.2","259.2","259.2","259.2","259.2","259.2","259.2","259.2","259.2","259.1","259.1","259.1","259.1","259.1","259.1","259.1","259.1","259.1","259.1","259.1","259.1","259.1","259.1","259.1","259.1","259.1","259.1","259.1","259.1","259.1","259.1","259.1","259.1","272.2","272.2","272.2","272.2","272.2","272.2","272.2","272.2","272.2","272.2","272.2","272.2","272.2","272.2","272.2","272.2","272.2","272.2","272.2","272.2","272.2","272.2","272.2","272.2","272.2","272.2","272.2","272.2"
"1964:Q4","254.5","254.5","254.5","254.5","254.5","254.5","254.5","254.5","254.5","254.5","254.5","254.5","254.5","254.5","254.5","254.5","254.5","254.5","254.5","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","267.4","267.4","267.4","267.4","267.4","267.4","267.4","267.4","267.4","267.4","267.4","267.4","267.4","267.4","267.4","267.4","267.4","267.4","267.4","267.4","267.4","267.4","267.4","267.4","267.4","267.4","267.4","267.4"
"1965:Q1","255.3","255.3","255.3","255.3","255.3","255.3","255.3","255.3","255.3","255.3","255.3","255.3","255.3","255.3","255.3","255.3","255.3","255.3","255.3","255.3","255.3","255.3","255.3","255.3","255.3","255.3","255.3","255.3","255.3","255.3","255.3","255.3","255.3","255.3","255.3","255.3","255.3","255.3","255.3","255.3","255.3","255.3","255.3","268.7","268.7","268.7","268.7","268.7","268.7","268.7","268.7","268.7","268.7","268.7","268.7","268.7","268.7","268.7","268.7","268.7","268.7","268.7","268.7","268.7","268.7","268.7","268.7","268.7","268.7","268.7","268.7"
"1965:Q2","257.2","257.2","257.2","257.2","257.2","257.2","257.2","257.2","257.2","257.2","257.2","257.2","257.2","257.2","257.2","257.2","257.2","257.2","257.2","257.3","257.3","257.3","257.3","257.3","257.3","257.3","257.3","257.3","257.3","257.3","257.3","257.3","257.3","257.3","257.3","257.3","257.3","257.3","257.3","257.3","257.3","257.3","257.3","271.0","271.0","271.0","271.0","271.0","271.0","271.0","271.0","271.0","271.0","271.0","271.0","271.0","271.0","271.0","271.0","271.0","271.0","271.0","271.0","271.0","271.0","271.0","271.0","271.0","271.0","271.0","271.0"
"1965:Q3","258.3","258.3","258.3","258.3","258.3","258.3","258.3","258.3","258.3","258.3","258.3","258.3","258.3","258.3","258.3","258.3","258.3","258.3","258.3","258.3","258.3","258.3","258.3","258.3","258.3","258.3","258.3","258.3","258.3","258.3","258.3","258.3","258.3","258.3","258.3","258.3","258.3","258.3","258.3","258.3","258.3","258.3","258.3","272.3","272.3","272.3","272.3","272.3","272.3","272.3","272.3","272.3","272.3","272.3","272.3","272.3","272.3","272.3","272.3","272.3","272.3","272.3","272.3","272.3","272.3","272.3","272.3","272.3","272.3","272.3","272.3"
