"DATE","RCON00M1","RCON00M2","RCON00M3","RCON00M4","RCON00M5","RCON00M6","RCON00M7","RCON00M8","RCON00M9","RCON00M10","RCON00M11","RCON00M12","RCON01M1","RCON01M2","RCON01M3","RCON01M4","RCON01M5","RCON01M6","RCON01M7","RCON01M8","RCON01M9","RCON01M10","RCON01M11","RCON01M12","RCON02M1","RCON02M2","RCON02M3","RCON02M4","RCON02M5","RCON02M6","RCON02M7","RCON02M8","RCON02M9","RCON02M10","RCON02M11","RCON02M12","RCON03M1","RCON03M2","RCON03M3","RCON03M4","RCON03M5","RCON03M6","RCON03M7","RCON03M8","RCON03M9","RCON03M10","RCON03M11","RCON03M12","RCON04M1","RCON04M2","RCON04M3","RCON04M4","RCON04M5","RCON04M6","RCON04M7","RCON04M8","RCON04M9","RCON04M10","RCON04M11","RCON04M12","RCON05M1","RCON05M2","RCON05M3","RCON05M4","RCON05M5","RCON05M6","RCON05M7","RCON05M8","RCON05M9","RCON05M10","RCON05M11","RCON05M12","RCON06M1","RCON06M2","RCON06M3","RCON06M4","RCON06M5","RCON06M6","RCON06M7","RCON06M8","RCON06M9","RCON06M10","RCON06M11","RCON06M12","RCON07M1","RCON07M2","RCON07M3","RCON07M4","RCON07M5","RCON07M6","RCON07M7","RCON07M8","RCON07M9","RCON07M10","RCON07M11","RCON07M12","RCON08M1","RCON08M2","RCON08M3","RCON08M4","RCON08M5","RCON08M6","RCON08M7","RCON08M8","RCON08M9","RCON08M10","RCON08M11","RCON08M12","RCON09M1","RCON09M2","RCON09M3","RCON09M4","RCON09M5","RCON09M6","RCON09M7","RCON09M8","RCON09M9","RCON09M10","RCON09M11","RCON09M12"
"1947:Q1","#N/A","#N/A","#N/A","963.4","963.4","963.4","963.4","963.4","963.4","963.4","963.4","963.4","963.4","963.4","963.4","963.4","963.4","963.4","963.4","963.4","963.4","963.4","963.4","963.4","963.4","963.4","963.4","963.4","963.4","963.4","963.4","963.4","963.4","963.4","963.4","963.4","963.4","963.4","963.4","963.4","963.4","963.4","963.4","963.4","963.4","963.4","963.4","1017.2","1017.2","1017.2","1017.2","1017.2","1017.2","1017.2","1017.2","1017.2","1017.2","1017.2","1017.2","1017.2","1017.2","1017.2","1017.2","1017.2","1017.2","1017.2","1017.2","1017.2","1017.2","1017.2","1017.2","1017.2","1017.2","1017.2","1017.2","1017.2","1017.2","1017.2","1017.2","1017.2","1017.2","1017.2","1017.2","1017.2","1017.2","1017.2","1017.2","1017.2","1017.2","1017.2","1017.2","1017.2","1017.2","1017.2","1017.2","1017.2","1017.2","1017.2","1017.2","1017.2","1017.2","1017.2","1017.2","1017.2","1017.2","1017.2","1017.2","1017.2","1017.2","1017.2","1017.2","1017.2","1017.2","1017.2","1017.2","1131.5","1131.5","1131.5","1131.5","1131.5"
"1947:Q2","#N/A","#N/A","#N/A","978.7","978.7","978.7","978.7","978.7","978.7","978.7","978.7","978.7","978.7","978.7","978.7","978.7","978.7","978.7","978.7","978.7","978.7","978.7","978.7","978.7","978.7","978.7","978.7","978.7","978.7","978.7","978.7","978.7","978.7","978.7","978.7","978.7","978.7","978.7","978.7","978.7","978.7","978.7","978.7","978.7","978.7","978.7","978.7","1034.0","1034.0","1034.0","1034.0","1034.0","1034.0","1034.0","1034.0","1034.0","1034.0","1034.0","1034.0","1034.0","1034.0","1034.0","1034.0","1034.0","1034.0","1034.0","1034.0","1034.0","1034.0","1034.0","1034.0","1034.0","1034.0","1034.0","1034.0","1034.0","1034.0","1034.0","1034.0","1034.0","1034.0","1034.0","1034.0","1034.0","1034.0","1034.0","1034.0","1034.0","1034.0","1034.0","1034.0","1034.0","1034.0","1034.0","1034.0","1034.0","1034.0","1034.0","1034.0","1034.0","1034.0","1034.0","1034.0","1034.0","1034.0","1034.0","1034.0","1034.0","1034.0","1034.0","1034.0","1034.0","1034.0","1034.0","1034.0","1150.2","1150.2","1150.2","1150.2","1150.2"
"1947:Q3","#N/A","#N/A","#N/A","981.7","981.7","981.7","981.7","981.7","981.7","981.7","981.7","981.7","981.7","981.7","981.7","981.7","981.7","981.7","981.7","981.7","981.7","981.7","981.7","981.7","981.7","981.7","981.7","981.7","981.7","981.7","981.7","981.7","981.7","981.7","981.7","981.7","981.7","981.7","981.7","981.7","981.7","981.7","981.7","981.7","981.7","981.7","981.7","1037.5","1037.5","1037.5","1037.5","1037.5","1037.5","1037.5","1037.5","1037.5","1037.5","1037.5","1037.5","1037.5","1037.5","1037.5","1037.5","1037.5","1037.5","1037.5","1037.5","1037.5","1037.5","1037.5","1037.5","1037.5","1037.5","1037.5","1037.5","1037.5","1037.5","1037.5","1037.5","1037.5","1037.5","1037.5","1037.5","1037.5","1037.5","1037.5","1037.5","1037.5","1037.5","1037.5","1037.5","1037.5","1037.5","1037.5","1037.5","1037.5","1037.5","1037.5","1037.5","1037.5","1037.5","1037.5","1037.5","1037.5","1037.5","1037.5","1037.5","1037.5","1037.5","1037.5","1037.5","1037.5","1037.5","1037.5","1037.5","1154.0","1154.0","1154.0","1154.0","1154.0"
"1947:Q4","#N/A","#N/A","#N/A","981.8","981.8","981.8","981.8","981.8","981.8","981.8","981.8","981.8","981.8","981.8","981.8","981.8","981.8","981.8","981.8","981.8","981.8","981.8","981.8","981.8","981.8","981.8","981.8","981.8","981.8","981.8","981.8","981.8","981.8","981.8","981.8","981.8","981.8","981.8","981.8","981.8","981.8","981.8","981.8","981.8","981.8","981.8","981.8","1037.7","1037.7","1037.7","1037.7","1037.7","1037.7","1037.7","1037.7","1037.7","1037.7","1037.7","1037.7","1037.7","1037.7","1037.7","1037.7","1037.7","1037.7","1037.7","1037.7","1037.7","1037.7","1037.7","1037.7","1037.7","1037.7","1037.7","1037.7","1037.7","1037.7","1037.7","1037.7","1037.7","1037.7","1037.7","1037.7","1037.7","1037.7","1037.7","1037.7","1037.7","1037.7","1037.7","1037.7","1037.7","1037.7","1037.7","1037.7","1037.7","1037.7","1037.7","1037.7","1037.7","1037.7","1037.7","1037.7","1037.7","1037.7","1037.7","1037.7","1037.7","1037.7","1037.7","1037.7","1037.7","1037.7","1037.7","1037.7","1154.3","1154.3","1154.3","1154.3","1154.3"
"1948:Q1","#N/A","#N/A","#N/A","986.7","986.7","986.7","986.7","986.7","986.7","986.7","986.7","986.7","986.7","986.7","986.7","986.7","986.7","986.7","986.7","986.7","986.7","986.7","986.7","986.7","986.7","986.7","986.7","986.7","986.7","986.7","986.7","986.7","986.7","986.7","986.7","986.7","986.7","986.7","986.7","986.7","986.7","986.7","986.7","986.7","986.7","986.7","986.7","1042.6","1042.6","1042.6","1042.6","1042.6","1042.6","1042.6","1042.6","1042.6","1042.6","1042.6","1042.6","1042.6","1042.6","1042.6","1042.6","1042.6","1042.6","1042.6","1042.6","1042.6","1042.6","1042.6","1042.6","1042.6","1042.6","1042.6","1042.6","1042.6","1042.6","1042.6","1042.6","1042.6","1042.6","1042.6","1042.6","1042.6","1042.6","1042.6","1042.6","1042.6","1042.6","1042.6","1042.6","1042.6","1042.6","1042.6","1042.6","1042.6","1042.6","1042.6","1042.6","1042.6","1042.6","1042.6","1042.6","1042.6","1042.6","1042.6","1042.6","1042.6","1042.6","1042.6","1042.6","1042.6","1042.6","1042.6","1042.6","1160.1","1160.1","1160.1","1160.1","1160.1"
"1948:Q2","#N/A","#N/A","#N/A","997.8","997.8","997.8","997.8","997.8","997.8","997.8","997.8","997.8","997.8","997.8","997.8","997.8","997.8","997.8","997.8","997.8","997.8","997.8","997.8","997.8","997.8","997.8","997.8","997.8","997.8","997.8","997.8","997.8","997.8","997.8","997.8","997.8","997.8","997.8","997.8","997.8","997.8","997.8","997.8","997.8","997.8","997.8","997.8","1054.3","1054.3","1054.3","1054.3","1054.3","1054.3","1054.3","1054.3","1054.3","1054.3","1054.3","1054.3","1054.3","1054.3","1054.3","1054.3","1054.3","1054.3","1054.3","1054.3","1054.3","1054.3","1054.3","1054.3","1054.3","1054.3","1054.3","1054.3","1054.3","1054.3","1054.3","1054.3","1054.3","1054.3","1054.3","1054.3","1054.3","1054.3","1054.3","1054.3","1054.3","1054.3","1054.3","1054.3","1054.3","1054.3","1054.3","1054.3","1054.3","1054.3","1054.3","1054.3","1054.3","1054.3","1054.3","1054.3","1054.3","1054.3","1054.3","1054.3","1054.3","1054.3","1054.3","1054.3","1054.3","1054.3","1054.3","1054.3","1173.6","1173.6","1173.6","1173.6","1173.6"
"1948:Q3","#N/A","#N/A","#N/A","999.7","999.7","999.7","999.7","999.7","999.7","999.7","999.7","999.7","999.7","999.7","999.7","999.7","999.7","999.7","999.7","999.7","999.7","999.7","999.7","999.7","999.7","999.7","999.7","999.7","999.7","999.7","999.7","999.7","999.7","999.7","999.7","999.7","999.7","999.7","999.7","999.7","999.7","999.7","999.7","999.7","999.7","999.7","999.7","1056.1","1056.1","1056.1","1056.1","1056.1","1056.1","1056.1","1056.1","1056.1","1056.1","1056.1","1056.1","1056.1","1056.1","1056.1","1056.1","1056.1","1056.1","1056.1","1056.1","1056.1","1056.1","1056.1","1056.1","1056.1","1056.1","1056.1","1056.1","1056.1","1056.1","1056.1","1056.1","1056.1","1056.1","1056.1","1056.1","1056.1","1056.1","1056.1","1056.1","1056.1","1056.1","1056.1","1056.1","1056.1","1056.1","1056.1","1056.1","1056.1","1056.1","1056.1","1056.1","1056.1","1056.1","1056.1","1056.1","1056.1","1056.1","1056.1","1056.1","1056.1","1056.1","1056.1","1056.1","1056.1","1056.1","1056.1","1056.1","1175.3","1175.3","1175.3","1175.3","1175.3"
"1948:Q4","#N/A","#N/A","#N/A","1008.0","1008.0","1008.0","1008.0","1008.0","1008.0","1008.0","1008.0","1008.0","1008.0","1008.0","1008.0","1008.0","1008.0","1008.0","1008.0","1008.0","1008.0","1008.0","1008.0","1008.0","1008.0","1008.0","1008.0","1008.0","1008.0","1008.0","1008.0","1008.0","1008.0","1008.0","1008.0","1008.0","1008.0","1008.0","1008.0","1008.0","1008.0","1008.0","1008.0","1008.0","1008.0","1008.0","1008.0","1064.8","1064.8","1064.8","1064.8","1064.8","1064.8","1064.8","1064.8","1064.8","1064.8","1064.8","1064.8","1064.8","1064.8","1064.8","1064.8","1064.8","1064.8","1064.8","1064.8","1064.8","1064.8","1064.8","1064.8","1064.8","1064.8","1064.8","1064.8","1064.8","1064.8","1064.8","1064.8","1064.8","1064.8","1064.8","1064.8","1064.8","1064.8","1064.8","1064.8","1064.8","1064.8","1064.8","1064.8","1064.8","1064.8","1064.8","1064.8","1064.8","1064.8","1064.8","1064.8","1064.8","1064.8","1064.8","1064.8","1064.8","1064.8","1064.8","1064.8","1064.8","1064.8","1064.8","1064.8","1064.8","1064.8","1064.8","1064.8","1184.7","1184.7","1184.7","1184.7","1184.7"
"1949:Q1","#N/A","#N/A","#N/A","1009.0","1009.0","1009.0","1009.0","1009.0","1009.0","1009.0","1009.0","1009.0","1009.0","1009.0","1009.0","1009.0","1009.0","1009.0","1009.0","1009.0","1009.0","1009.0","1009.0","1009.0","1009.0","1009.0","1009.0","1009.0","1009.0","1009.0","1009.0","1009.0","1009.0","1009.0","1009.0","1009.0","1009.0","1009.0","1009.0","1009.0","1009.0","1009.0","1009.0","1009.0","1009.0","1009.0","1009.0","1066.1","1066.1","1066.1","1066.1","1066.1","1066.1","1066.1","1066.1","1066.1","1066.1","1066.1","1066.1","1066.1","1066.1","1066.1","1066.1","1066.1","1066.1","1066.1","1066.1","1066.1","1066.1","1066.1","1066.1","1066.1","1066.1","1066.1","1066.1","1066.1","1066.1","1066.1","1066.1","1066.1","1066.1","1066.1","1066.1","1066.1","1066.1","1066.1","1066.1","1066.1","1066.1","1066.1","1066.1","1066.1","1066.1","1066.1","1066.1","1066.1","1066.1","1066.1","1066.1","1066.1","1066.1","1066.1","1066.1","1066.1","1066.1","1066.1","1066.1","1066.1","1066.1","1066.1","1066.1","1066.1","1066.1","1066.1","1066.1","1186.5","1186.5","1186.5","1186.5","1186.5"
"1949:Q2","#N/A","#N/A","#N/A","1024.6","1024.6","1024.6","1024.6","1024.6","1024.6","1024.6","1024.6","1024.6","1024.6","1024.6","1024.6","1024.6","1024.6","1024.6","1024.6","1024.6","1024.6","1024.6","1024.6","1024.6","1024.6","1024.6","1024.6","1024.6","1024.6","1024.6","1024.6","1024.6","1024.6","1024.6","1024.6","1024.6","1024.6","1024.6","1024.6","1024.6","1024.6","1024.6","1024.6","1024.6","1024.6","1024.6","1024.6","1082.6","1082.6","1082.6","1082.6","1082.6","1082.6","1082.6","1082.6","1082.6","1082.6","1082.6","1082.6","1082.6","1082.6","1082.6","1082.6","1082.6","1082.6","1082.6","1082.6","1082.6","1082.6","1082.6","1082.6","1082.6","1082.6","1082.6","1082.6","1082.6","1082.6","1082.6","1082.6","1082.6","1082.6","1082.6","1082.6","1082.6","1082.6","1082.6","1082.6","1082.6","1082.6","1082.6","1082.6","1082.6","1082.6","1082.6","1082.6","1082.6","1082.6","1082.6","1082.6","1082.6","1082.6","1082.6","1082.6","1082.6","1082.6","1082.6","1082.6","1082.6","1082.6","1082.6","1082.6","1082.6","1082.6","1082.6","1082.6","1204.7","1204.7","1204.7","1204.7","1204.7"
