"DATE","RCOND70M1","RCOND70M2","RCOND70M3","RCOND70M4","RCOND70M5","RCOND70M6","RCOND70M7","RCOND70M8","RCOND70M9","RCOND70M10","RCOND70M11","RCOND70M12","RCOND71M1","RCOND71M2","RCOND71M3","RCOND71M4","RCOND71M5","RCOND71M6","RCOND71M7","RCOND71M8","RCOND71M9","RCOND71M10","RCOND71M11","RCOND71M12","RCOND72M1","RCOND72M2","RCOND72M3","RCOND72M4","RCOND72M5","RCOND72M6","RCOND72M7","RCOND72M8","RCOND72M9","RCOND72M10","RCOND72M11","RCOND72M12","RCOND73M1","RCOND73M2","RCOND73M3","RCOND73M4","RCOND73M5","RCOND73M6","RCOND73M7","RCOND73M8","RCOND73M9","RCOND73M10","RCOND73M11","RCOND73M12","RCOND74M1","RCOND74M2","RCOND74M3","RCOND74M4","RCOND74M5","RCOND74M6","RCOND74M7","RCOND74M8","RCOND74M9","RCOND74M10","RCOND74M11","RCOND74M12","RCOND75M1","RCOND75M2","RCOND75M3","RCOND75M4","RCOND75M5","RCOND75M6","RCOND75M7","RCOND75M8","RCOND75M9","RCOND75M10","RCOND75M11","RCOND75M12","RCOND76M1","RCOND76M2","RCOND76M3","RCOND76M4","RCOND76M5","RCOND76M6","RCOND76M7","RCOND76M8","RCOND76M9","RCOND76M10","RCOND76M11","RCOND76M12","RCOND77M1","RCOND77M2","RCOND77M3","RCOND77M4","RCOND77M5","RCOND77M6","RCOND77M7","RCOND77M8","RCOND77M9","RCOND77M10","RCOND77M11","RCOND77M12","RCOND78M1","RCOND78M2","RCOND78M3","RCOND78M4","RCOND78M5","RCOND78M6","RCOND78M7","RCOND78M8","RCOND78M9","RCOND78M10","RCOND78M11","RCOND78M12","RCOND79M1","RCOND79M2","RCOND79M3","RCOND79M4","RCOND79M5","RCOND79M6","RCOND79M7","RCOND79M8","RCOND79M9","RCOND79M10","RCOND79M11","RCOND79M12"
"1947:Q1","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4"
"1947:Q2","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9"
"1947:Q3","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","30.3","30.3","30.3","30.3","30.3","30.3","30.3","30.3","30.3","30.3","30.3","30.3","30.3","30.3","30.3","30.3","30.3","30.3","30.3","30.3","30.3","30.3","30.3","30.3","30.3","30.3","30.3","30.3","30.3","30.3","30.3","30.3","30.3","30.3","30.3","30.3","30.3","30.3","30.3","30.3","30.3","30.3","30.3","30.3","30.3","30.3","30.3"
"1947:Q4","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7"
"1948:Q1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7"
"1948:Q2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7"
"1948:Q3","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5"
"1948:Q4","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5"
"1949:Q1","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","33.0","33.0","33.0","33.0","33.0","33.0","33.0","33.0","33.0","33.0","33.0","33.0","33.0","33.0","33.0","33.0","33.0","33.0","33.0","33.0","33.0","33.0","33.0","33.0","33.0","33.0","33.0","33.0","33.0","33.0","33.0","33.0","33.0","33.0","33.0","33.0","33.0","33.0","33.0","33.0","33.0","33.0","33.0","33.0","33.0","33.0","33.0"
"1949:Q2","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3"
