"DATE","RGF90M1","RGF90M2","RGF90M3","RGF90M4","RGF90M5","RGF90M6","RGF90M7","RGF90M8","RGF90M9","RGF90M10","RGF90M11","RGF90M12","RGF91M1","RGF91M2","RGF91M3","RGF91M4","RGF91M5","RGF91M6","RGF91M7","RGF91M8","RGF91M9","RGF91M10","RGF91M11","RGF91M12","RGF92M1","RGF92M2","RGF92M3","RGF92M4","RGF92M5","RGF92M6","RGF92M7","RGF92M8","RGF92M9","RGF92M10","RGF92M11","RGF92M12","RGF93M1","RGF93M2","RGF93M3","RGF93M4","RGF93M5","RGF93M6","RGF93M7","RGF93M8","RGF93M9","RGF93M10","RGF93M11","RGF93M12","RGF94M1","RGF94M2","RGF94M3","RGF94M4","RGF94M5","RGF94M6","RGF94M7","RGF94M8","RGF94M9","RGF94M10","RGF94M11","RGF94M12","RGF95M1","RGF95M2","RGF95M3","RGF95M4","RGF95M5","RGF95M6","RGF95M7","RGF95M8","RGF95M9","RGF95M10","RGF95M11","RGF95M12","RGF96M1","RGF96M2","RGF96M3","RGF96M4","RGF96M5","RGF96M6","RGF96M7","RGF96M8","RGF96M9","RGF96M10","RGF96M11","RGF96M12","RGF97M1","RGF97M2","RGF97M3","RGF97M4","RGF97M5","RGF97M6","RGF97M7","RGF97M8","RGF97M9","RGF97M10","RGF97M11","RGF97M12","RGF98M1","RGF98M2","RGF98M3","RGF98M4","RGF98M5","RGF98M6","RGF98M7","RGF98M8","RGF98M9","RGF98M10","RGF98M11","RGF98M12","RGF99M1","RGF99M2","RGF99M3","RGF99M4","RGF99M5","RGF99M6","RGF99M7","RGF99M8","RGF99M9","RGF99M10","RGF99M11","RGF99M12"
"1949:Q3","122.1","122.1","122.1","122.1","122.1","122.1","122.1","122.1","122.1","122.1","122.1","122.1","122.1","122.1","122.1","122.1","122.1","122.1","122.1","122.1","122.1","122.1","122.1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","143.1","143.1","143.1","143.1","143.1","143.1","143.1","143.1","143.1","143.1","143.1","143.1","143.1","143.1","143.1","143.1","143.1","143.1","143.1","143.1","143.1","143.1","143.1","143.1","143.1","143.1","143.1","143.1","143.1","143.1","143.1","143.1","143.1","143.1","143.1","143.1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","196.3701","196.3701","196.3701","196.3701","196.3701","196.3701","196.3701","196.3701","196.3701","196.3701","196.3701","196.3701","196.3701","196.3701","196.3701","196.3701","196.3701","196.3701","196.3701","196.3701","196.3701","196.3701","196.3701","196.3701","196.3701","196.3701","196.3701","196.3701","196.3701","196.3701","#N/A","#N/A"
"1949:Q4","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","136.8","136.8","136.8","136.8","136.8","136.8","136.8","136.8","136.8","136.8","136.8","136.8","136.8","136.8","136.8","136.8","136.8","136.8","136.8","136.8","136.8","136.8","136.8","136.8","136.8","136.8","136.8","136.8","136.8","136.8","136.8","136.8","136.8","136.8","136.8","136.8","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","186.4961","186.4961","186.4961","186.4961","186.4961","186.4961","186.4961","186.4961","186.4961","186.4961","186.4961","186.4961","186.4961","186.4961","186.4961","186.4961","186.4961","186.4961","186.4961","186.4961","186.4961","186.4961","186.4961","186.4961","186.4961","186.4961","186.4961","186.4961","186.4961","186.4961","#N/A","#N/A"
"1950:Q1","112.5","112.5","112.5","112.5","112.5","112.5","112.5","112.5","112.5","112.5","112.5","112.5","112.5","112.5","112.5","112.5","112.5","112.5","112.5","112.5","112.5","112.5","112.5","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","133.7","133.7","133.7","133.7","133.7","133.7","133.7","133.7","133.7","133.7","133.7","133.7","133.7","133.7","133.7","133.7","133.7","133.7","133.7","133.7","133.7","133.7","133.7","133.7","133.7","133.7","133.7","133.7","133.7","133.7","133.7","133.7","133.7","133.7","133.7","133.7","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","177.2558","177.2558","177.2558","177.2558","177.2558","177.2558","177.2558","177.2558","177.2558","177.2558","177.2558","177.2558","177.2558","177.2558","177.2558","177.2558","177.2558","177.2558","177.2558","177.2558","177.2558","177.2558","177.2558","177.2558","177.2558","177.2558","177.2558","177.2558","177.2558","177.2558","#N/A","#N/A"
"1950:Q2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","137.7","137.7","137.7","137.7","137.7","137.7","137.7","137.7","137.7","137.7","137.7","137.7","137.7","137.7","137.7","137.7","137.7","137.7","137.7","137.7","137.7","137.7","137.7","137.7","137.7","137.7","137.7","137.7","137.7","137.7","137.7","137.7","137.7","137.7","137.7","137.7","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","180.8463","180.8463","180.8463","180.8463","180.8463","180.8463","180.8463","180.8463","180.8463","180.8463","180.8463","180.8463","180.8463","180.8463","180.8463","180.8463","180.8463","180.8463","180.8463","180.8463","180.8463","180.8463","180.8463","180.8463","180.8463","180.8463","180.8463","180.8463","180.8463","180.8463","#N/A","#N/A"
"1950:Q3","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","145.1","145.1","145.1","145.1","145.1","145.1","145.1","145.1","145.1","145.1","145.1","145.1","145.1","145.1","145.1","145.1","145.1","145.1","145.1","145.1","145.1","145.1","145.1","145.1","145.1","145.1","145.1","145.1","145.1","145.1","145.1","145.1","145.1","145.1","145.1","145.1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","173.5597","173.5597","173.5597","173.5597","173.5597","173.5597","173.5597","173.5597","173.5597","173.5597","173.5597","173.5597","173.5597","173.5597","173.5597","173.5597","173.5597","173.5597","173.5597","173.5597","173.5597","173.5597","173.5597","173.5597","173.5597","173.5597","173.5597","173.5597","173.5597","173.5597","#N/A","#N/A"
"1950:Q4","131.7","131.7","131.7","131.7","131.7","131.7","131.7","131.7","131.7","131.7","131.7","131.7","131.7","131.7","131.7","131.7","131.7","131.7","131.7","131.7","131.7","131.7","131.7","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","165.9","165.9","165.9","165.9","165.9","165.9","165.9","165.9","165.9","165.9","165.9","165.9","165.9","165.9","165.9","165.9","165.9","165.9","165.9","165.9","165.9","165.9","165.9","165.9","165.9","165.9","165.9","165.9","165.9","165.9","165.9","165.9","165.9","165.9","165.9","165.9","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","193.4132","193.4132","193.4132","193.4132","193.4132","193.4132","193.4132","193.4132","193.4132","193.4132","193.4132","193.4132","193.4132","193.4132","193.4132","193.4132","193.4132","193.4132","193.4132","193.4132","193.4132","193.4132","193.4132","193.4132","193.4132","193.4132","193.4132","193.4132","193.4132","193.4132","#N/A","#N/A"
"1951:Q1","172.1","172.1","172.1","172.1","172.1","172.1","172.1","172.1","172.1","172.1","172.1","172.1","172.1","172.1","172.1","172.1","172.1","172.1","172.1","172.1","172.1","172.1","172.1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","197.3","197.3","197.3","197.3","197.3","197.3","197.3","197.3","197.3","197.3","197.3","197.3","197.3","197.3","197.3","197.3","197.3","197.3","197.3","197.3","197.3","197.3","197.3","197.3","197.3","197.3","197.3","197.3","197.3","197.3","197.3","197.3","197.3","197.3","197.3","197.3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","229.5296","229.5296","229.5296","229.5296","229.5296","229.5296","229.5296","229.5296","229.5296","229.5296","229.5296","229.5296","229.5296","229.5296","229.5296","229.5296","229.5296","229.5296","229.5296","229.5296","229.5296","229.5296","229.5296","229.5296","229.5296","229.5296","229.5296","229.5296","229.5296","229.5296","#N/A","#N/A"
"1951:Q2","202.7","202.7","202.7","202.7","202.7","202.7","202.7","202.7","202.7","202.7","202.7","202.7","202.7","202.7","202.7","202.7","202.7","202.7","202.7","202.7","202.7","202.7","202.7","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","242.0","242.0","242.0","242.0","242.0","242.0","242.0","242.0","242.0","242.0","242.0","242.0","242.0","242.0","242.0","242.0","242.0","242.0","242.0","242.0","242.0","242.0","242.0","242.0","242.0","242.0","242.0","242.0","242.0","242.0","242.0","242.0","242.0","242.0","242.0","242.0","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","279.4274","279.4274","279.4274","279.4274","279.4274","279.4274","279.4274","279.4274","279.4274","279.4274","279.4274","279.4274","279.4274","279.4274","279.4274","279.4274","279.4274","279.4274","279.4274","279.4274","279.4274","279.4274","279.4274","279.4274","279.4274","279.4274","279.4274","279.4274","279.4274","279.4274","#N/A","#N/A"
"1951:Q3","231.9","231.9","231.9","231.9","231.9","231.9","231.9","231.9","231.9","231.9","231.9","231.9","231.9","231.9","231.9","231.9","231.9","231.9","231.9","231.9","231.9","231.9","231.9","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","281.7","281.7","281.7","281.7","281.7","281.7","281.7","281.7","281.7","281.7","281.7","281.7","281.7","281.7","281.7","281.7","281.7","281.7","281.7","281.7","281.7","281.7","281.7","281.7","281.7","281.7","281.7","281.7","281.7","281.7","281.7","281.7","281.7","281.7","281.7","281.7","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","327.9523","327.9523","327.9523","327.9523","327.9523","327.9523","327.9523","327.9523","327.9523","327.9523","327.9523","327.9523","327.9523","327.9523","327.9523","327.9523","327.9523","327.9523","327.9523","327.9523","327.9523","327.9523","327.9523","327.9523","327.9523","327.9523","327.9523","327.9523","327.9523","327.9523","#N/A","#N/A"
"1951:Q4","250.7","250.7","250.7","250.7","250.7","250.7","250.7","250.7","250.7","250.7","250.7","250.7","250.7","250.7","250.7","250.7","250.7","250.7","250.7","250.7","250.7","250.7","250.7","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","304.2","304.2","304.2","304.2","304.2","304.2","304.2","304.2","304.2","304.2","304.2","304.2","304.2","304.2","304.2","304.2","304.2","304.2","304.2","304.2","304.2","304.2","304.2","304.2","304.2","304.2","304.2","304.2","304.2","304.2","304.2","304.2","304.2","304.2","304.2","304.2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","355.0924","355.0924","355.0924","355.0924","355.0924","355.0924","355.0924","355.0924","355.0924","355.0924","355.0924","355.0924","355.0924","355.0924","355.0924","355.0924","355.0924","355.0924","355.0924","355.0924","355.0924","355.0924","355.0924","355.0924","355.0924","355.0924","355.0924","355.0924","355.0924","355.0924","#N/A","#N/A"
