"DATE","NOUTPUT10M1","NOUTPUT10M2","NOUTPUT10M3","NOUTPUT10M4","NOUTPUT10M5","NOUTPUT10M6","NOUTPUT10M7","NOUTPUT10M8","NOUTPUT10M9","NOUTPUT10M10","NOUTPUT10M11","NOUTPUT10M12","NOUTPUT11M1","NOUTPUT11M2","NOUTPUT11M3","NOUTPUT11M4","NOUTPUT11M5","NOUTPUT11M6","NOUTPUT11M7","NOUTPUT11M8","NOUTPUT11M9","NOUTPUT11M10","NOUTPUT11M11","NOUTPUT11M12","NOUTPUT12M1","NOUTPUT12M2","NOUTPUT12M3","NOUTPUT12M4","NOUTPUT12M5","NOUTPUT12M6","NOUTPUT12M7","NOUTPUT12M8","NOUTPUT12M9","NOUTPUT12M10","NOUTPUT12M11","NOUTPUT12M12","NOUTPUT13M1","NOUTPUT13M2","NOUTPUT13M3","NOUTPUT13M4","NOUTPUT13M5","NOUTPUT13M6","NOUTPUT13M7","NOUTPUT13M8","NOUTPUT13M9","NOUTPUT13M10","NOUTPUT13M11","NOUTPUT13M12","NOUTPUT14M1","NOUTPUT14M2","NOUTPUT14M3","NOUTPUT14M4","NOUTPUT14M5","NOUTPUT14M6","NOUTPUT14M7","NOUTPUT14M8","NOUTPUT14M9","NOUTPUT14M10","NOUTPUT14M11","NOUTPUT14M12","NOUTPUT15M1","NOUTPUT15M2","NOUTPUT15M3","NOUTPUT15M4","NOUTPUT15M5","NOUTPUT15M6","NOUTPUT15M7","NOUTPUT15M8","NOUTPUT15M9","NOUTPUT15M10","NOUTPUT15M11"
"2011:Q2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","15003.8","14996.8","15012.8","15012.8","15012.8","15012.8","15012.8","15012.8","15012.8","15012.8","15012.8","15012.8","15003.6","15003.6","15003.6","15003.6","15003.6","15003.6","15003.6","15003.6","15003.6","15003.6","15003.6","15003.6","15461.9","15461.9","15461.9","15461.9","15461.9","15461.9","15461.9","15461.9","15461.9","15461.9","15461.9","15461.9","15460.9","15460.9","15460.9","15460.9","15460.9","15460.9","15460.9","15460.9","15460.9","15460.9","15460.9","15460.9","15460.9","15460.9","15460.9","15460.9"
"2011:Q3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","15198.6","15180.9","15176.1","15176.1","15176.1","15176.1","15176.1","15176.1","15176.1","15163.2","15163.2","15163.2","15163.2","15163.2","15163.2","15163.2","15163.2","15163.2","15163.2","15163.2","15163.2","15611.8","15611.8","15611.8","15611.8","15611.8","15611.8","15611.8","15611.8","15611.8","15611.8","15611.8","15611.8","15587.1","15587.1","15587.1","15587.1","15587.1","15587.1","15587.1","15587.1","15587.1","15587.1","15587.1","15587.1","15587.1","15587.1","15587.1","15587.1"
"2011:Q4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","15294.3","15320.8","15319.4","15319.4","15319.4","15319.4","15321.0","15321.0","15321.0","15321.0","15321.0","15321.0","15321.0","15321.0","15321.0","15321.0","15321.0","15321.0","15818.7","15818.7","15818.7","15818.7","15818.7","15818.7","15818.7","15818.7","15818.7","15818.7","15818.7","15818.7","15785.3","15785.3","15785.3","15785.3","15785.3","15785.3","15785.3","15785.3","15785.3","15785.3","15785.3","15785.3","15785.3","15785.3","15785.3","15785.3"
"2012:Q1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","15461.8","15454.0","15467.8","15478.3","15478.3","15478.3","15478.3","15478.3","15478.3","15478.3","15478.3","15478.3","15478.3","15478.3","15478.3","16041.6","16041.6","16041.6","16041.6","16041.6","16041.6","16041.6","16041.6","16041.6","16041.6","16041.6","16041.6","15956.5","15956.5","15956.5","15956.5","15956.5","15956.5","15956.5","15956.5","15956.5","15956.5","15956.5","15956.5","15973.9","15973.9","15973.9","15973.9"
"2012:Q2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","15595.9","15606.1","15585.6","15585.6","15585.6","15585.6","15585.6","15585.6","15585.6","15585.6","15585.6","15585.6","16160.4","16160.4","16160.4","16160.4","16160.4","16160.4","16160.4","16160.4","16160.4","16160.4","16160.4","16160.4","16094.7","16094.7","16094.7","16094.7","16094.7","16094.7","16094.7","16094.7","16094.7","16094.7","16094.7","16094.7","16121.9","16121.9","16121.9","16121.9"
"2012:Q3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","15775.7","15797.4","15811.0","15811.0","15811.0","15811.0","15811.0","15811.0","15811.0","16356.0","16356.0","16356.0","16356.0","16356.0","16356.0","16356.0","16356.0","16356.0","16356.0","16356.0","16356.0","16268.9","16268.9","16268.9","16268.9","16268.9","16268.9","16268.9","16268.9","16268.9","16268.9","16268.9","16268.9","16227.9","16227.9","16227.9","16227.9"
"2012:Q4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","15829.0","15851.2","15864.1","15864.1","15864.1","15864.1","16420.3","16420.3","16420.3","16420.3","16420.3","16420.3","16420.3","16420.3","16420.3","16420.3","16420.3","16420.3","16332.5","16332.5","16332.5","16332.5","16332.5","16332.5","16332.5","16332.5","16332.5","16332.5","16332.5","16332.5","16297.3","16297.3","16297.3","16297.3"
"2013:Q1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","16010.2","16004.5","15984.1","16535.3","16535.3","16535.3","16535.3","16535.3","16535.3","16535.3","16535.3","16535.3","16535.3","16535.3","16535.3","16502.4","16502.4","16502.4","16502.4","16502.4","16502.4","16502.4","16502.4","16502.4","16502.4","16502.4","16502.4","16440.7","16440.7","16440.7","16440.7"
"2013:Q2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","16633.4","16667.9","16661.0","16661.0","16661.0","16661.0","16661.0","16661.0","16661.0","16661.0","16661.0","16661.0","16619.2","16619.2","16619.2","16619.2","16619.2","16619.2","16619.2","16619.2","16619.2","16619.2","16619.2","16619.2","16526.8","16526.8","16526.8","16526.8"
"2013:Q3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","16857.6","16890.8","16912.9","16912.9","16912.9","16912.9","16912.9","16912.9","16912.9","16872.3","16872.3","16872.3","16872.3","16872.3","16872.3","16872.3","16872.3","16872.3","16872.3","16872.3","16872.3","16727.5","16727.5","16727.5","16727.5"
"2013:Q4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","17102.5","17080.7","17089.6","17089.6","17089.6","17089.6","17078.3","17078.3","17078.3","17078.3","17078.3","17078.3","17078.3","17078.3","17078.3","17078.3","17078.3","17078.3","16957.6","16957.6","16957.6","16957.6"
"2014:Q1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","17149.6","17101.3","17016.0","17044.0","17044.0","17044.0","17044.0","17044.0","17044.0","17044.0","17044.0","17044.0","17044.0","17044.0","17044.0","16984.3","16984.3","16984.3","16984.3"
"2014:Q2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","17294.7","17311.3","17328.2","17328.2","17328.2","17328.2","17328.2","17328.2","17328.2","17328.2","17328.2","17328.2","17270.0","17270.0","17270.0","17270.0"
"2014:Q3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","17535.4","17555.2","17599.8","17599.8","17599.8","17599.8","17599.8","17599.8","17599.8","17522.1","17522.1","17522.1","17522.1"
"2014:Q4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","17710.7","17701.3","17703.7","17703.7","17703.7","17703.7","17615.9","17615.9","17615.9","17615.9"
"2015:Q1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","17710.0","17665.0","17693.3","17649.3","17649.3","17649.3","17649.3"
"2015:Q2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","17840.5","17902.0","17913.7","17913.7"
"2015:Q3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","18034.8"
