"DATE","NOUTPUT10M1","NOUTPUT10M2","NOUTPUT10M3","NOUTPUT10M4","NOUTPUT10M5","NOUTPUT10M6","NOUTPUT10M7","NOUTPUT10M8","NOUTPUT10M9","NOUTPUT10M10","NOUTPUT10M11","NOUTPUT10M12","NOUTPUT11M1","NOUTPUT11M2","NOUTPUT11M3","NOUTPUT11M4","NOUTPUT11M5","NOUTPUT11M6","NOUTPUT11M7","NOUTPUT11M8","NOUTPUT11M9","NOUTPUT11M10","NOUTPUT11M11","NOUTPUT11M12","NOUTPUT12M1","NOUTPUT12M2","NOUTPUT12M3","NOUTPUT12M4","NOUTPUT12M5","NOUTPUT12M6","NOUTPUT12M7","NOUTPUT12M8","NOUTPUT12M9","NOUTPUT12M10","NOUTPUT12M11","NOUTPUT12M12","NOUTPUT13M1","NOUTPUT13M2","NOUTPUT13M3","NOUTPUT13M4","NOUTPUT13M5","NOUTPUT13M6","NOUTPUT13M7","NOUTPUT13M8","NOUTPUT13M9","NOUTPUT13M10","NOUTPUT13M11","NOUTPUT13M12","NOUTPUT14M1","NOUTPUT14M2","NOUTPUT14M3","NOUTPUT14M4","NOUTPUT14M5","NOUTPUT14M6","NOUTPUT14M7","NOUTPUT14M8","NOUTPUT14M9","NOUTPUT14M10","NOUTPUT14M11","NOUTPUT14M12","NOUTPUT15M1","NOUTPUT15M2","NOUTPUT15M3","NOUTPUT15M4","NOUTPUT15M5","NOUTPUT15M6","NOUTPUT15M7","NOUTPUT15M8","NOUTPUT15M9","NOUTPUT15M10","NOUTPUT15M11"
"2006:Q1","13183.5","13183.5","13183.5","13183.5","13183.5","13183.5","13183.5","13183.5","13183.5","13183.5","13183.5","13183.5","13183.5","13183.5","13183.5","13183.5","13183.5","13183.5","13183.5","13161.4","13161.4","13161.4","13161.4","13161.4","13161.4","13161.4","13161.4","13161.4","13161.4","13161.4","13161.4","13161.4","13161.4","13161.4","13161.4","13161.4","13161.4","13161.4","13161.4","13161.4","13161.4","13161.4","13161.4","13649.8","13649.8","13649.8","13649.8","13649.8","13649.8","13649.8","13649.8","13649.8","13649.8","13649.8","13649.8","13648.9","13648.9","13648.9","13648.9","13648.9","13648.9","13648.9","13648.9","13648.9","13648.9","13648.9","13648.9","13648.9","13648.9","13648.9","13648.9"
"2006:Q2","13347.8","13347.8","13347.8","13347.8","13347.8","13347.8","13347.8","13347.8","13347.8","13347.8","13347.8","13347.8","13347.8","13347.8","13347.8","13347.8","13347.8","13347.8","13347.8","13330.4","13330.4","13330.4","13330.4","13330.4","13330.4","13330.4","13330.4","13330.4","13330.4","13330.4","13330.4","13330.4","13330.4","13330.4","13330.4","13330.4","13330.4","13330.4","13330.4","13330.4","13330.4","13330.4","13330.4","13802.9","13802.9","13802.9","13802.9","13802.9","13802.9","13802.9","13802.9","13802.9","13802.9","13802.9","13802.9","13799.8","13799.8","13799.8","13799.8","13799.8","13799.8","13799.8","13799.8","13799.8","13799.8","13799.8","13799.8","13799.8","13799.8","13799.8","13799.8"
"2006:Q3","13452.9","13452.9","13452.9","13452.9","13452.9","13452.9","13452.9","13452.9","13452.9","13452.9","13452.9","13452.9","13452.9","13452.9","13452.9","13452.9","13452.9","13452.9","13452.9","13432.8","13432.8","13432.8","13432.8","13432.8","13432.8","13432.8","13432.8","13432.8","13432.8","13432.8","13432.8","13432.8","13432.8","13432.8","13432.8","13432.8","13432.8","13432.8","13432.8","13432.8","13432.8","13432.8","13432.8","13910.5","13910.5","13910.5","13910.5","13910.5","13910.5","13910.5","13910.5","13910.5","13910.5","13910.5","13910.5","13908.5","13908.5","13908.5","13908.5","13908.5","13908.5","13908.5","13908.5","13908.5","13908.5","13908.5","13908.5","13908.5","13908.5","13908.5","13908.5"
"2006:Q4","13611.5","13611.5","13611.5","13611.5","13611.5","13611.5","13611.5","13611.5","13611.5","13611.5","13611.5","13611.5","13611.5","13611.5","13611.5","13611.5","13611.5","13611.5","13611.5","13584.2","13584.2","13584.2","13584.2","13584.2","13584.2","13584.2","13584.2","13584.2","13584.2","13584.2","13584.2","13584.2","13584.2","13584.2","13584.2","13584.2","13584.2","13584.2","13584.2","13584.2","13584.2","13584.2","13584.2","14068.4","14068.4","14068.4","14068.4","14068.4","14068.4","14068.4","14068.4","14068.4","14068.4","14068.4","14068.4","14066.4","14066.4","14066.4","14066.4","14066.4","14066.4","14066.4","14066.4","14066.4","14066.4","14066.4","14066.4","14066.4","14066.4","14066.4","14066.4"
"2007:Q1","13795.6","13795.6","13795.6","13795.6","13795.6","13795.6","13795.6","13789.5","13789.5","13789.5","13789.5","13789.5","13789.5","13789.5","13789.5","13789.5","13789.5","13789.5","13789.5","13758.5","13758.5","13758.5","13758.5","13758.5","13758.5","13758.5","13758.5","13758.5","13758.5","13758.5","13758.5","13758.5","13758.5","13758.5","13758.5","13758.5","13758.5","13758.5","13758.5","13758.5","13758.5","13758.5","13758.5","14235.0","14235.0","14235.0","14235.0","14235.0","14235.0","14235.0","14235.0","14235.0","14235.0","14235.0","14235.0","14233.2","14233.2","14233.2","14233.2","14233.2","14233.2","14233.2","14233.2","14233.2","14233.2","14233.2","14233.2","14233.2","14233.2","14233.2","14233.2"
"2007:Q2","13997.2","13997.2","13997.2","13997.2","13997.2","13997.2","13997.2","14008.2","14008.2","14008.2","14008.2","14008.2","14008.2","14008.2","14008.2","14008.2","14008.2","14008.2","14008.2","13976.8","13976.8","13976.8","13976.8","13976.8","13976.8","13976.8","13976.8","13976.8","13976.8","13976.8","13976.8","13976.8","13976.8","13976.8","13976.8","13976.8","13976.8","13976.8","13976.8","13976.8","13976.8","13976.8","13976.8","14424.5","14424.5","14424.5","14424.5","14424.5","14424.5","14424.5","14424.5","14424.5","14424.5","14424.5","14424.5","14422.3","14422.3","14422.3","14422.3","14422.3","14422.3","14422.3","14422.3","14422.3","14422.3","14422.3","14422.3","14422.3","14422.3","14422.3","14422.3"
"2007:Q3","14179.9","14179.9","14179.9","14179.9","14179.9","14179.9","14179.9","14158.2","14158.2","14158.2","14158.2","14158.2","14158.2","14158.2","14158.2","14158.2","14158.2","14158.2","14158.2","14126.2","14126.2","14126.2","14126.2","14126.2","14126.2","14126.2","14126.2","14126.2","14126.2","14126.2","14126.2","14126.2","14126.2","14126.2","14126.2","14126.2","14126.2","14126.2","14126.2","14126.2","14126.2","14126.2","14126.2","14571.9","14571.9","14571.9","14571.9","14571.9","14571.9","14571.9","14571.9","14571.9","14571.9","14571.9","14571.9","14569.7","14569.7","14569.7","14569.7","14569.7","14569.7","14569.7","14569.7","14569.7","14569.7","14569.7","14569.7","14569.7","14569.7","14569.7","14569.7"
"2007:Q4","14337.9","14337.9","14337.9","14337.9","14337.9","14337.9","14337.9","14291.3","14291.3","14291.3","14291.3","14291.3","14291.3","14291.3","14291.3","14291.3","14291.3","14291.3","14291.3","14253.2","14253.2","14253.2","14253.2","14253.2","14253.2","14253.2","14253.2","14253.2","14253.2","14253.2","14253.2","14253.2","14253.2","14253.2","14253.2","14253.2","14253.2","14253.2","14253.2","14253.2","14253.2","14253.2","14253.2","14690.0","14690.0","14690.0","14690.0","14690.0","14690.0","14690.0","14690.0","14690.0","14690.0","14690.0","14690.0","14685.3","14685.3","14685.3","14685.3","14685.3","14685.3","14685.3","14685.3","14685.3","14685.3","14685.3","14685.3","14685.3","14685.3","14685.3","14685.3"
"2008:Q1","14373.9","14373.9","14373.9","14373.9","14373.9","14373.9","14373.9","14328.4","14328.4","14328.4","14328.4","14328.4","14328.4","14328.4","14328.4","14328.4","14328.4","14328.4","14328.4","14273.9","14273.9","14273.9","14273.9","14273.9","14273.9","14273.9","14273.9","14273.9","14273.9","14273.9","14273.9","14273.9","14273.9","14273.9","14273.9","14273.9","14273.9","14273.9","14273.9","14273.9","14273.9","14273.9","14273.9","14672.9","14672.9","14672.9","14672.9","14672.9","14672.9","14672.9","14672.9","14672.9","14672.9","14672.9","14672.9","14668.4","14668.4","14668.4","14668.4","14668.4","14668.4","14668.4","14668.4","14668.4","14668.4","14668.4","14668.4","14668.4","14668.4","14668.4","14668.4"
"2008:Q2","14497.8","14497.8","14497.8","14497.8","14497.8","14497.8","14497.8","14471.8","14471.8","14471.8","14471.8","14471.8","14471.8","14471.8","14471.8","14471.8","14471.8","14471.8","14471.8","14415.5","14415.5","14415.5","14415.5","14415.5","14415.5","14415.5","14415.5","14415.5","14415.5","14415.5","14415.5","14415.5","14415.5","14415.5","14415.5","14415.5","14415.5","14415.5","14415.5","14415.5","14415.5","14415.5","14415.5","14817.1","14817.1","14817.1","14817.1","14817.1","14817.1","14817.1","14817.1","14817.1","14817.1","14817.1","14817.1","14813.0","14813.0","14813.0","14813.0","14813.0","14813.0","14813.0","14813.0","14813.0","14813.0","14813.0","14813.0","14813.0","14813.0","14813.0","14813.0"
