"DATE","REX10M1","REX10M2","REX10M3","REX10M4","REX10M5","REX10M6","REX10M7","REX10M8","REX10M9","REX10M10","REX10M11","REX10M12","REX11M1","REX11M2","REX11M3","REX11M4","REX11M5","REX11M6","REX11M7","REX11M8","REX11M9","REX11M10","REX11M11","REX11M12","REX12M1","REX12M2","REX12M3","REX12M4","REX12M5","REX12M6","REX12M7","REX12M8","REX12M9","REX12M10","REX12M11","REX12M12","REX13M1","REX13M2","REX13M3","REX13M4","REX13M5","REX13M6","REX13M7","REX13M8","REX13M9","REX13M10","REX13M11","REX13M12","REX14M1","REX14M2","REX14M3","REX14M4","REX14M5","REX14M6","REX14M7","REX14M8","REX14M9","REX14M10","REX14M11","REX14M12","REX15M1","REX15M2","REX15M3","REX15M4","REX15M5","REX15M6","REX15M7","REX15M8","REX15M9","REX15M10","REX15M11"
"1971:Q4","170.3","170.3","170.3","170.3","170.3","170.3","170.3","170.3","170.3","170.3","170.3","170.3","170.3","170.3","170.3","170.3","170.3","170.3","170.3","170.2","170.2","170.2","170.2","170.2","170.2","170.2","170.2","170.2","170.2","170.2","170.2","170.2","170.2","170.2","170.2","170.2","170.2","170.2","170.2","170.2","170.2","170.2","170.2","181.0","181.0","181.0","181.0","181.0","181.0","181.0","181.0","181.0","181.0","181.0","181.0","181.7","181.7","181.7","181.7","181.7","181.7","181.7","181.7","181.7","181.7","181.7","181.7","181.7","181.7","181.7","181.7"
"1972:Q1","188.4","188.4","188.4","188.4","188.4","188.4","188.4","188.4","188.4","188.4","188.4","188.4","188.4","188.4","188.4","188.4","188.4","188.4","188.4","188.2","188.2","188.2","188.2","188.2","188.2","188.2","188.2","188.2","188.2","188.2","188.2","188.2","188.2","188.2","188.2","188.2","188.2","188.2","188.2","188.2","188.2","188.2","188.2","200.2","200.2","200.2","200.2","200.2","200.2","200.2","200.2","200.2","200.2","200.2","200.2","201.4","201.4","201.4","201.4","201.4","201.4","201.4","201.4","201.4","201.4","201.4","201.4","201.4","201.4","201.4","201.4"
"1972:Q2","182.9","182.9","182.9","182.9","182.9","182.9","182.9","182.9","182.9","182.9","182.9","182.9","182.9","182.9","182.9","182.9","182.9","182.9","182.9","182.8","182.8","182.8","182.8","182.8","182.8","182.8","182.8","182.8","182.8","182.8","182.8","182.8","182.8","182.8","182.8","182.8","182.8","182.8","182.8","182.8","182.8","182.8","182.8","194.4","194.4","194.4","194.4","194.4","194.4","194.4","194.4","194.4","194.4","194.4","194.4","195.5","195.5","195.5","195.5","195.5","195.5","195.5","195.5","195.5","195.5","195.5","195.5","195.5","195.5","195.5","195.5"
"1972:Q3","193.9","193.9","193.9","193.9","193.9","193.9","193.9","193.9","193.9","193.9","193.9","193.9","193.9","193.9","193.9","193.9","193.9","193.9","193.9","193.8","193.8","193.8","193.8","193.8","193.8","193.8","193.8","193.8","193.8","193.8","193.8","193.8","193.8","193.8","193.8","193.8","193.8","193.8","193.8","193.8","193.8","193.8","193.8","206.1","206.1","206.1","206.1","206.1","206.1","206.1","206.1","206.1","206.1","206.1","206.1","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4"
"1972:Q4","202.2","202.2","202.2","202.2","202.2","202.2","202.2","202.2","202.2","202.2","202.2","202.2","202.2","202.2","202.2","202.2","202.2","202.2","202.2","202.0","202.0","202.0","202.0","202.0","202.0","202.0","202.0","202.0","202.0","202.0","202.0","202.0","202.0","202.0","202.0","202.0","202.0","202.0","202.0","202.0","202.0","202.0","202.0","214.8","214.8","214.8","214.8","214.8","214.8","214.8","214.8","214.8","214.8","214.8","214.8","216.1","216.1","216.1","216.1","216.1","216.1","216.1","216.1","216.1","216.1","216.1","216.1","216.1","216.1","216.1","216.1"
"1973:Q1","217.0","217.0","217.0","217.0","217.0","217.0","217.0","217.0","217.0","217.0","217.0","217.0","217.0","217.0","217.0","217.0","217.0","217.0","217.0","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","230.6","230.6","230.6","230.6","230.6","230.6","230.6","230.6","230.6","230.6","230.6","230.6","232.0","232.0","232.0","232.0","232.0","232.0","232.0","232.0","232.0","232.0","232.0","232.0","232.0","232.0","232.0","232.0"
"1973:Q2","227.4","227.4","227.4","227.4","227.4","227.4","227.4","227.4","227.4","227.4","227.4","227.4","227.4","227.4","227.4","227.4","227.4","227.4","227.4","227.3","227.3","227.3","227.3","227.3","227.3","227.3","227.3","227.3","227.3","227.3","227.3","227.3","227.3","227.3","227.3","227.3","227.3","227.3","227.3","227.3","227.3","227.3","227.3","241.7","241.7","241.7","241.7","241.7","241.7","241.7","241.7","241.7","241.7","241.7","241.7","243.2","243.2","243.2","243.2","243.2","243.2","243.2","243.2","243.2","243.2","243.2","243.2","243.2","243.2","243.2","243.2"
"1973:Q3","228.2","228.2","228.2","228.2","228.2","228.2","228.2","228.2","228.2","228.2","228.2","228.2","228.2","228.2","228.2","228.2","228.2","228.2","228.2","228.0","228.0","228.0","228.0","228.0","228.0","228.0","228.0","228.0","228.0","228.0","228.0","228.0","228.0","228.0","228.0","228.0","228.0","228.0","228.0","228.0","228.0","228.0","228.0","242.5","242.5","242.5","242.5","242.5","242.5","242.5","242.5","242.5","242.5","242.5","242.5","244.0","244.0","244.0","244.0","244.0","244.0","244.0","244.0","244.0","244.0","244.0","244.0","244.0","244.0","244.0","244.0"
"1973:Q4","239.4","239.4","239.4","239.4","239.4","239.4","239.4","239.4","239.4","239.4","239.4","239.4","239.4","239.4","239.4","239.4","239.4","239.4","239.4","239.2","239.2","239.2","239.2","239.2","239.2","239.2","239.2","239.2","239.2","239.2","239.2","239.2","239.2","239.2","239.2","239.2","239.2","239.2","239.2","239.2","239.2","239.2","239.2","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","256.0","256.0","256.0","256.0","256.0","256.0","256.0","256.0","256.0","256.0","256.0","256.0","256.0","256.0","256.0","256.0"
"1974:Q1","242.5","242.5","242.5","242.5","242.5","242.5","242.5","242.5","242.5","242.5","242.5","242.5","242.5","242.5","242.5","242.5","242.5","242.5","242.5","242.3","242.3","242.3","242.3","242.3","242.3","242.3","242.3","242.3","242.3","242.3","242.3","242.3","242.3","242.3","242.3","242.3","242.3","242.3","242.3","242.3","242.3","242.3","242.3","257.7","257.7","257.7","257.7","257.7","257.7","257.7","257.7","257.7","257.7","257.7","257.7","259.2","259.2","259.2","259.2","259.2","259.2","259.2","259.2","259.2","259.2","259.2","259.2","259.2","259.2","259.2","259.2"
"1974:Q2","254.3","254.3","254.3","254.3","254.3","254.3","254.3","254.3","254.3","254.3","254.3","254.3","254.3","254.3","254.3","254.3","254.3","254.3","254.3","254.1","254.1","254.1","254.1","254.1","254.1","254.1","254.1","254.1","254.1","254.1","254.1","254.1","254.1","254.1","254.1","254.1","254.1","254.1","254.1","254.1","254.1","254.1","254.1","270.2","270.2","270.2","270.2","270.2","270.2","270.2","270.2","270.2","270.2","270.2","270.2","271.8","271.8","271.8","271.8","271.8","271.8","271.8","271.8","271.8","271.8","271.8","271.8","271.8","271.8","271.8","271.8"
"1974:Q3","240.5","240.5","240.5","240.5","240.5","240.5","240.5","240.5","240.5","240.5","240.5","240.5","240.5","240.5","240.5","240.5","240.5","240.5","240.5","240.4","240.4","240.4","240.4","240.4","240.4","240.4","240.4","240.4","240.4","240.4","240.4","240.4","240.4","240.4","240.4","240.4","240.4","240.4","240.4","240.4","240.4","240.4","240.4","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","257.2","257.2","257.2","257.2","257.2","257.2","257.2","257.2","257.2","257.2","257.2","257.2","257.2","257.2","257.2","257.2"
"1974:Q4","246.8","246.8","246.8","246.8","246.8","246.8","246.8","246.8","246.8","246.8","246.8","246.8","246.8","246.8","246.8","246.8","246.8","246.8","246.8","246.6","246.6","246.6","246.6","246.6","246.6","246.6","246.6","246.6","246.6","246.6","246.6","246.6","246.6","246.6","246.6","246.6","246.6","246.6","246.6","246.6","246.6","246.6","246.6","262.3","262.3","262.3","262.3","262.3","262.3","262.3","262.3","262.3","262.3","262.3","262.3","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9"
"1975:Q1","248.6","248.6","248.6","248.6","248.6","248.6","248.6","248.6","248.6","248.6","248.6","248.6","248.6","248.6","248.6","248.6","248.6","248.6","248.6","248.4","248.4","248.4","248.4","248.4","248.4","248.4","248.4","248.4","248.4","248.4","248.4","248.4","248.4","248.4","248.4","248.4","248.4","248.4","248.4","248.4","248.4","248.4","248.4","264.2","264.2","264.2","264.2","264.2","264.2","264.2","264.2","264.2","264.2","264.2","264.2","265.8","265.8","265.8","265.8","265.8","265.8","265.8","265.8","265.8","265.8","265.8","265.8","265.8","265.8","265.8","265.8"
"1975:Q2","241.3","241.3","241.3","241.3","241.3","241.3","241.3","241.3","241.3","241.3","241.3","241.3","241.3","241.3","241.3","241.3","241.3","241.3","241.3","241.2","241.2","241.2","241.2","241.2","241.2","241.2","241.2","241.2","241.2","241.2","241.2","241.2","241.2","241.2","241.2","241.2","241.2","241.2","241.2","241.2","241.2","241.2","241.2","256.5","256.5","256.5","256.5","256.5","256.5","256.5","256.5","256.5","256.5","256.5","256.5","258.0","258.0","258.0","258.0","258.0","258.0","258.0","258.0","258.0","258.0","258.0","258.0","258.0","258.0","258.0","258.0"
"1975:Q3","237.3","237.3","237.3","237.3","237.3","237.3","237.3","237.3","237.3","237.3","237.3","237.3","237.3","237.3","237.3","237.3","237.3","237.3","237.3","237.1","237.1","237.1","237.1","237.1","237.1","237.1","237.1","237.1","237.1","237.1","237.1","237.1","237.1","237.1","237.1","237.1","237.1","237.1","237.1","237.1","237.1","237.1","237.1","252.2","252.2","252.2","252.2","252.2","252.2","252.2","252.2","252.2","252.2","252.2","252.2","253.7","253.7","253.7","253.7","253.7","253.7","253.7","253.7","253.7","253.7","253.7","253.7","253.7","253.7","253.7","253.7"
"1975:Q4","250.7","250.7","250.7","250.7","250.7","250.7","250.7","250.7","250.7","250.7","250.7","250.7","250.7","250.7","250.7","250.7","250.7","250.7","250.7","250.5","250.5","250.5","250.5","250.5","250.5","250.5","250.5","250.5","250.5","250.5","250.5","250.5","250.5","250.5","250.5","250.5","250.5","250.5","250.5","250.5","250.5","250.5","250.5","266.4","266.4","266.4","266.4","266.4","266.4","266.4","266.4","266.4","266.4","266.4","266.4","268.0","268.0","268.0","268.0","268.0","268.0","268.0","268.0","268.0","268.0","268.0","268.0","268.0","268.0","268.0","268.0"
"1976:Q1","249.0","249.0","249.0","249.0","249.0","249.0","249.0","249.0","249.0","249.0","249.0","249.0","249.0","249.0","249.0","249.0","249.0","249.0","249.0","248.8","248.8","248.8","248.8","248.8","248.8","248.8","248.8","248.8","248.8","248.8","248.8","248.8","248.8","248.8","248.8","248.8","248.8","248.8","248.8","248.8","248.8","248.8","248.8","264.6","264.6","264.6","264.6","264.6","264.6","264.6","264.6","264.6","264.6","264.6","264.6","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2"
"1976:Q2","251.5","251.5","251.5","251.5","251.5","251.5","251.5","251.5","251.5","251.5","251.5","251.5","251.5","251.5","251.5","251.5","251.5","251.5","251.5","251.3","251.3","251.3","251.3","251.3","251.3","251.3","251.3","251.3","251.3","251.3","251.3","251.3","251.3","251.3","251.3","251.3","251.3","251.3","251.3","251.3","251.3","251.3","251.3","267.2","267.2","267.2","267.2","267.2","267.2","267.2","267.2","267.2","267.2","267.2","267.2","268.9","268.9","268.9","268.9","268.9","268.9","268.9","268.9","268.9","268.9","268.9","268.9","268.9","268.9","268.9","268.9"
"1976:Q3","258.8","258.8","258.8","258.8","258.8","258.8","258.8","258.8","258.8","258.8","258.8","258.8","258.8","258.8","258.8","258.8","258.8","258.8","258.8","258.6","258.6","258.6","258.6","258.6","258.6","258.6","258.6","258.6","258.6","258.6","258.6","258.6","258.6","258.6","258.6","258.6","258.6","258.6","258.6","258.6","258.6","258.6","258.6","275.0","275.0","275.0","275.0","275.0","275.0","275.0","275.0","275.0","275.0","275.0","275.0","276.7","276.7","276.7","276.7","276.7","276.7","276.7","276.7","276.7","276.7","276.7","276.7","276.7","276.7","276.7","276.7"
"1976:Q4","261.4","261.4","261.4","261.4","261.4","261.4","261.4","261.4","261.4","261.4","261.4","261.4","261.4","261.4","261.4","261.4","261.4","261.4","261.4","261.2","261.2","261.2","261.2","261.2","261.2","261.2","261.2","261.2","261.2","261.2","261.2","261.2","261.2","261.2","261.2","261.2","261.2","261.2","261.2","261.2","261.2","261.2","261.2","277.8","277.8","277.8","277.8","277.8","277.8","277.8","277.8","277.8","277.8","277.8","277.8","279.5","279.5","279.5","279.5","279.5","279.5","279.5","279.5","279.5","279.5","279.5","279.5","279.5","279.5","279.5","279.5"
"1977:Q1","257.2","257.2","257.2","257.2","257.2","257.2","257.2","257.2","257.2","257.2","257.2","257.2","257.2","257.2","257.2","257.2","257.2","257.2","257.2","257.0","257.0","257.0","257.0","257.0","257.0","257.0","257.0","257.0","257.0","257.0","257.0","257.0","257.0","257.0","257.0","257.0","257.0","257.0","257.0","257.0","257.0","257.0","257.0","273.3","273.3","273.3","273.3","273.3","273.3","273.3","273.3","273.3","273.3","273.3","273.3","275.0","275.0","275.0","275.0","275.0","275.0","275.0","275.0","275.0","275.0","275.0","275.0","275.0","275.0","275.0","275.0"
"1977:Q2","264.1","264.1","264.1","264.1","264.1","264.1","264.1","264.1","264.1","264.1","264.1","264.1","264.1","264.1","264.1","264.1","264.1","264.1","264.1","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","280.7","280.7","280.7","280.7","280.7","280.7","280.7","280.7","280.7","280.7","280.7","280.7","282.4","282.4","282.4","282.4","282.4","282.4","282.4","282.4","282.4","282.4","282.4","282.4","282.4","282.4","282.4","282.4"
"1977:Q3","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","282.9","282.9","282.9","282.9","282.9","282.9","282.9","282.9","282.9","282.9","282.9","282.9","284.6","284.6","284.6","284.6","284.6","284.6","284.6","284.6","284.6","284.6","284.6","284.6","284.6","284.6","284.6","284.6"
"1977:Q4","257.6","257.6","257.6","257.6","257.6","257.6","257.6","257.6","257.6","257.6","257.6","257.6","257.6","257.6","257.6","257.6","257.6","257.6","257.6","257.4","257.4","257.4","257.4","257.4","257.4","257.4","257.4","257.4","257.4","257.4","257.4","257.4","257.4","257.4","257.4","257.4","257.4","257.4","257.4","257.4","257.4","257.4","257.4","273.8","273.8","273.8","273.8","273.8","273.8","273.8","273.8","273.8","273.8","273.8","273.8","275.5","275.5","275.5","275.5","275.5","275.5","275.5","275.5","275.5","275.5","275.5","275.5","275.5","275.5","275.5","275.5"
"1978:Q1","263.7","263.7","263.7","263.7","263.7","263.7","263.7","263.7","263.7","263.7","263.7","263.7","263.7","263.7","263.7","263.7","263.7","263.7","263.7","263.5","263.5","263.5","263.5","263.5","263.5","263.5","263.5","263.5","263.5","263.5","263.5","263.5","263.5","263.5","263.5","263.5","263.5","263.5","263.5","263.5","263.5","263.5","263.5","280.2","280.2","280.2","280.2","280.2","280.2","280.2","280.2","280.2","280.2","280.2","280.2","281.9","281.9","281.9","281.9","281.9","281.9","281.9","281.9","281.9","281.9","281.9","281.9","281.9","281.9","281.9","281.9"
"1978:Q2","291.2","291.2","291.2","291.2","291.2","291.2","291.2","291.2","291.2","291.2","291.2","291.2","291.2","291.2","291.2","291.2","291.2","291.2","291.2","291.0","291.0","291.0","291.0","291.0","291.0","291.0","291.0","291.0","291.0","291.0","291.0","291.0","291.0","291.0","291.0","291.0","291.0","291.0","291.0","291.0","291.0","291.0","291.0","309.4","309.4","309.4","309.4","309.4","309.4","309.4","309.4","309.4","309.4","309.4","309.4","311.3","311.3","311.3","311.3","311.3","311.3","311.3","311.3","311.3","311.3","311.3","311.3","311.3","311.3","311.3","311.3"
"1978:Q3","294.4","294.4","294.4","294.4","294.4","294.4","294.4","294.4","294.4","294.4","294.4","294.4","294.4","294.4","294.4","294.4","294.4","294.4","294.4","294.2","294.2","294.2","294.2","294.2","294.2","294.2","294.2","294.2","294.2","294.2","294.2","294.2","294.2","294.2","294.2","294.2","294.2","294.2","294.2","294.2","294.2","294.2","294.2","312.8","312.8","312.8","312.8","312.8","312.8","312.8","312.8","312.8","312.8","312.8","312.8","314.7","314.7","314.7","314.7","314.7","314.7","314.7","314.7","314.7","314.7","314.7","314.7","314.7","314.7","314.7","314.7"
"1978:Q4","306.1","306.1","306.1","306.1","306.1","306.1","306.1","306.1","306.1","306.1","306.1","306.1","306.1","306.1","306.1","306.1","306.1","306.1","306.1","305.8","305.8","305.8","305.8","305.8","305.8","305.8","305.8","305.8","305.8","305.8","305.8","305.8","305.8","305.8","305.8","305.8","305.8","305.8","305.8","305.8","305.8","305.8","305.8","325.3","325.3","325.3","325.3","325.3","325.3","325.3","325.3","325.3","325.3","325.3","325.3","327.2","327.2","327.2","327.2","327.2","327.2","327.2","327.2","327.2","327.2","327.2","327.2","327.2","327.2","327.2","327.2"
"1979:Q1","306.3","306.3","306.3","306.3","306.3","306.3","306.3","306.3","306.3","306.3","306.3","306.3","306.3","306.3","306.3","306.3","306.3","306.3","306.3","306.1","306.1","306.1","306.1","306.1","306.1","306.1","306.1","306.1","306.1","306.1","306.1","306.1","306.1","306.1","306.1","306.1","306.1","306.1","306.1","306.1","306.1","306.1","306.1","325.5","325.5","325.5","325.5","325.5","325.5","325.5","325.5","325.5","325.5","325.5","325.5","327.5","327.5","327.5","327.5","327.5","327.5","327.5","327.5","327.5","327.5","327.5","327.5","327.5","327.5","327.5","327.5"
"1979:Q2","307.1","307.1","307.1","307.1","307.1","307.1","307.1","307.1","307.1","307.1","307.1","307.1","307.1","307.1","307.1","307.1","307.1","307.1","307.1","306.9","306.9","306.9","306.9","306.9","306.9","306.9","306.9","306.9","306.9","306.9","306.9","306.9","306.9","306.9","306.9","306.9","306.9","306.9","306.9","306.9","306.9","306.9","306.9","326.4","326.4","326.4","326.4","326.4","326.4","326.4","326.4","326.4","326.4","326.4","326.4","328.4","328.4","328.4","328.4","328.4","328.4","328.4","328.4","328.4","328.4","328.4","328.4","328.4","328.4","328.4","328.4"
"1979:Q3","318.2","318.2","318.2","318.2","318.2","318.2","318.2","318.2","318.2","318.2","318.2","318.2","318.2","318.2","318.2","318.2","318.2","318.2","318.2","317.9","317.9","317.9","317.9","317.9","317.9","317.9","317.9","317.9","317.9","317.9","317.9","317.9","317.9","317.9","317.9","317.9","317.9","317.9","317.9","317.9","317.9","317.9","317.9","338.1","338.1","338.1","338.1","338.1","338.1","338.1","338.1","338.1","338.1","338.1","338.1","340.2","340.2","340.2","340.2","340.2","340.2","340.2","340.2","340.2","340.2","340.2","340.2","340.2","340.2","340.2","340.2"
"1979:Q4","338.2","338.2","338.2","338.2","338.2","338.2","338.2","338.2","338.2","338.2","338.2","338.2","338.2","338.2","338.2","338.2","338.2","338.2","338.2","338.0","338.0","338.0","338.0","338.0","338.0","338.0","338.0","338.0","338.0","338.0","338.0","338.0","338.0","338.0","338.0","338.0","338.0","338.0","338.0","338.0","338.0","338.0","338.0","359.4","359.4","359.4","359.4","359.4","359.4","359.4","359.4","359.4","359.4","359.4","359.4","361.6","361.6","361.6","361.6","361.6","361.6","361.6","361.6","361.6","361.6","361.6","361.6","361.6","361.6","361.6","361.6"
"1980:Q1","347.7","347.7","347.7","347.7","347.7","347.7","347.7","347.7","347.7","347.7","347.7","347.7","347.7","347.7","347.7","347.7","347.7","347.7","347.7","347.4","347.4","347.4","347.4","347.4","347.4","347.4","347.4","347.4","347.4","347.4","347.4","347.4","347.4","347.4","347.4","347.4","347.4","347.4","347.4","347.4","347.4","347.4","347.4","369.4","369.4","369.4","369.4","369.4","369.4","369.4","369.4","369.4","369.4","369.4","369.4","371.7","371.7","371.7","371.7","371.7","371.7","371.7","371.7","371.7","371.7","371.7","371.7","371.7","371.7","371.7","371.7"
"1980:Q2","354.2","354.2","354.2","354.2","354.2","354.2","354.2","354.2","354.2","354.2","354.2","354.2","354.2","354.2","354.2","354.2","354.2","354.2","354.2","353.9","353.9","353.9","353.9","353.9","353.9","353.9","353.9","353.9","353.9","353.9","353.9","353.9","353.9","353.9","353.9","353.9","353.9","353.9","353.9","353.9","353.9","353.9","353.9","376.4","376.4","376.4","376.4","376.4","376.4","376.4","376.4","376.4","376.4","376.4","376.4","378.7","378.7","378.7","378.7","378.7","378.7","378.7","378.7","378.7","378.7","378.7","378.7","378.7","378.7","378.7","378.7"
"1980:Q3","353.5","353.5","353.5","353.5","353.5","353.5","353.5","353.5","353.5","353.5","353.5","353.5","353.5","353.5","353.5","353.5","353.5","353.5","353.5","353.2","353.2","353.2","353.2","353.2","353.2","353.2","353.2","353.2","353.2","353.2","353.2","353.2","353.2","353.2","353.2","353.2","353.2","353.2","353.2","353.2","353.2","353.2","353.2","375.6","375.6","375.6","375.6","375.6","375.6","375.6","375.6","375.6","375.6","375.6","375.6","377.9","377.9","377.9","377.9","377.9","377.9","377.9","377.9","377.9","377.9","377.9","377.9","377.9","377.9","377.9","377.9"
"1980:Q4","351.3","351.3","351.3","351.3","351.3","351.3","351.3","351.3","351.3","351.3","351.3","351.3","351.3","351.3","351.3","351.3","351.3","351.3","351.3","351.0","351.0","351.0","351.0","351.0","351.0","351.0","351.0","351.0","351.0","351.0","351.0","351.0","351.0","351.0","351.0","351.0","351.0","351.0","351.0","351.0","351.0","351.0","351.0","373.3","373.3","373.3","373.3","373.3","373.3","373.3","373.3","373.3","373.3","373.3","373.3","375.6","375.6","375.6","375.6","375.6","375.6","375.6","375.6","375.6","375.6","375.6","375.6","375.6","375.6","375.6","375.6"
"1981:Q1","357.9","357.9","357.9","357.9","357.9","357.9","357.9","357.9","357.9","357.9","357.9","357.9","357.9","357.9","357.9","357.9","357.9","357.9","357.9","357.7","357.7","357.7","357.7","357.7","357.7","357.7","357.7","357.7","357.7","357.7","357.7","357.7","357.7","357.7","357.7","357.7","357.7","357.7","357.7","357.7","357.7","357.7","357.7","380.4","380.4","380.4","380.4","380.4","380.4","380.4","380.4","380.4","380.4","380.4","380.4","382.7","382.7","382.7","382.7","382.7","382.7","382.7","382.7","382.7","382.7","382.7","382.7","382.7","382.7","382.7","382.7"
"1981:Q2","359.9","359.9","359.9","359.9","359.9","359.9","359.9","359.9","359.9","359.9","359.9","359.9","359.9","359.9","359.9","359.9","359.9","359.9","359.9","359.6","359.6","359.6","359.6","359.6","359.6","359.6","359.6","359.6","359.6","359.6","359.6","359.6","359.6","359.6","359.6","359.6","359.6","359.6","359.6","359.6","359.6","359.6","359.6","382.4","382.4","382.4","382.4","382.4","382.4","382.4","382.4","382.4","382.4","382.4","382.4","384.8","384.8","384.8","384.8","384.8","384.8","384.8","384.8","384.8","384.8","384.8","384.8","384.8","384.8","384.8","384.8"
"1981:Q3","352.2","352.2","352.2","352.2","352.2","352.2","352.2","352.2","352.2","352.2","352.2","352.2","352.2","352.2","352.2","352.2","352.2","352.2","352.2","352.0","352.0","352.0","352.0","352.0","352.0","352.0","352.0","352.0","352.0","352.0","352.0","352.0","352.0","352.0","352.0","352.0","352.0","352.0","352.0","352.0","352.0","352.0","352.0","374.3","374.3","374.3","374.3","374.3","374.3","374.3","374.3","374.3","374.3","374.3","374.3","376.6","376.6","376.6","376.6","376.6","376.6","376.6","376.6","376.6","376.6","376.6","376.6","376.6","376.6","376.6","376.6"
"1981:Q4","353.9","353.9","353.9","353.9","353.9","353.9","353.9","353.9","353.9","353.9","353.9","353.9","353.9","353.9","353.9","353.9","353.9","353.9","353.9","353.6","353.6","353.6","353.6","353.6","353.6","353.6","353.6","353.6","353.6","353.6","353.6","353.6","353.6","353.6","353.6","353.6","353.6","353.6","353.6","353.6","353.6","353.6","353.6","376.0","376.0","376.0","376.0","376.0","376.0","376.0","376.0","376.0","376.0","376.0","376.0","378.4","378.4","378.4","378.4","378.4","378.4","378.4","378.4","378.4","378.4","378.4","378.4","378.4","378.4","378.4","378.4"
"1982:Q1","338.5","338.5","338.5","338.5","338.5","338.5","338.5","338.5","338.5","338.5","338.5","338.5","338.5","338.5","338.5","338.5","338.5","338.5","338.5","338.3","338.3","338.3","338.3","338.3","338.3","338.3","338.3","338.3","338.3","338.3","338.3","338.3","338.3","338.3","338.3","338.3","338.3","338.3","338.3","338.3","338.3","338.3","338.3","359.7","359.7","359.7","359.7","359.7","359.7","359.7","359.7","359.7","359.7","359.7","359.7","362.0","362.0","362.0","362.0","362.0","362.0","362.0","362.0","362.0","362.0","362.0","362.0","362.0","362.0","362.0","362.0"
"1982:Q2","340.6","340.6","340.6","340.6","340.6","340.6","340.6","340.6","340.6","340.6","340.6","340.6","340.6","340.6","340.6","340.6","340.6","340.6","340.6","340.3","340.3","340.3","340.3","340.3","340.3","340.3","340.3","340.3","340.3","340.3","340.3","340.3","340.3","340.3","340.3","340.3","340.3","340.3","340.3","340.3","340.3","340.3","340.3","361.9","361.9","361.9","361.9","361.9","361.9","361.9","361.9","361.9","361.9","361.9","361.9","364.1","364.1","364.1","364.1","364.1","364.1","364.1","364.1","364.1","364.1","364.1","364.1","364.1","364.1","364.1","364.1"
"1982:Q3","325.5","325.5","325.5","325.5","325.5","325.5","325.5","325.5","325.5","325.5","325.5","325.5","325.5","325.5","325.5","325.5","325.5","325.5","325.5","325.2","325.2","325.2","325.2","325.2","325.2","325.2","325.2","325.2","325.2","325.2","325.2","325.2","325.2","325.2","325.2","325.2","325.2","325.2","325.2","325.2","325.2","325.2","325.2","345.9","345.9","345.9","345.9","345.9","345.9","345.9","345.9","345.9","345.9","345.9","345.9","348.0","348.0","348.0","348.0","348.0","348.0","348.0","348.0","348.0","348.0","348.0","348.0","348.0","348.0","348.0","348.0"
"1982:Q4","310.6","310.6","310.6","310.6","310.6","310.6","310.6","310.6","310.6","310.6","310.6","310.6","310.6","310.6","310.6","310.6","310.6","310.6","310.6","310.3","310.3","310.3","310.3","310.3","310.3","310.3","310.3","310.3","310.3","310.3","310.3","310.3","310.3","310.3","310.3","310.3","310.3","310.3","310.3","310.3","310.3","310.3","310.3","330.0","330.0","330.0","330.0","330.0","330.0","330.0","330.0","330.0","330.0","330.0","330.0","332.1","332.1","332.1","332.1","332.1","332.1","332.1","332.1","332.1","332.1","332.1","332.1","332.1","332.1","332.1","332.1"
"1983:Q1","315.6","315.6","315.6","315.6","315.6","315.6","315.6","315.6","315.6","315.6","315.6","315.6","315.6","315.6","315.6","315.6","315.6","315.6","315.6","315.3","315.3","315.3","315.3","315.3","315.3","315.3","315.3","315.3","315.3","315.3","315.3","315.3","315.3","315.3","315.3","315.3","315.3","315.3","315.3","315.3","315.3","315.3","315.3","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","337.4","337.4","337.4","337.4","337.4","337.4","337.4","337.4","337.4","337.4","337.4","337.4","337.4","337.4","337.4","337.4"
