"DATE","RNX10M1","RNX10M2","RNX10M3","RNX10M4","RNX10M5","RNX10M6","RNX10M7","RNX10M8","RNX10M9","RNX10M10","RNX10M11","RNX10M12","RNX11M1","RNX11M2","RNX11M3","RNX11M4","RNX11M5","RNX11M6","RNX11M7","RNX11M8","RNX11M9","RNX11M10","RNX11M11","RNX11M12","RNX12M1","RNX12M2","RNX12M3","RNX12M4","RNX12M5","RNX12M6","RNX12M7","RNX12M8","RNX12M9","RNX12M10","RNX12M11","RNX12M12","RNX13M1","RNX13M2","RNX13M3","RNX13M4","RNX13M5","RNX13M6","RNX13M7","RNX13M8","RNX13M9","RNX13M10","RNX13M11","RNX13M12","RNX14M1","RNX14M2","RNX14M3","RNX14M4","RNX14M5","RNX14M6","RNX14M7","RNX14M8","RNX14M9","RNX14M10","RNX14M11","RNX14M12","RNX15M1","RNX15M2","RNX15M3","RNX15M4","RNX15M5","RNX15M6","RNX15M7","RNX15M8","RNX15M9","RNX15M10","RNX15M11"
"1975:Q2","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","5.3","5.3","5.3","5.3","5.3","5.3","5.3","5.3","5.3","5.3","5.3","5.3","7.4","7.4","7.4","7.4","7.4","7.4","7.4","7.4","7.4","7.4","7.4","7.4","7.4","7.4","7.4","7.4"
"1975:Q3","-16.0","-16.0","-16.0","-16.0","-16.0","-16.0","-16.0","-16.0","-16.0","-16.0","-16.0","-16.0","-16.0","-16.0","-16.0","-16.0","-16.0","-16.0","-16.0","-16.0","-16.0","-16.0","-16.0","-16.0","-16.0","-16.0","-16.0","-16.0","-16.0","-16.0","-16.0","-16.0","-16.0","-16.0","-16.0","-16.0","-16.0","-16.0","-16.0","-16.0","-16.0","-16.0","-16.0","-19.9","-19.9","-19.9","-19.9","-19.9","-19.9","-19.9","-19.9","-19.9","-19.9","-19.9","-19.9","-17.8","-17.8","-17.8","-17.8","-17.8","-17.8","-17.8","-17.8","-17.8","-17.8","-17.8","-17.8","-17.8","-17.8","-17.8","-17.8"
"1975:Q4","-16.1","-16.1","-16.1","-16.1","-16.1","-16.1","-16.1","-16.1","-16.1","-16.1","-16.1","-16.1","-16.1","-16.1","-16.1","-16.1","-16.1","-16.1","-16.1","-16.1","-16.1","-16.1","-16.1","-16.1","-16.1","-16.1","-16.1","-16.1","-16.1","-16.1","-16.1","-16.1","-16.1","-16.1","-16.1","-16.1","-16.1","-16.1","-16.1","-16.1","-16.1","-16.1","-16.1","-20.2","-20.2","-20.2","-20.2","-20.2","-20.2","-20.2","-20.2","-20.2","-20.2","-20.2","-20.2","-18.0","-18.0","-18.0","-18.0","-18.0","-18.0","-18.0","-18.0","-18.0","-18.0","-18.0","-18.0","-18.0","-18.0","-18.0","-18.0"
"1976:Q1","-34.5","-34.5","-34.5","-34.5","-34.5","-34.5","-34.5","-34.5","-34.5","-34.5","-34.5","-34.5","-34.5","-34.5","-34.5","-34.5","-34.5","-34.5","-34.5","-34.5","-34.5","-34.5","-34.5","-34.5","-34.5","-34.5","-34.5","-34.5","-34.5","-34.5","-34.5","-34.5","-34.5","-34.5","-34.5","-34.5","-34.5","-34.5","-34.5","-34.5","-34.5","-34.5","-34.5","-39.9","-39.9","-39.9","-39.9","-39.9","-39.9","-39.9","-39.9","-39.9","-39.9","-39.9","-39.9","-37.7","-37.7","-37.7","-37.7","-37.7","-37.7","-37.7","-37.7","-37.7","-37.7","-37.7","-37.7","-37.7","-37.7","-37.7","-37.7"
"1976:Q2","-44.3","-44.3","-44.3","-44.3","-44.3","-44.3","-44.3","-44.3","-44.3","-44.3","-44.3","-44.3","-44.3","-44.3","-44.3","-44.3","-44.3","-44.3","-44.3","-44.3","-44.3","-44.3","-44.3","-44.3","-44.3","-44.3","-44.3","-44.3","-44.3","-44.3","-44.3","-44.3","-44.3","-44.3","-44.3","-44.3","-44.3","-44.3","-44.3","-44.3","-44.3","-44.3","-44.3","-50.5","-50.5","-50.5","-50.5","-50.5","-50.5","-50.5","-50.5","-50.5","-50.5","-50.5","-50.5","-48.2","-48.2","-48.2","-48.2","-48.2","-48.2","-48.2","-48.2","-48.2","-48.2","-48.2","-48.2","-48.2","-48.2","-48.2","-48.2"
"1976:Q3","-49.1","-49.1","-49.1","-49.1","-49.1","-49.1","-49.1","-49.1","-49.1","-49.1","-49.1","-49.1","-49.1","-49.1","-49.1","-49.1","-49.1","-49.1","-49.1","-49.0","-49.0","-49.0","-49.0","-49.0","-49.0","-49.0","-49.0","-49.0","-49.0","-49.0","-49.0","-49.0","-49.0","-49.0","-49.0","-49.0","-49.0","-49.0","-49.0","-49.0","-49.0","-49.0","-49.0","-55.7","-55.7","-55.7","-55.7","-55.7","-55.7","-55.7","-55.7","-55.7","-55.7","-55.7","-55.7","-53.3","-53.3","-53.3","-53.3","-53.3","-53.3","-53.3","-53.3","-53.3","-53.3","-53.3","-53.3","-53.3","-53.3","-53.3","-53.3"
"1976:Q4","-56.6","-56.6","-56.6","-56.6","-56.6","-56.6","-56.6","-56.6","-56.6","-56.6","-56.6","-56.6","-56.6","-56.6","-56.6","-56.6","-56.6","-56.6","-56.6","-56.6","-56.6","-56.6","-56.6","-56.6","-56.6","-56.6","-56.6","-56.6","-56.6","-56.6","-56.6","-56.6","-56.6","-56.6","-56.6","-56.6","-56.6","-56.6","-56.6","-56.6","-56.6","-56.6","-56.6","-63.8","-63.8","-63.8","-63.8","-63.8","-63.8","-63.8","-63.8","-63.8","-63.8","-63.8","-63.8","-61.4","-61.4","-61.4","-61.4","-61.4","-61.4","-61.4","-61.4","-61.4","-61.4","-61.4","-61.4","-61.4","-61.4","-61.4","-61.4"
"1977:Q1","-75.9","-75.9","-75.9","-75.9","-75.9","-75.9","-75.9","-75.9","-75.9","-75.9","-75.9","-75.9","-75.9","-75.9","-75.9","-75.9","-75.9","-75.9","-75.9","-75.9","-75.9","-75.9","-75.9","-75.9","-75.9","-75.9","-75.9","-75.9","-75.9","-75.9","-75.9","-75.9","-75.9","-75.9","-75.9","-75.9","-75.9","-75.9","-75.9","-75.9","-75.9","-75.9","-75.9","-84.5","-84.5","-84.5","-84.5","-84.5","-84.5","-84.5","-84.5","-84.5","-84.5","-84.5","-84.5","-82.1","-82.1","-82.1","-82.1","-82.1","-82.1","-82.1","-82.1","-82.1","-82.1","-82.1","-82.1","-82.1","-82.1","-82.1","-82.1"
"1977:Q2","-72.1","-72.1","-72.1","-72.1","-72.1","-72.1","-72.1","-72.1","-72.1","-72.1","-72.1","-72.1","-72.1","-72.1","-72.1","-72.1","-72.1","-72.1","-72.1","-72.0","-72.0","-72.0","-72.0","-72.0","-72.0","-72.0","-72.0","-72.0","-72.0","-72.0","-72.0","-72.0","-72.0","-72.0","-72.0","-72.0","-72.0","-72.0","-72.0","-72.0","-72.0","-72.0","-72.0","-80.4","-80.4","-80.4","-80.4","-80.4","-80.4","-80.4","-80.4","-80.4","-80.4","-80.4","-80.4","-77.9","-77.9","-77.9","-77.9","-77.9","-77.9","-77.9","-77.9","-77.9","-77.9","-77.9","-77.9","-77.9","-77.9","-77.9","-77.9"
"1977:Q3","-65.3","-65.3","-65.3","-65.3","-65.3","-65.3","-65.3","-65.3","-65.3","-65.3","-65.3","-65.3","-65.3","-65.3","-65.3","-65.3","-65.3","-65.3","-65.3","-65.2","-65.2","-65.2","-65.2","-65.2","-65.2","-65.2","-65.2","-65.2","-65.2","-65.2","-65.2","-65.2","-65.2","-65.2","-65.2","-65.2","-65.2","-65.2","-65.2","-65.2","-65.2","-65.2","-65.2","-73.2","-73.2","-73.2","-73.2","-73.2","-73.2","-73.2","-73.2","-73.2","-73.2","-73.2","-73.2","-70.7","-70.7","-70.7","-70.7","-70.7","-70.7","-70.7","-70.7","-70.7","-70.7","-70.7","-70.7","-70.7","-70.7","-70.7","-70.7"
