"DATE","RNX10M1","RNX10M2","RNX10M3","RNX10M4","RNX10M5","RNX10M6","RNX10M7","RNX10M8","RNX10M9","RNX10M10","RNX10M11","RNX10M12","RNX11M1","RNX11M2","RNX11M3","RNX11M4","RNX11M5","RNX11M6","RNX11M7","RNX11M8","RNX11M9","RNX11M10","RNX11M11","RNX11M12","RNX12M1","RNX12M2","RNX12M3","RNX12M4","RNX12M5","RNX12M6","RNX12M7","RNX12M8","RNX12M9","RNX12M10","RNX12M11","RNX12M12","RNX13M1","RNX13M2","RNX13M3","RNX13M4","RNX13M5","RNX13M6","RNX13M7","RNX13M8","RNX13M9","RNX13M10","RNX13M11","RNX13M12","RNX14M1","RNX14M2","RNX14M3","RNX14M4","RNX14M5","RNX14M6","RNX14M7","RNX14M8","RNX14M9","RNX14M10","RNX14M11","RNX14M12","RNX15M1","RNX15M2","RNX15M3","RNX15M4","RNX15M5","RNX15M6","RNX15M7","RNX15M8","RNX15M9","RNX15M10","RNX15M11"
"1980:Q2","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","7.7","7.7","7.7","7.7","7.7","7.7","7.7","7.7","7.7","7.7","7.7","7.7","7.7","7.7","7.7","7.7"
"1980:Q3","32.3","32.3","32.3","32.3","32.3","32.3","32.3","32.3","32.3","32.3","32.3","32.3","32.3","32.3","32.3","32.3","32.3","32.3","32.3","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","30.6","30.6","30.6","30.6","30.6","30.6","30.6","30.6","30.6","30.6","30.6","30.6","33.6","33.6","33.6","33.6","33.6","33.6","33.6","33.6","33.6","33.6","33.6","33.6","33.6","33.6","33.6","33.6"
"1980:Q4","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.9","12.9","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8"
"1981:Q1","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.1","5.1","5.1","5.1","5.1","5.1","5.1","5.1","5.1","5.1","5.1","5.1","5.1","5.1","5.1","5.1","5.1","5.1","5.1","5.1","5.1","5.1","5.1","5.1","1.3","1.3","1.3","1.3","1.3","1.3","1.3","1.3","1.3","1.3","1.3","1.3","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4"
"1981:Q2","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","5.9","5.9","5.9","5.9","5.9","5.9","5.9","5.9","5.9","5.9","5.9","5.9","5.9","5.9","5.9","5.9"
"1981:Q3","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0"
"1981:Q4","-5.5","-5.5","-5.5","-5.5","-5.5","-5.5","-5.5","-5.5","-5.5","-5.5","-5.5","-5.5","-5.5","-5.5","-5.5","-5.5","-5.5","-5.5","-5.5","-5.5","-5.5","-5.5","-5.5","-5.5","-5.5","-5.5","-5.5","-5.5","-5.5","-5.5","-5.5","-5.5","-5.5","-5.5","-5.5","-5.5","-5.5","-5.5","-5.5","-5.5","-5.5","-5.5","-5.5","-10.1","-10.1","-10.1","-10.1","-10.1","-10.1","-10.1","-10.1","-10.1","-10.1","-10.1","-10.1","-6.9","-6.9","-6.9","-6.9","-6.9","-6.9","-6.9","-6.9","-6.9","-6.9","-6.9","-6.9","-6.9","-6.9","-6.9","-6.9"
"1982:Q1","-10.7","-10.7","-10.7","-10.7","-10.7","-10.7","-10.7","-10.7","-10.7","-10.7","-10.7","-10.7","-10.7","-10.7","-10.7","-10.7","-10.7","-10.7","-10.7","-10.6","-10.6","-10.6","-10.6","-10.6","-10.6","-10.6","-10.6","-10.6","-10.6","-10.6","-10.6","-10.6","-10.6","-10.6","-10.6","-10.6","-10.6","-10.6","-10.6","-10.6","-10.6","-10.6","-10.6","-15.4","-15.4","-15.4","-15.4","-15.4","-15.4","-15.4","-15.4","-15.4","-15.4","-15.4","-15.4","-12.3","-12.3","-12.3","-12.3","-12.3","-12.3","-12.3","-12.3","-12.3","-12.3","-12.3","-12.3","-12.3","-12.3","-12.3","-12.3"
"1982:Q2","-2.8","-2.8","-2.8","-2.8","-2.8","-2.8","-2.8","-2.8","-2.8","-2.8","-2.8","-2.8","-2.8","-2.8","-2.8","-2.8","-2.8","-2.8","-2.8","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-7.0","-7.0","-7.0","-7.0","-7.0","-7.0","-7.0","-7.0","-7.0","-7.0","-7.0","-7.0","-4.1","-4.1","-4.1","-4.1","-4.1","-4.1","-4.1","-4.1","-4.1","-4.1","-4.1","-4.1","-4.1","-4.1","-4.1","-4.1"
"1982:Q3","-33.9","-33.9","-33.9","-33.9","-33.9","-33.9","-33.9","-33.9","-33.9","-33.9","-33.9","-33.9","-33.9","-33.9","-33.9","-33.9","-33.9","-33.9","-33.9","-33.9","-33.9","-33.9","-33.9","-33.9","-33.9","-33.9","-33.9","-33.9","-33.9","-33.9","-33.9","-33.9","-33.9","-33.9","-33.9","-33.9","-33.9","-33.9","-33.9","-33.9","-33.9","-33.9","-33.9","-40.1","-40.1","-40.1","-40.1","-40.1","-40.1","-40.1","-40.1","-40.1","-40.1","-40.1","-40.1","-37.3","-37.3","-37.3","-37.3","-37.3","-37.3","-37.3","-37.3","-37.3","-37.3","-37.3","-37.3","-37.3","-37.3","-37.3","-37.3"
"1982:Q4","-34.7","-34.7","-34.7","-34.7","-34.7","-34.7","-34.7","-34.7","-34.7","-34.7","-34.7","-34.7","-34.7","-34.7","-34.7","-34.7","-34.7","-34.7","-34.7","-34.7","-34.7","-34.7","-34.7","-34.7","-34.7","-34.7","-34.7","-34.7","-34.7","-34.7","-34.7","-34.7","-34.7","-34.7","-34.7","-34.7","-34.7","-34.7","-34.7","-34.7","-34.7","-34.7","-34.7","-40.9","-40.9","-40.9","-40.9","-40.9","-40.9","-40.9","-40.9","-40.9","-40.9","-40.9","-40.9","-38.1","-38.1","-38.1","-38.1","-38.1","-38.1","-38.1","-38.1","-38.1","-38.1","-38.1","-38.1","-38.1","-38.1","-38.1","-38.1"
"1983:Q1","-37.6","-37.6","-37.6","-37.6","-37.6","-37.6","-37.6","-37.6","-37.6","-37.6","-37.6","-37.6","-37.6","-37.6","-37.6","-37.6","-37.6","-37.6","-37.6","-37.6","-37.6","-37.6","-37.6","-37.6","-37.6","-37.6","-37.6","-37.6","-37.6","-37.6","-37.6","-37.6","-37.6","-37.6","-37.6","-37.6","-37.6","-37.6","-37.6","-37.6","-37.6","-37.5","-37.5","-44.0","-44.0","-44.0","-44.0","-44.0","-44.0","-44.0","-44.0","-44.0","-44.0","-44.0","-44.0","-41.2","-41.2","-41.2","-41.2","-41.2","-41.2","-41.2","-41.2","-41.2","-41.2","-41.2","-41.2","-41.2","-41.2","-41.2","-41.2"
"1983:Q2","-63.8","-63.8","-63.8","-63.8","-63.8","-63.8","-63.8","-63.8","-63.8","-63.8","-63.8","-63.8","-63.8","-63.8","-63.8","-63.8","-63.8","-63.8","-63.8","-63.8","-63.8","-63.8","-63.8","-63.8","-63.8","-63.8","-63.8","-63.8","-63.8","-63.8","-63.8","-63.8","-63.8","-63.8","-63.8","-63.8","-63.8","-63.8","-63.8","-63.8","-63.8","-63.8","-63.8","-72.2","-72.2","-72.2","-72.2","-72.2","-72.2","-72.2","-72.2","-72.2","-72.2","-72.2","-72.2","-69.3","-69.3","-69.3","-69.3","-69.3","-69.3","-69.3","-69.3","-69.3","-69.3","-69.3","-69.3","-69.3","-69.3","-69.3","-69.3"
"1983:Q3","-88.7","-88.7","-88.7","-88.7","-88.7","-88.7","-88.7","-88.7","-88.7","-88.7","-88.7","-88.7","-88.7","-88.7","-88.7","-88.7","-88.7","-88.7","-88.7","-88.6","-88.6","-88.6","-88.6","-88.6","-88.6","-88.6","-88.6","-88.6","-88.6","-88.6","-88.6","-88.6","-88.6","-88.6","-88.6","-88.6","-88.6","-88.6","-88.6","-88.6","-88.6","-88.6","-88.6","-99.0","-99.0","-99.0","-99.0","-99.0","-99.0","-99.0","-99.0","-99.0","-99.0","-99.0","-99.0","-96.0","-96.0","-96.0","-96.0","-96.0","-96.0","-96.0","-96.0","-96.0","-96.0","-96.0","-96.0","-96.0","-96.0","-96.0","-96.0"
"1983:Q4","-102.3","-102.3","-102.3","-102.3","-102.3","-102.3","-102.3","-102.3","-102.3","-102.3","-102.3","-102.3","-102.3","-102.3","-102.3","-102.3","-102.3","-102.3","-102.3","-102.3","-102.3","-102.3","-102.3","-102.3","-102.3","-102.3","-102.3","-102.3","-102.3","-102.3","-102.3","-102.3","-102.3","-102.3","-102.3","-102.3","-102.3","-102.3","-102.3","-102.3","-102.3","-102.3","-102.3","-113.7","-113.7","-113.7","-113.7","-113.7","-113.7","-113.7","-113.7","-113.7","-113.7","-113.7","-113.7","-110.6","-110.6","-110.6","-110.6","-110.6","-110.6","-110.6","-110.6","-110.6","-110.6","-110.6","-110.6","-110.6","-110.6","-110.6","-110.6"
"1984:Q1","-130.0","-130.0","-130.0","-130.0","-130.0","-130.0","-130.0","-130.0","-130.0","-130.0","-130.0","-130.0","-130.0","-130.0","-130.0","-130.0","-130.0","-130.0","-130.0","-129.9","-129.9","-129.9","-129.9","-129.9","-129.9","-129.9","-129.9","-129.9","-129.9","-129.9","-129.9","-129.9","-129.9","-129.9","-129.9","-129.9","-129.9","-129.9","-129.9","-129.9","-129.9","-129.9","-129.9","-143.5","-143.5","-143.5","-143.5","-143.5","-143.5","-143.5","-143.5","-143.5","-143.5","-143.5","-143.5","-140.3","-140.3","-140.3","-140.3","-140.3","-140.3","-140.3","-140.3","-140.3","-140.3","-140.3","-140.3","-140.3","-140.3","-140.3","-140.3"
"1984:Q2","-141.1","-141.1","-141.1","-141.1","-141.1","-141.1","-141.1","-141.1","-141.1","-141.1","-141.1","-141.1","-141.1","-141.1","-141.1","-141.1","-141.1","-141.1","-141.1","-141.1","-141.1","-141.1","-141.1","-141.1","-141.1","-141.1","-141.1","-141.1","-141.1","-141.1","-141.1","-141.1","-141.1","-141.1","-141.1","-141.1","-141.1","-141.1","-141.1","-141.1","-141.1","-141.1","-141.1","-155.5","-155.5","-155.5","-155.5","-155.5","-155.5","-155.5","-155.5","-155.5","-155.5","-155.5","-155.5","-152.3","-152.3","-152.3","-152.3","-152.3","-152.3","-152.3","-152.3","-152.3","-152.3","-152.3","-152.3","-152.3","-152.3","-152.3","-152.3"
"1984:Q3","-146.1","-146.1","-146.1","-146.1","-146.1","-146.1","-146.1","-146.1","-146.1","-146.1","-146.1","-146.1","-146.1","-146.1","-146.1","-146.1","-146.1","-146.1","-146.1","-146.0","-146.0","-146.0","-146.0","-146.0","-146.0","-146.0","-146.0","-146.0","-146.0","-146.0","-146.0","-146.0","-146.0","-146.0","-146.0","-146.0","-146.0","-146.0","-146.0","-146.0","-146.0","-146.0","-146.0","-161.0","-161.0","-161.0","-161.0","-161.0","-161.0","-161.0","-161.0","-161.0","-161.0","-161.0","-161.0","-157.6","-157.6","-157.6","-157.6","-157.6","-157.6","-157.6","-157.6","-157.6","-157.6","-157.6","-157.6","-157.6","-157.6","-157.6","-157.6"
"1984:Q4","-153.6","-153.6","-153.6","-153.6","-153.6","-153.6","-153.6","-153.6","-153.6","-153.6","-153.6","-153.6","-153.6","-153.6","-153.6","-153.6","-153.6","-153.6","-153.6","-153.4","-153.4","-153.4","-153.4","-153.4","-153.4","-153.4","-153.4","-153.4","-153.4","-153.4","-153.4","-153.4","-153.4","-153.4","-153.4","-153.4","-153.4","-153.4","-153.4","-153.4","-153.4","-153.4","-153.4","-169.0","-169.0","-169.0","-169.0","-169.0","-169.0","-169.0","-169.0","-169.0","-169.0","-169.0","-169.0","-165.6","-165.6","-165.6","-165.6","-165.6","-165.6","-165.6","-165.6","-165.6","-165.6","-165.6","-165.6","-165.6","-165.6","-165.6","-165.6"
"1985:Q1","-142.0","-142.0","-142.0","-142.0","-142.0","-142.0","-142.0","-142.0","-142.0","-142.0","-142.0","-142.0","-142.0","-142.0","-142.0","-142.0","-142.0","-142.0","-142.0","-142.0","-142.0","-142.0","-142.0","-142.0","-142.0","-142.0","-142.0","-142.0","-142.0","-142.0","-142.0","-142.0","-142.0","-142.0","-142.0","-142.0","-142.0","-142.0","-142.0","-142.0","-142.0","-142.0","-142.0","-156.0","-156.0","-156.0","-156.0","-156.0","-156.0","-156.0","-156.0","-156.0","-156.0","-156.0","-156.0","-152.5","-152.5","-152.5","-152.5","-152.5","-152.5","-152.5","-152.5","-152.5","-152.5","-152.5","-152.5","-152.5","-152.5","-152.5","-152.5"
"1985:Q2","-167.9","-167.9","-167.9","-167.9","-167.9","-167.9","-167.9","-167.9","-167.9","-167.9","-167.9","-167.9","-167.9","-167.9","-167.9","-167.9","-167.9","-167.9","-167.9","-167.8","-167.8","-167.8","-167.8","-167.8","-167.8","-167.8","-167.8","-167.8","-167.8","-167.8","-167.8","-167.8","-167.8","-167.8","-167.8","-167.8","-167.8","-167.8","-167.8","-167.8","-167.8","-167.8","-167.8","-183.2","-183.2","-183.2","-183.2","-183.2","-183.2","-183.2","-183.2","-183.2","-183.2","-183.2","-183.2","-179.8","-179.8","-179.8","-179.8","-179.8","-179.8","-179.8","-179.8","-179.8","-179.8","-179.8","-179.8","-179.8","-179.8","-179.8","-179.8"
"1985:Q3","-168.0","-168.0","-168.0","-168.0","-168.0","-168.0","-168.0","-168.0","-168.0","-168.0","-168.0","-168.0","-168.0","-168.0","-168.0","-168.0","-168.0","-168.0","-168.0","-167.9","-167.9","-167.9","-167.9","-167.9","-167.9","-167.9","-167.9","-167.9","-167.9","-167.9","-167.9","-167.9","-167.9","-167.9","-167.9","-167.9","-167.9","-167.9","-167.9","-167.9","-167.9","-167.9","-167.9","-183.2","-183.2","-183.2","-183.2","-183.2","-183.2","-183.2","-183.2","-183.2","-183.2","-183.2","-183.2","-179.8","-179.8","-179.8","-179.8","-179.8","-179.8","-179.8","-179.8","-179.8","-179.8","-179.8","-179.8","-179.8","-179.8","-179.8","-179.8"
"1985:Q4","-177.8","-177.8","-177.8","-177.8","-177.8","-177.8","-177.8","-177.8","-177.8","-177.8","-177.8","-177.8","-177.8","-177.8","-177.8","-177.8","-177.8","-177.8","-177.8","-177.7","-177.7","-177.7","-177.7","-177.7","-177.7","-177.7","-177.7","-177.7","-177.7","-177.7","-177.7","-177.7","-177.7","-177.7","-177.7","-177.7","-177.7","-177.7","-177.7","-177.7","-177.7","-177.7","-177.7","-193.9","-193.9","-193.9","-193.9","-193.9","-193.9","-193.9","-193.9","-193.9","-193.9","-193.9","-193.9","-190.4","-190.4","-190.4","-190.4","-190.4","-190.4","-190.4","-190.4","-190.4","-190.4","-190.4","-190.4","-190.4","-190.4","-190.4","-190.4"
"1986:Q1","-165.9","-165.9","-165.9","-165.9","-165.9","-165.9","-165.9","-165.9","-165.9","-165.9","-165.9","-165.9","-165.9","-165.9","-165.9","-165.9","-165.9","-165.9","-165.9","-165.8","-165.8","-165.8","-165.8","-165.8","-165.8","-165.8","-165.8","-165.8","-165.8","-165.8","-165.8","-165.8","-165.8","-165.8","-165.8","-165.8","-165.8","-165.8","-165.8","-165.8","-165.8","-165.8","-165.8","-181.3","-181.3","-181.3","-181.3","-181.3","-181.3","-181.3","-181.3","-181.3","-181.3","-181.3","-181.3","-177.6","-177.6","-177.6","-177.6","-177.6","-177.6","-177.6","-177.6","-177.6","-177.6","-177.6","-177.6","-177.6","-177.6","-177.6","-177.6"
"1986:Q2","-184.7","-184.7","-184.7","-184.7","-184.7","-184.7","-184.7","-184.7","-184.7","-184.7","-184.7","-184.7","-184.7","-184.7","-184.7","-184.7","-184.7","-184.7","-184.7","-184.6","-184.6","-184.6","-184.6","-184.6","-184.6","-184.6","-184.6","-184.6","-184.6","-184.6","-184.6","-184.6","-184.6","-184.6","-184.6","-184.6","-184.6","-184.6","-184.6","-184.6","-184.6","-184.6","-184.6","-201.6","-201.6","-201.6","-201.6","-201.6","-201.6","-201.6","-201.6","-201.6","-201.6","-201.6","-201.6","-197.9","-197.9","-197.9","-197.9","-197.9","-197.9","-197.9","-197.9","-197.9","-197.9","-197.9","-197.9","-197.9","-197.9","-197.9","-197.9"
"1986:Q3","-191.7","-191.7","-191.7","-191.7","-191.7","-191.7","-191.7","-191.7","-191.7","-191.7","-191.7","-191.7","-191.7","-191.7","-191.7","-191.7","-191.7","-191.7","-191.7","-191.6","-191.6","-191.6","-191.6","-191.6","-191.6","-191.6","-191.6","-191.6","-191.6","-191.6","-191.6","-191.6","-191.6","-191.6","-191.6","-191.6","-191.6","-191.6","-191.6","-191.6","-191.6","-191.6","-191.6","-209.1","-209.1","-209.1","-209.1","-209.1","-209.1","-209.1","-209.1","-209.1","-209.1","-209.1","-209.1","-205.3","-205.3","-205.3","-205.3","-205.3","-205.3","-205.3","-205.3","-205.3","-205.3","-205.3","-205.3","-205.3","-205.3","-205.3","-205.3"
"1986:Q4","-181.8","-181.8","-181.8","-181.8","-181.8","-181.8","-181.8","-181.8","-181.8","-181.8","-181.8","-181.8","-181.8","-181.8","-181.8","-181.8","-181.8","-181.8","-181.8","-181.7","-181.7","-181.7","-181.7","-181.7","-181.7","-181.7","-181.7","-181.7","-181.7","-181.7","-181.7","-181.7","-181.7","-181.7","-181.7","-181.7","-181.7","-181.7","-181.7","-181.7","-181.7","-181.7","-181.7","-198.6","-198.6","-198.6","-198.6","-198.6","-198.6","-198.6","-198.6","-198.6","-198.6","-198.6","-198.6","-194.7","-194.7","-194.7","-194.7","-194.7","-194.7","-194.7","-194.7","-194.7","-194.7","-194.7","-194.7","-194.7","-194.7","-194.7","-194.7"
"1987:Q1","-178.0","-178.0","-178.0","-178.0","-178.0","-178.0","-178.0","-178.0","-178.0","-178.0","-178.0","-178.0","-178.0","-178.0","-178.0","-178.0","-178.0","-178.0","-178.0","-177.9","-177.9","-177.9","-177.9","-177.9","-177.9","-177.9","-177.9","-177.9","-177.9","-177.9","-177.9","-177.9","-177.9","-177.9","-177.9","-177.9","-177.9","-177.9","-177.9","-177.9","-177.9","-177.9","-177.9","-194.5","-194.5","-194.5","-194.5","-194.5","-194.5","-194.5","-194.5","-194.5","-194.5","-194.5","-194.5","-190.7","-190.7","-190.7","-190.7","-190.7","-190.7","-190.7","-190.7","-190.7","-190.7","-190.7","-190.7","-190.7","-190.7","-190.7","-190.7"
"1987:Q2","-176.5","-176.5","-176.5","-176.5","-176.5","-176.5","-176.5","-176.5","-176.5","-176.5","-176.5","-176.5","-176.5","-176.5","-176.5","-176.5","-176.5","-176.5","-176.5","-176.4","-176.4","-176.4","-176.4","-176.4","-176.4","-176.4","-176.4","-176.4","-176.4","-176.4","-176.4","-176.4","-176.4","-176.4","-176.4","-176.4","-176.4","-176.4","-176.4","-176.4","-176.4","-176.4","-176.4","-192.4","-192.4","-192.4","-192.4","-192.4","-192.4","-192.4","-192.4","-192.4","-192.4","-192.4","-192.4","-188.5","-188.5","-188.5","-188.5","-188.5","-188.5","-188.5","-188.5","-188.5","-188.5","-188.5","-188.5","-188.5","-188.5","-188.5","-188.5"
"1987:Q3","-170.2","-170.2","-170.2","-170.2","-170.2","-170.2","-170.2","-170.2","-170.2","-170.2","-170.2","-170.2","-170.2","-170.2","-170.2","-170.2","-170.2","-170.2","-170.2","-170.0","-170.0","-170.0","-170.0","-170.0","-170.0","-170.0","-170.0","-170.0","-170.0","-170.0","-170.0","-170.0","-170.0","-170.0","-170.0","-170.0","-170.0","-170.0","-170.0","-170.0","-170.0","-170.0","-170.0","-185.5","-185.5","-185.5","-185.5","-185.5","-185.5","-185.5","-185.5","-185.5","-185.5","-185.5","-185.5","-181.4","-181.4","-181.4","-181.4","-181.4","-181.4","-181.4","-181.4","-181.4","-181.4","-181.4","-181.4","-181.4","-181.4","-181.4","-181.4"
"1987:Q4","-168.0","-168.0","-168.0","-168.0","-168.0","-168.0","-168.0","-168.0","-168.0","-168.0","-168.0","-168.0","-168.0","-168.0","-168.0","-168.0","-168.0","-168.0","-168.0","-167.8","-167.8","-167.8","-167.8","-167.8","-167.8","-167.8","-167.8","-167.8","-167.8","-167.8","-167.8","-167.8","-167.8","-167.8","-167.8","-167.8","-167.8","-167.8","-167.8","-167.8","-167.8","-167.8","-167.8","-183.2","-183.2","-183.2","-183.2","-183.2","-183.2","-183.2","-183.2","-183.2","-183.2","-183.2","-183.2","-178.9","-178.9","-178.9","-178.9","-178.9","-178.9","-178.9","-178.9","-178.9","-178.9","-178.9","-178.9","-178.9","-178.9","-178.9","-178.9"
"1988:Q1","-140.1","-140.1","-140.1","-140.1","-140.1","-140.1","-140.1","-140.1","-140.1","-140.1","-140.1","-140.1","-140.1","-140.1","-140.1","-140.1","-140.1","-140.1","-140.1","-140.0","-140.0","-140.0","-140.0","-140.0","-140.0","-140.0","-140.0","-140.0","-140.0","-140.0","-140.0","-140.0","-140.0","-140.0","-140.0","-140.0","-140.0","-140.0","-140.0","-140.0","-140.0","-140.0","-140.0","-153.4","-153.4","-153.4","-153.4","-153.4","-153.4","-153.4","-153.4","-153.4","-153.4","-153.4","-153.4","-148.9","-148.9","-148.9","-148.9","-148.9","-148.9","-148.9","-148.9","-148.9","-148.9","-148.9","-148.9","-148.9","-148.9","-148.9","-148.9"
"1988:Q2","-119.9","-119.9","-119.9","-119.9","-119.9","-119.9","-119.9","-119.9","-119.9","-119.9","-119.9","-119.9","-119.9","-119.9","-119.9","-119.9","-119.9","-119.9","-119.9","-119.8","-119.8","-119.8","-119.8","-119.8","-119.8","-119.8","-119.8","-119.8","-119.8","-119.8","-119.8","-119.8","-119.8","-119.8","-119.8","-119.8","-119.8","-119.8","-119.8","-119.8","-119.8","-119.8","-119.8","-131.4","-131.4","-131.4","-131.4","-131.4","-131.4","-131.4","-131.4","-131.4","-131.4","-131.4","-131.4","-127.0","-127.0","-127.0","-127.0","-127.0","-127.0","-127.0","-127.0","-127.0","-127.0","-127.0","-127.0","-127.0","-127.0","-127.0","-127.0"
"1988:Q3","-125.2","-125.2","-125.2","-125.2","-125.2","-125.2","-125.2","-125.2","-125.2","-125.2","-125.2","-125.2","-125.2","-125.2","-125.2","-125.2","-125.2","-125.2","-125.2","-125.1","-125.1","-125.1","-125.1","-125.1","-125.1","-125.1","-125.1","-125.1","-125.1","-125.1","-125.1","-125.1","-125.1","-125.1","-125.1","-125.1","-125.1","-125.1","-125.1","-125.1","-125.1","-125.1","-125.1","-136.6","-136.6","-136.6","-136.6","-136.6","-136.6","-136.6","-136.6","-136.6","-136.6","-136.6","-136.6","-132.0","-132.0","-132.0","-132.0","-132.0","-132.0","-132.0","-132.0","-132.0","-132.0","-132.0","-132.0","-132.0","-132.0","-132.0","-132.0"
"1988:Q4","-128.9","-128.9","-128.9","-128.9","-128.9","-128.9","-128.9","-128.9","-128.9","-128.9","-128.9","-128.9","-128.9","-128.9","-128.9","-128.9","-128.9","-128.9","-128.9","-128.9","-128.9","-128.9","-128.9","-128.9","-128.9","-128.9","-128.9","-128.9","-128.9","-128.9","-128.9","-128.9","-128.9","-128.9","-128.9","-128.9","-128.9","-128.9","-128.9","-128.9","-128.9","-128.9","-128.9","-140.8","-140.8","-140.8","-140.8","-140.8","-140.8","-140.8","-140.8","-140.8","-140.8","-140.8","-140.8","-136.1","-136.1","-136.1","-136.1","-136.1","-136.1","-136.1","-136.1","-136.1","-136.1","-136.1","-136.1","-136.1","-136.1","-136.1","-136.1"
"1989:Q1","-116.8","-116.8","-116.8","-116.8","-116.8","-116.8","-116.8","-116.8","-116.8","-116.8","-116.8","-116.8","-116.8","-116.8","-116.8","-116.8","-116.8","-116.8","-116.8","-116.8","-116.8","-116.8","-116.8","-116.8","-116.8","-116.8","-116.8","-116.8","-116.8","-116.8","-116.8","-116.8","-116.8","-116.8","-116.8","-116.8","-116.8","-116.8","-116.8","-116.8","-116.8","-116.8","-116.8","-127.6","-127.6","-127.6","-127.6","-127.6","-127.6","-127.6","-127.6","-127.6","-127.6","-127.6","-127.6","-122.8","-122.8","-122.8","-122.8","-122.8","-122.8","-122.8","-122.8","-122.8","-122.8","-122.8","-122.8","-122.8","-122.8","-122.8","-122.8"
"1989:Q2","-96.9","-96.9","-96.9","-96.9","-96.9","-96.9","-96.9","-96.9","-96.9","-96.9","-96.9","-96.9","-96.9","-96.9","-96.9","-96.9","-96.9","-96.9","-96.9","-96.8","-96.8","-96.8","-96.8","-96.8","-96.8","-96.8","-96.8","-96.8","-96.8","-96.8","-96.8","-96.8","-96.8","-96.8","-96.8","-96.8","-96.8","-96.8","-96.8","-96.8","-96.8","-96.8","-96.8","-106.2","-106.2","-106.2","-106.2","-106.2","-106.2","-106.2","-106.2","-106.2","-106.2","-106.2","-106.2","-101.2","-101.2","-101.2","-101.2","-101.2","-101.2","-101.2","-101.2","-101.2","-101.2","-101.2","-101.2","-101.2","-101.2","-101.2","-101.2"
"1989:Q3","-90.0","-90.0","-90.0","-90.0","-90.0","-90.0","-90.0","-90.0","-90.0","-90.0","-90.0","-90.0","-90.0","-90.0","-90.0","-90.0","-90.0","-90.0","-90.0","-89.9","-89.9","-89.9","-89.9","-89.9","-89.9","-89.9","-89.9","-89.9","-89.9","-89.9","-89.9","-89.9","-89.9","-89.9","-89.9","-89.9","-89.9","-89.9","-89.9","-89.9","-89.9","-89.9","-89.9","-99.2","-99.2","-99.2","-99.2","-99.2","-99.2","-99.2","-99.2","-99.2","-99.2","-99.2","-99.2","-94.1","-94.1","-94.1","-94.1","-94.1","-94.1","-94.1","-94.1","-94.1","-94.1","-94.1","-94.1","-94.1","-94.1","-94.1","-94.1"
