"DATE","IPM00M1","IPM00M2","IPM00M3","IPM00M4","IPM00M5","IPM00M6","IPM00M7","IPM00M8","IPM00M9","IPM00M10","IPM00M11","IPM00M12","IPM01M1","IPM01M2","IPM01M3","IPM01M4","IPM01M5","IPM01M6","IPM01M7","IPM01M8","IPM01M9","IPM01M10","IPM01M11","IPM01M12","IPM02M1","IPM02M2","IPM02M3","IPM02M4","IPM02M5","IPM02M6","IPM02M7","IPM02M8","IPM02M9","IPM02M10","IPM02M11","IPM02M12","IPM03M1","IPM03M2","IPM03M3","IPM03M4","IPM03M5","IPM03M6","IPM03M7","IPM03M8","IPM03M9","IPM03M10","IPM03M11","IPM03M12","IPM04M1","IPM04M2","IPM04M3","IPM04M4","IPM04M5","IPM04M6","IPM04M7","IPM04M8","IPM04M9","IPM04M10","IPM04M11","IPM04M12","IPM05M1","IPM05M2","IPM05M3","IPM05M4","IPM05M5","IPM05M6","IPM05M7","IPM05M8","IPM05M9","IPM05M10","IPM05M11","IPM05M12","IPM06M1","IPM06M2","IPM06M3","IPM06M4","IPM06M5","IPM06M6","IPM06M7","IPM06M8","IPM06M9","IPM06M10","IPM06M11","IPM06M12","IPM07M1","IPM07M2","IPM07M3","IPM07M4","IPM07M5","IPM07M6","IPM07M7","IPM07M8","IPM07M9","IPM07M10","IPM07M11","IPM07M12","IPM08M1","IPM08M2","IPM08M3","IPM08M4","IPM08M5","IPM08M6","IPM08M7","IPM08M8","IPM08M9","IPM08M10","IPM08M11","IPM08M12","IPM09M1","IPM09M2","IPM09M3","IPM09M4","IPM09M5","IPM09M6","IPM09M7","IPM09M8","IPM09M9","IPM09M10","IPM09M11","IPM09M12"
"2004:11","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","119.7","118.9","119.0","119.1","119.1","119.1","119.1","119.1","119.1","119.1","119.1","106.9","106.9","106.9","106.9","106.9","106.9","106.9","106.9","106.9","106.9","106.9","106.9","106.9","105.2","105.2","105.2","105.2","105.2","105.2","105.2","105.2","105.2","105.2","105.2","105.2","105.2","105.2","105.2","105.2","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7"
"2004:12","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","119.7","119.5","119.7","119.7","119.7","119.7","119.7","119.7","119.7","119.7","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","106.4","106.4","106.4","106.4","106.4","106.4","106.4","106.4","106.4","106.4","106.4","106.4","106.4","106.4","106.4","106.4","106.4","106.4","106.4","106.4","106.4"
"2005:01","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","120.1","120.3","120.1","120.2","120.2","120.2","120.2","120.2","120.2","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","106.4","106.4","106.4","106.4","106.4","106.4","106.4","106.4","106.4","106.4","106.4","106.4","106.4","106.4","106.4","106.4","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2"
"2005:02","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","120.9","120.5","120.8","120.6","120.6","120.6","120.6","120.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0"
"2005:03","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","120.4","120.4","120.4","120.5","120.5","120.5","120.5","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","106.7","106.7","106.7","106.7","106.7","106.7","106.7","106.7","106.7","106.7","106.7","106.7","106.7","106.7","106.7","106.7","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.6","107.6","107.6","107.6","107.6","107.6","107.6","107.6","107.6"
"2005:04","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","120.5","120.3","120.4","120.3","120.3","120.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","106.9","106.9","106.9","106.9","106.9","106.9","106.9","106.9","106.9","106.9","106.9","106.9","106.9","106.9","106.9","106.9","107.6","107.6","107.6","107.6","107.6","107.6","107.6","107.6","107.6","107.6","107.6","107.6","107.7","107.7","107.7","107.7","107.7","107.7","107.7","107.7","107.7"
"2005:05","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","121.0","120.9","120.7","120.8","120.8","108.7","108.7","108.7","108.7","108.7","108.7","108.7","108.7","108.7","108.7","108.7","108.7","108.7","107.6","107.6","107.6","107.6","107.6","107.6","107.6","107.6","107.6","107.6","107.6","107.6","107.6","107.6","107.6","107.6","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2"
"2005:06","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","121.4","121.2","121.2","121.2","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4"
"2005:07","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","121.4","121.3","121.4","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3"
"2005:08","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","121.7","121.8","109.6","109.5","109.5","109.5","109.5","109.5","109.5","109.5","109.5","109.5","109.5","109.5","109.5","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.8","108.8","108.8","108.8","108.8","108.8","108.8","108.8","108.8","108.8","108.8","108.8","108.7","108.7","108.7","108.7","108.7","108.7","108.7","108.7","108.7"
