"DATE","NCPROFAT70M1","NCPROFAT70M2","NCPROFAT70M3","NCPROFAT70M4","NCPROFAT70M5","NCPROFAT70M6","NCPROFAT70M7","NCPROFAT70M8","NCPROFAT70M9","NCPROFAT70M10","NCPROFAT70M11","NCPROFAT70M12","NCPROFAT71M1","NCPROFAT71M2","NCPROFAT71M3","NCPROFAT71M4","NCPROFAT71M5","NCPROFAT71M6","NCPROFAT71M7","NCPROFAT71M8","NCPROFAT71M9","NCPROFAT71M10","NCPROFAT71M11","NCPROFAT71M12","NCPROFAT72M1","NCPROFAT72M2","NCPROFAT72M3","NCPROFAT72M4","NCPROFAT72M5","NCPROFAT72M6","NCPROFAT72M7","NCPROFAT72M8","NCPROFAT72M9","NCPROFAT72M10","NCPROFAT72M11","NCPROFAT72M12","NCPROFAT73M1","NCPROFAT73M2","NCPROFAT73M3","NCPROFAT73M4","NCPROFAT73M5","NCPROFAT73M6","NCPROFAT73M7","NCPROFAT73M8","NCPROFAT73M9","NCPROFAT73M10","NCPROFAT73M11","NCPROFAT73M12","NCPROFAT74M1","NCPROFAT74M2","NCPROFAT74M3","NCPROFAT74M4","NCPROFAT74M5","NCPROFAT74M6","NCPROFAT74M7","NCPROFAT74M8","NCPROFAT74M9","NCPROFAT74M10","NCPROFAT74M11","NCPROFAT74M12","NCPROFAT75M1","NCPROFAT75M2","NCPROFAT75M3","NCPROFAT75M4","NCPROFAT75M5","NCPROFAT75M6","NCPROFAT75M7","NCPROFAT75M8","NCPROFAT75M9","NCPROFAT75M10","NCPROFAT75M11","NCPROFAT75M12","NCPROFAT76M1","NCPROFAT76M2","NCPROFAT76M3","NCPROFAT76M4","NCPROFAT76M5","NCPROFAT76M6","NCPROFAT76M7","NCPROFAT76M8","NCPROFAT76M9","NCPROFAT76M10","NCPROFAT76M11","NCPROFAT76M12","NCPROFAT77M1","NCPROFAT77M2","NCPROFAT77M3","NCPROFAT77M4","NCPROFAT77M5","NCPROFAT77M6","NCPROFAT77M7","NCPROFAT77M8","NCPROFAT77M9","NCPROFAT77M10","NCPROFAT77M11","NCPROFAT77M12","NCPROFAT78M1","NCPROFAT78M2","NCPROFAT78M3","NCPROFAT78M4","NCPROFAT78M5","NCPROFAT78M6","NCPROFAT78M7","NCPROFAT78M8","NCPROFAT78M9","NCPROFAT78M10","NCPROFAT78M11","NCPROFAT78M12","NCPROFAT79M1","NCPROFAT79M2","NCPROFAT79M3","NCPROFAT79M4","NCPROFAT79M5","NCPROFAT79M6","NCPROFAT79M7","NCPROFAT79M8","NCPROFAT79M9","NCPROFAT79M10","NCPROFAT79M11","NCPROFAT79M12"
"1947:Q1","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7"
"1947:Q2","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6"
"1947:Q3","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3"
"1947:Q4","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1"
"1948:Q1","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3"
"1948:Q2","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4"
"1948:Q3","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1"
"1948:Q4","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3"
"1949:Q1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.3","20.3","20.3","20.3","20.3","20.3","20.3","20.3","20.3","20.3","20.3","20.3","20.3","20.3","20.3","20.3","20.3","20.3","20.3","20.3","20.3","20.3","20.3","20.3","20.3","20.3","20.3","20.3","20.3","20.3","20.3","20.3","20.3","20.3","20.3","20.3","20.3","20.3","20.3","20.3","20.3","20.3","20.3","20.3","20.3","20.3","20.3"
"1949:Q2","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.9","17.9","17.9","17.9","17.9","17.9","17.9","17.9","17.9","17.9","17.9","17.9","17.9","17.9","17.9","17.9","17.9","17.9","17.9","17.9","17.9","17.9","17.9","17.9","17.9","17.9","17.9","17.9","17.9","17.9","17.9","17.9","17.9","17.9","17.9","17.9","17.9","17.9","17.9","17.9","17.9","17.9","17.9","17.9","17.9","17.9","17.9"
