"DATE","RCONND90M1","RCONND90M2","RCONND90M3","RCONND90M4","RCONND90M5","RCONND90M6","RCONND90M7","RCONND90M8","RCONND90M9","RCONND90M10","RCONND90M11","RCONND90M12","RCONND91M1","RCONND91M2","RCONND91M3","RCONND91M4","RCONND91M5","RCONND91M6","RCONND91M7","RCONND91M8","RCONND91M9","RCONND91M10","RCONND91M11","RCONND91M12","RCONND92M1","RCONND92M2","RCONND92M3","RCONND92M4","RCONND92M5","RCONND92M6","RCONND92M7","RCONND92M8","RCONND92M9","RCONND92M10","RCONND92M11","RCONND92M12","RCONND93M1","RCONND93M2","RCONND93M3","RCONND93M4","RCONND93M5","RCONND93M6","RCONND93M7","RCONND93M8","RCONND93M9","RCONND93M10","RCONND93M11","RCONND93M12","RCONND94M1","RCONND94M2","RCONND94M3","RCONND94M4","RCONND94M5","RCONND94M6","RCONND94M7","RCONND94M8","RCONND94M9","RCONND94M10","RCONND94M11","RCONND94M12","RCONND95M1","RCONND95M2","RCONND95M3","RCONND95M4","RCONND95M5","RCONND95M6","RCONND95M7","RCONND95M8","RCONND95M9","RCONND95M10","RCONND95M11","RCONND95M12","RCONND96M1","RCONND96M2","RCONND96M3","RCONND96M4","RCONND96M5","RCONND96M6","RCONND96M7","RCONND96M8","RCONND96M9","RCONND96M10","RCONND96M11","RCONND96M12","RCONND97M1","RCONND97M2","RCONND97M3","RCONND97M4","RCONND97M5","RCONND97M6","RCONND97M7","RCONND97M8","RCONND97M9","RCONND97M10","RCONND97M11","RCONND97M12","RCONND98M1","RCONND98M2","RCONND98M3","RCONND98M4","RCONND98M5","RCONND98M6","RCONND98M7","RCONND98M8","RCONND98M9","RCONND98M10","RCONND98M11","RCONND98M12","RCONND99M1","RCONND99M2","RCONND99M3","RCONND99M4","RCONND99M5","RCONND99M6","RCONND99M7","RCONND99M8","RCONND99M9","RCONND99M10","RCONND99M11","RCONND99M12"
"1949:Q3","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","387.2","387.2","387.2","387.2","387.2","387.2","387.2","387.2","387.2","387.2","387.2","387.2","387.2","387.2","387.2","387.2","387.2","387.2","387.2","387.2","387.2","387.2","387.2","387.2","387.2","387.2","387.2","387.2","387.2","387.2","387.2","387.2","387.2","387.2","387.2","387.2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","#N/A","#N/A"
"1949:Q4","344.5","344.5","344.5","344.5","344.5","344.5","344.5","344.5","344.5","344.5","344.5","344.5","344.5","344.5","344.5","344.5","344.5","344.5","344.5","344.5","344.5","344.5","344.5","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","391.6","391.6","391.6","391.6","391.6","391.6","391.6","391.6","391.6","391.6","391.6","391.6","391.6","391.6","391.6","391.6","391.6","391.6","391.6","391.6","391.6","391.6","391.6","391.6","391.6","391.6","391.6","391.6","391.6","391.6","391.6","391.6","391.6","391.6","391.6","391.6","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","457.7","457.7","457.7","457.7","457.7","457.7","457.7","457.7","457.7","457.7","457.7","457.7","457.7","457.7","457.7","457.7","457.7","457.7","457.7","457.7","457.7","457.7","457.7","457.7","457.7","457.7","457.7","457.7","457.7","457.7","#N/A","#N/A"
"1950:Q1","348.6","348.6","348.6","348.6","348.6","348.6","348.6","348.6","348.6","348.6","348.6","348.6","348.6","348.6","348.6","348.6","348.6","348.6","348.6","348.6","348.6","348.6","348.6","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","396.1","396.1","396.1","396.1","396.1","396.1","396.1","396.1","396.1","396.1","396.1","396.1","396.1","396.1","396.1","396.1","396.1","396.1","396.1","396.1","396.1","396.1","396.1","396.1","396.1","396.1","396.1","396.1","396.1","396.1","396.1","396.1","396.1","396.1","396.1","396.1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","463.2","463.2","463.2","463.2","463.2","463.2","463.2","463.2","463.2","463.2","463.2","463.2","463.2","463.2","463.2","463.2","463.2","463.2","463.2","463.2","463.2","463.2","463.2","463.2","463.2","463.2","463.2","463.2","463.2","463.2","#N/A","#N/A"
"1950:Q2","352.7","352.7","352.7","352.7","352.7","352.7","352.7","352.7","352.7","352.7","352.7","352.7","352.7","352.7","352.7","352.7","352.7","352.7","352.7","352.7","352.7","352.7","352.7","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","400.0","400.0","400.0","400.0","400.0","400.0","400.0","400.0","400.0","400.0","400.0","400.0","400.0","400.0","400.0","400.0","400.0","400.0","400.0","400.0","400.0","400.0","400.0","400.0","400.0","400.0","400.0","400.0","400.0","400.0","400.0","400.0","400.0","400.0","400.0","400.0","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","468.2","468.2","468.2","468.2","468.2","468.2","468.2","468.2","468.2","468.2","468.2","468.2","468.2","468.2","468.2","468.2","468.2","468.2","468.2","468.2","468.2","468.2","468.2","468.2","468.2","468.2","468.2","468.2","468.2","468.2","#N/A","#N/A"
"1950:Q3","358.6","358.6","358.6","358.6","358.6","358.6","358.6","358.6","358.6","358.6","358.6","358.6","358.6","358.6","358.6","358.6","358.6","358.6","358.6","358.6","358.6","358.6","358.6","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","406.7","406.7","406.7","406.7","406.7","406.7","406.7","406.7","406.7","406.7","406.7","406.7","406.7","406.7","406.7","406.7","406.7","406.7","406.7","406.7","406.7","406.7","406.7","406.7","406.7","406.7","406.7","406.7","406.7","406.7","406.7","406.7","406.7","406.7","406.7","406.7","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","476.6","476.6","476.6","476.6","476.6","476.6","476.6","476.6","476.6","476.6","476.6","476.6","476.6","476.6","476.6","476.6","476.6","476.6","476.6","476.6","476.6","476.6","476.6","476.6","476.6","476.6","476.6","476.6","476.6","476.6","#N/A","#N/A"
"1950:Q4","351.3","351.3","351.3","351.3","351.3","351.3","351.3","351.3","351.3","351.3","351.3","351.3","351.3","351.3","351.3","351.3","351.3","351.3","351.3","351.3","351.3","351.3","351.3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","398.8","398.8","398.8","398.8","398.8","398.8","398.8","398.8","398.8","398.8","398.8","398.8","398.8","398.8","398.8","398.8","398.8","398.8","398.8","398.8","398.8","398.8","398.8","398.8","398.8","398.8","398.8","398.8","398.8","398.8","398.8","398.8","398.8","398.8","398.8","398.8","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","466.5","466.5","466.5","466.5","466.5","466.5","466.5","466.5","466.5","466.5","466.5","466.5","466.5","466.5","466.5","466.5","466.5","466.5","466.5","466.5","466.5","466.5","466.5","466.5","466.5","466.5","466.5","466.5","466.5","466.5","#N/A","#N/A"
"1951:Q1","360.6","360.6","360.6","360.6","360.6","360.6","360.6","360.6","360.6","360.6","360.6","360.6","360.6","360.6","360.6","360.6","360.6","360.6","360.6","360.6","360.6","360.6","360.6","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","478.4","478.4","478.4","478.4","478.4","478.4","478.4","478.4","478.4","478.4","478.4","478.4","478.4","478.4","478.4","478.4","478.4","478.4","478.4","478.4","478.4","478.4","478.4","478.4","478.4","478.4","478.4","478.4","478.4","478.4","#N/A","#N/A"
"1951:Q2","356.9","356.9","356.9","356.9","356.9","356.9","356.9","356.9","356.9","356.9","356.9","356.9","356.9","356.9","356.9","356.9","356.9","356.9","356.9","356.9","356.9","356.9","356.9","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","405.7","405.7","405.7","405.7","405.7","405.7","405.7","405.7","405.7","405.7","405.7","405.7","405.7","405.7","405.7","405.7","405.7","405.7","405.7","405.7","405.7","405.7","405.7","405.7","405.7","405.7","405.7","405.7","405.7","405.7","405.7","405.7","405.7","405.7","405.7","405.7","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","472.9","472.9","472.9","472.9","472.9","472.9","472.9","472.9","472.9","472.9","472.9","472.9","472.9","472.9","472.9","472.9","472.9","472.9","472.9","472.9","472.9","472.9","472.9","472.9","472.9","472.9","472.9","472.9","472.9","472.9","#N/A","#N/A"
"1951:Q3","364.8","364.8","364.8","364.8","364.8","364.8","364.8","364.8","364.8","364.8","364.8","364.8","364.8","364.8","364.8","364.8","364.8","364.8","364.8","364.8","364.8","364.8","364.8","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","415.1","415.1","415.1","415.1","415.1","415.1","415.1","415.1","415.1","415.1","415.1","415.1","415.1","415.1","415.1","415.1","415.1","415.1","415.1","415.1","415.1","415.1","415.1","415.1","415.1","415.1","415.1","415.1","415.1","415.1","415.1","415.1","415.1","415.1","415.1","415.1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","483.6","483.6","483.6","483.6","483.6","483.6","483.6","483.6","483.6","483.6","483.6","483.6","483.6","483.6","483.6","483.6","483.6","483.6","483.6","483.6","483.6","483.6","483.6","483.6","483.6","483.6","483.6","483.6","483.6","483.6","#N/A","#N/A"
"1951:Q4","369.2","369.2","369.2","369.2","369.2","369.2","369.2","369.2","369.2","369.2","369.2","369.2","369.2","369.2","369.2","369.2","369.2","369.2","369.2","369.2","369.2","369.2","369.2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","420.4","420.4","420.4","420.4","420.4","420.4","420.4","420.4","420.4","420.4","420.4","420.4","420.4","420.4","420.4","420.4","420.4","420.4","420.4","420.4","420.4","420.4","420.4","420.4","420.4","420.4","420.4","420.4","420.4","420.4","420.4","420.4","420.4","420.4","420.4","420.4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","488.9","488.9","488.9","488.9","488.9","488.9","488.9","488.9","488.9","488.9","488.9","488.9","488.9","488.9","488.9","488.9","488.9","488.9","488.9","488.9","488.9","488.9","488.9","488.9","488.9","488.9","488.9","488.9","488.9","488.9","#N/A","#N/A"
