"DATE","PCONGM09M8","PCONGM09M9","PCONGM09M10","PCONGM09M11","PCONGM09M12","PCONGM10M1","PCONGM10M2","PCONGM10M3","PCONGM10M4","PCONGM10M5","PCONGM10M6","PCONGM10M7","PCONGM10M8","PCONGM10M9","PCONGM10M10","PCONGM10M11","PCONGM10M12","PCONGM11M1","PCONGM11M2","PCONGM11M3","PCONGM11M4","PCONGM11M5","PCONGM11M6","PCONGM11M7","PCONGM11M8","PCONGM11M9","PCONGM11M10","PCONGM11M11","PCONGM11M12","PCONGM12M1","PCONGM12M2","PCONGM12M3","PCONGM12M4","PCONGM12M5","PCONGM12M6","PCONGM12M7","PCONGM12M8","PCONGM12M9","PCONGM12M10","PCONGM12M11","PCONGM12M12","PCONGM13M1","PCONGM13M2","PCONGM13M3","PCONGM13M4","PCONGM13M5","PCONGM13M6","PCONGM13M7","PCONGM13M8","PCONGM13M9","PCONGM13M10","PCONGM13M11","PCONGM13M12","PCONGM14M1","PCONGM14M2","PCONGM14M3","PCONGM14M4","PCONGM14M5","PCONGM14M6","PCONGM14M7","PCONGM14M8","PCONGM14M9","PCONGM14M10","PCONGM14M11","PCONGM14M12","PCONGM15M1","PCONGM15M2","PCONGM15M3","PCONGM15M4","PCONGM15M5","PCONGM15M6","PCONGM15M7","PCONGM15M8","PCONGM15M9","PCONGM15M10","PCONGM15M11"
"2007:03","102.191","102.191","102.191","102.191","102.191","102.191","102.191","102.191","102.191","102.191","102.191","102.191","102.235","102.235","102.235","102.235","102.235","102.235","102.235","102.235","102.235","102.235","102.235","102.235","102.093","102.093","102.093","102.093","102.093","102.093","102.093","102.093","102.093","102.093","102.093","102.093","102.093","102.093","102.093","102.093","102.093","102.093","102.093","102.093","102.093","102.093","102.093","102.093","98.678","98.678","98.678","98.678","98.678","98.678","98.678","98.678","98.678","98.678","98.678","98.678","98.678","98.678","98.678","98.678","98.678","98.678","98.678","98.678","98.678","98.678","98.678","98.678","98.678","98.678","98.678","98.678"
"2007:04","102.344","102.344","102.344","102.344","102.344","102.344","102.344","102.344","102.344","102.344","102.344","102.344","102.466","102.466","102.466","102.466","102.466","102.466","102.466","102.466","102.466","102.466","102.466","102.466","102.311","102.311","102.311","102.311","102.311","102.311","102.311","102.311","102.311","102.311","102.311","102.311","102.311","102.311","102.311","102.311","102.311","102.311","102.311","102.311","102.311","102.311","102.311","102.311","98.897","98.897","98.897","98.897","98.897","98.897","98.897","98.897","98.897","98.897","98.897","98.897","98.897","98.897","98.897","98.897","98.897","98.897","98.897","98.897","98.897","98.897","98.897","98.897","98.897","98.897","98.897","98.897"
"2007:05","102.69","102.69","102.69","102.69","102.69","102.69","102.69","102.69","102.69","102.69","102.69","102.69","102.978","102.978","102.978","102.978","102.978","102.978","102.978","102.978","102.978","102.978","102.978","102.978","102.818","102.818","102.818","102.818","102.818","102.818","102.818","102.818","102.818","102.818","102.818","102.818","102.818","102.818","102.818","102.818","102.818","102.818","102.818","102.818","102.818","102.818","102.818","102.818","99.389","99.389","99.389","99.389","99.389","99.389","99.389","99.389","99.389","99.389","99.389","99.389","99.389","99.389","99.389","99.389","99.389","99.389","99.389","99.389","99.389","99.389","99.389","99.389","99.389","99.389","99.389","99.389"
"2007:06","102.609","102.609","102.609","102.609","102.609","102.609","102.609","102.609","102.609","102.609","102.609","102.609","102.95","102.95","102.95","102.95","102.95","102.95","102.95","102.95","102.95","102.95","102.95","102.95","102.795","102.795","102.795","102.795","102.795","102.795","102.795","102.795","102.795","102.795","102.795","102.795","102.795","102.795","102.795","102.795","102.795","102.795","102.795","102.795","102.795","102.795","102.795","102.795","99.472","99.472","99.472","99.472","99.472","99.472","99.472","99.472","99.472","99.472","99.472","99.472","99.472","99.472","99.472","99.472","99.472","99.472","99.472","99.472","99.472","99.472","99.472","99.472","99.472","99.472","99.472","99.472"
"2007:07","102.635","102.635","102.635","102.635","102.635","102.635","102.635","102.635","102.635","102.635","102.635","102.635","103.061","103.061","103.061","103.061","103.061","103.061","103.061","103.061","103.061","103.061","103.061","103.061","102.869","102.869","102.869","102.869","102.869","102.869","102.869","102.869","102.869","102.869","102.869","102.869","102.869","102.869","102.869","102.869","102.869","102.869","102.869","102.869","102.869","102.869","102.869","102.869","99.538","99.538","99.538","99.538","99.538","99.538","99.538","99.538","99.538","99.538","99.538","99.538","99.538","99.538","99.538","99.538","99.538","99.538","99.538","99.538","99.538","99.538","99.538","99.538","99.538","99.538","99.538","99.538"
"2007:08","102.411","102.411","102.411","102.411","102.411","102.411","102.411","102.411","102.411","102.411","102.411","102.411","102.741","102.741","102.741","102.741","102.741","102.741","102.741","102.741","102.741","102.741","102.741","102.741","102.52","102.52","102.52","102.52","102.52","102.52","102.52","102.52","102.52","102.52","102.52","102.52","102.52","102.52","102.52","102.52","102.52","102.52","102.52","102.52","102.52","102.52","102.52","102.52","99.237","99.237","99.237","99.237","99.237","99.237","99.237","99.237","99.237","99.237","99.237","99.237","99.237","99.237","99.237","99.237","99.237","99.237","99.237","99.237","99.237","99.237","99.237","99.237","99.237","99.237","99.237","99.237"
"2007:09","102.836","102.836","102.836","102.836","102.836","102.836","102.836","102.836","102.836","102.836","102.836","102.836","103.19","103.19","103.19","103.19","103.19","103.19","103.19","103.19","103.19","103.19","103.19","103.19","102.97","102.97","102.97","102.97","102.97","102.97","102.97","102.97","102.97","102.97","102.97","102.97","102.97","102.97","102.97","102.97","102.97","102.97","102.97","102.97","102.97","102.97","102.97","102.97","99.662","99.662","99.662","99.662","99.662","99.662","99.662","99.662","99.662","99.662","99.662","99.662","99.662","99.662","99.662","99.662","99.662","99.662","99.662","99.662","99.662","99.662","99.662","99.662","99.662","99.662","99.662","99.662"
"2007:10","103.282","103.282","103.282","103.282","103.282","103.282","103.282","103.282","103.282","103.282","103.282","103.282","103.448","103.448","103.448","103.448","103.448","103.448","103.448","103.448","103.448","103.448","103.448","103.448","103.221","103.221","103.221","103.221","103.221","103.221","103.221","103.221","103.221","103.221","103.221","103.221","103.221","103.221","103.221","103.221","103.221","103.221","103.221","103.221","103.221","103.221","103.221","103.221","99.945","99.945","99.945","99.945","99.945","99.945","99.945","99.945","99.945","99.945","99.945","99.945","99.945","99.945","99.945","99.945","99.945","99.945","99.945","99.945","99.945","99.945","99.945","99.945","99.945","99.945","99.945","99.945"
"2007:11","104.809","104.809","104.809","104.809","104.809","104.809","104.809","104.809","104.809","104.809","104.809","104.809","104.656","104.656","104.656","104.656","104.656","104.656","104.656","104.656","104.656","104.656","104.656","104.656","104.414","104.414","104.414","104.414","104.414","104.414","104.414","104.414","104.414","104.414","104.414","104.414","104.414","104.414","104.414","104.414","104.414","104.414","104.414","104.414","104.414","104.414","104.414","104.414","100.99","100.99","100.99","100.99","100.99","100.99","100.99","100.99","100.99","100.99","100.99","100.99","100.99","100.99","100.99","100.99","100.99","100.99","100.99","100.99","100.99","100.99","100.99","100.99","100.99","100.99","100.99","100.99"
"2007:12","105.019","105.019","105.019","105.019","105.019","105.019","105.019","105.019","105.019","105.019","105.019","105.019","104.983","104.983","104.983","104.983","104.983","104.983","104.983","104.983","104.983","104.983","104.983","104.983","104.722","104.722","104.722","104.722","104.722","104.722","104.722","104.722","104.722","104.722","104.722","104.722","104.722","104.722","104.722","104.722","104.722","104.722","104.722","104.722","104.722","104.722","104.722","104.722","101.188","101.188","101.188","101.188","101.188","101.188","101.188","101.188","101.188","101.188","101.188","101.188","101.188","101.188","101.188","101.188","101.188","101.188","101.188","101.188","101.188","101.188","101.188","101.188","101.188","101.188","101.188","101.188"
